resolved_timestamp,type
"2012-04-13 09:04:11+00:00",PS
"2012-04-13 09:04:46+00:00",PS
"2012-04-13 09:05:27+00:00",PS
"2012-04-13 09:06:22+00:00",PS
"2012-04-13 09:14:41+00:00",PS
"2012-04-13 09:14:58+00:00",PS
"2012-04-23 12:52:38+00:00",PS
"2012-05-03 07:23:17+00:00",PS
"2012-05-21 07:15:14+00:00",PS
"2012-05-21 07:15:43+00:00",PS
"2012-05-21 07:17:57+00:00",PS
"2012-05-21 07:20:44+00:00",PS
"2012-05-21 07:23:47+00:00",PS
"2012-05-21 07:47:41+00:00",PS
"2012-05-21 07:48:12+00:00",PS
"2012-05-21 07:48:34+00:00",PS
"2012-05-21 07:49:01+00:00",PS
"2012-05-21 07:49:55+00:00",PS
"2012-05-21 07:50:14+00:00",PS
"2012-05-21 13:04:30+00:00",PS
"2012-05-23 11:48:14+00:00",PS
"2012-05-24 12:31:53+00:00",PS
"2012-05-24 13:10:06+00:00",PS
"2012-05-25 09:04:07+00:00",PS
"2012-05-28 14:00:11+00:00",PS
"2012-05-28 14:00:27+00:00",PS
"2012-05-28 14:01:36+00:00",PS
"2012-05-29 07:24:10+00:00",PS
"2012-05-30 19:28:05+00:00",PS
"2012-06-07 05:15:27+00:00",PS
"2012-06-08 08:36:43+00:00",PS
"2012-06-13 08:28:05+00:00",PS
"2012-06-18 08:50:08+00:00",PS
"2012-06-18 08:50:36+00:00",PS
"2012-06-20 06:17:11+00:00",PS
"2012-06-20 09:40:09+00:00",PS
"2012-06-21 12:38:34+00:00",PS
"2012-06-26 10:14:06+00:00",PS
"2012-06-29 06:02:08+00:00",PS
"2012-06-29 06:03:35+00:00",PS
"2012-06-29 06:04:02+00:00",PS
"2012-07-04 08:32:25+00:00",PS
"2012-07-05 09:53:06+00:00",PS
"2012-08-22 07:24:18+00:00",PS
"2012-08-22 07:26:05+00:00",PS
"2012-08-22 07:26:48+00:00",PS
"2012-08-22 07:28:24+00:00",PS
"2012-08-22 07:31:49+00:00",PS
"2012-08-28 11:41:26+00:00",PS
"2012-09-14 14:49:29+00:00",PS
"2012-09-19 09:26:30+00:00",PS
"2012-09-19 09:26:53+00:00",PS
"2012-09-19 09:27:19+00:00",PS
"2012-09-19 09:27:50+00:00",PS
"2012-09-19 09:28:21+00:00",PS
"2012-09-19 11:31:25+00:00",PS
"2012-09-20 08:09:34+00:00",PS
"2012-09-20 10:30:45+00:00",PS
"2012-09-20 10:31:12+00:00",PS
"2012-09-20 10:43:49+00:00",PS
"2012-09-20 10:47:44+00:00",PS
"2012-09-20 10:48:37+00:00",PS
"2012-09-20 10:49:03+00:00",PS
"2012-09-20 10:49:33+00:00",PS
"2012-09-20 10:50:05+00:00",PS
"2012-09-20 10:50:29+00:00",PS
"2012-09-20 10:51:46+00:00",PS
"2012-09-20 10:56:08+00:00",PS
"2012-09-20 10:57:57+00:00",PS
"2012-09-20 10:58:38+00:00",PS
"2012-09-20 11:01:50+00:00",PS
"2012-09-20 11:09:11+00:00",PS
"2012-09-25 11:34:29+00:00",PS
"2012-10-01 10:40:38+00:00",PS
"2012-10-02 07:22:43+00:00",PS
"2012-10-03 12:06:01+00:00",PS
"2012-10-03 12:06:29+00:00",PS
"2012-10-09 09:38:40+00:00",PS
"2012-10-18 12:26:01+00:00",PS
"2012-10-18 13:42:10+00:00",PS
"2012-10-18 13:46:53+00:00",PS
"2012-10-18 13:53:25+00:00",PS
"2012-10-30 12:52:28+00:00",PS
"2012-10-30 12:52:53+00:00",PS
"2012-11-01 14:21:31+00:00",PS
"2012-11-02 08:53:25+00:00",PS
"2012-11-02 09:20:36+00:00",PS
"2012-11-06 05:58:34+00:00",PS
"2012-11-06 08:43:45+00:00",PS
"2012-11-06 08:58:33+00:00",PS
"2012-11-07 12:23:15+00:00",PS
"2012-11-12 11:26:11+00:00",PS
"2012-11-13 06:05:19+00:00",PS
"2012-11-13 06:08:17+00:00",PS
"2012-11-16 13:06:50+00:00",PS
"2012-11-16 13:16:20+00:00",PS
"2012-11-20 15:28:45+00:00",PS
"2012-11-22 09:06:23+00:00",PS
"2012-11-22 13:53:45+00:00",PS
"2012-11-27 07:25:14+00:00",PS
"2012-11-27 08:05:37+00:00",PS
"2012-12-04 09:56:16+00:00",AT
"2012-12-07 14:45:33+00:00",PS
"2012-12-12 09:36:20+00:00",PS
"2012-12-13 06:56:20+00:00",PS
"2012-12-13 09:25:22+00:00",PS
"2012-12-14 10:37:55+00:00",PS
