ticker,round,y,x
HPQ,1,279.0826133333333,420.7153473091364
HPQ,1,298.1970933333333,407.1534730913642
HPQ,1,312.91695111111113,393.591598873592
HPQ,1,357.97314666666665,379.99256883604505
HPQ,1,319.2214666666667,366.43069461827287
HPQ,1,321.8675288888889,352.8688204005006
HPQ,1,331.2554666666667,339.3069461827284
HPQ,1,336.0419822222222,325.70791614518146
HPQ,1,323.81633777777773,312.14604192740927
HPQ,1,351.12518222222224,298.5841677096371
HPQ,1,310.90634666666665,285.02229349186484
HPQ,1,296.0168444444445,271.42326345431786
HPQ,1,192.21820444444444,257.8613892365457
HPQ,1,301.0272711111111,244.29951501877343
HPQ,1,367.46238222222223,230.73764080100125
HPQ,1,384.83700444444446,217.13861076345432
HPQ,1,408.0332177777778,203.5767365456821
HPQ,1,418.24796444444445,190.0148623279099
HPQ,1,423.11915555555555,176.45298811013768
HPQ,1,424.9402666666667,162.85395807259073
HPQ,1,423.7156,149.29208385481854
HPQ,1,423.1272711111111,135.7302096370463
HPQ,1,425.7455644444444,122.16833541927409
HPQ,1,423.89150222222224,108.56930538172716
HPQ,1,423.6866577777778,95.00743116395495
HPQ,1,421.0225066666667,81.44555694618272
HPQ,1,419.1977777777778,67.88368272841052
HPQ,1,421.7445955555556,54.28465269086358
HPQ,1,423.15474666666665,40.72277847309136
HPQ,1,425.0600444444445,27.16090425531915
HPQ,1,430.8480977777778,13.599030037546934
HPQ,1,429.3913066666667,0
TXN,1,426.8904444444444,13.599030037546934
TXN,1,427.3521511111111,27.16090425531915
TXN,1,429.1826488888889,40.72277847309136
