"#","Name","Color","Parent","Start","Stop","Icon","Description","Namechange_1","When_1","Description_1","Namechange_2","When_2","Description_2",X1,X2,X3
"N","NetStation","#116daa",NA,"2001.8.28","2003.9",NA,"http://netstation.sourceforge.net/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Thinstation","#000","NetStation","2003.8.30",NA,NA,"http://www.thinstation.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","LPS","#2757ab","Thinstation","2007.3.21",NA,NA,"http://www.spi.dod.mil/lipose.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Octoz","#ce6816",NA,"2004.7","2007.3",NA,"http://web.archive.org/web/*/http://www.octoz.org","Hedinux","2005.9.26","http://web.archive.org/web/*/http://hedinux.org/",NA,NA,NA,NA,NA,NA
"N","Igelle","#e77918",NA,"2010.2.22",NA,NA,"http://www.igelle.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Weaver","#ff9600",NA,"1997.9","2007.3",NA,"http://en.wikipedia.org/wiki/Nitix","Nitix","2004.1","http://distrowatch.com/table.php?distribution=nitix",NA,NA,NA,NA,NA,NA
"N","µClinux","#4b78ff",NA,"1998.1",NA,NA,"http://www.uclinux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Coyote","#282896",NA,"1998.12",NA,NA,"http://coyotelinux.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","BrazilFW","#0076b1",NA,"2005.10.5",NA,NA,"http://www.brazilfw.com.br/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Zeroshell","#0000c0",NA,"2006.6.25",NA,NA,"http://www.zeroshell.net/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","PLoP","#c0c0d8",NA,"2007.12.26",NA,NA,"http://www.plop.at/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Natures Linux","#0f0",NA,"2004.3.30","2007.8.20",NA,"http://distrowatch.com/table.php?distribution=natures",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","ELinOS","#0d3b69",NA,"1999.3",NA,NA,"http://www.sysgo.com/products/elinos-embedded-linux/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","OpenEmbedded","#0bd",NA,"2003.2",NA,NA,"http://www.openembedded.org",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Ångström","#9cc32a","OpenEmbedded","2007.12",NA,NA,"http://www.angstrom-distribution.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","KaeilOS","#FF0000",NA,"2000.1",NA,NA,"http://www.kaeilos.com/",NA,"INFO:","http://en.wikipedia.org/wiki/KaeilOS",NA,NA,NA,NA,NA,NA
"N","Peanut","#4ac250",NA,"1999.12",NA,NA,"http://www.alinux.tv/","aLinux","2005.3","http://www.alinux.tv/",NA,NA,NA,NA,NA,NA
"N","CRUX","#4d699b",NA,"2001.1",NA,NA,"http://crux.nu/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Arch","#0771a6",NA,"2002.3.11",NA,NA,"http://www.archlinux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","AL-AMLUG","#77aacc","Arch","2003.7.4","2006.5.17",NA,"http://user-contributions.org/home/","Archie","2005.3.25","http://archie.dotsrc.org/",NA,NA,NA,NA,NA,NA
"N","Chaox","#000","Arch","2008.12","2010.2.18",NA,"http://blag.chaox.net/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Chakra","#46494D","Arch","2008.12.21",NA,NA,"http://chakra-project.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","LinHES","#92bac4","Arch","2009.1.28",NA,NA,"http://linhes.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","FireFly","#ee2299","Arch","2009.6.2",2010,NA,"http://distrowatch.com/table.php?distribution=firefly",NA,NA,NA,NA,NA,NA,NA,NA,NA
