feature;sd
PNG_INTRAPIXEL_DIFFERENCING;1
MAGICKCORE_HAVE_SETLOCALE;1
LIBXML_DOTTED_VERSION;1
MAGICKCORE_HAVE_GETCWD;1
MAGICKCORE_HAVE_SYS_TIMES_H;3
MAGICKCORE_HAVE_LOCALTIME_R;5
MAGICKCORE_HAVE_GETRUSAGE;2
MAGICKCORE_HAVE_STRSPN;1
MAGICKCORE_HAVE_NANOSLEEP;2
FILTER_LUT;6
MAGICKCORE_HAVE_PROCESS_H;1
sysconf;1
_VISUALC_;30
S_IRUSR;2
open;1
MNG_INSERT_LAYERS;13
TIFF_VERSION_BIG;5
MAGICKCORE_SHARE_RELATIVE_PATH;1
ProvideDllMain;1
__DJGPP__;1
MAGICKCORE_HAVE_TIFFSETERRORHANDLEREXT;1
MAGICKCORE_HAVE_POSIX_MEMALIGN;5
strncasecmp;1
WIN32;7
SIGQUIT;2
PNG_SET_USER_LIMITS_SUPPORTED;1
MAGICKCORE_MODULES_BASEDIRNAME;1
RLIMIT_NOFILE;1
hypot;1
WEBP_DECODER_ABI_VERSION;5
DJVU_LIBDJVU_VER_STRING;1
MAGICKCORE_SIZEOF_UNSIGNED_INT;1
PRE_R5_ICCCM;2
MAGICKCORE_SIZEOF_UNSIGNED_LONG;1
_AXP_;1
MAGICKCORE_FPX_DELEGATE;9
MAGICKCORE_FILTER_DIRNAME;1
MAGICKCORE_HAVE_FORK;1
O_NOFOLLOW;1
MAGICKCORE_HAVE_FTRUNCATE;1
MAGICKCORE_HAVE_GETC_UNLOCKED;1
MAP_HUGETLB;1
MAGICKCORE_HAVE_DLFCN_H;1
WIN64;5
S_ISREG;2
MAGICKCORE_HAVE_STRTOUL;1
COMPRESSION_ADOBE_DEFLATE;1
DEBUG_ELLIPSE;7
MAGICKCORE_HAVE_SYS_WAIT_H;1
PNG_oFFs_SUPPORTED;3
MAGICKCORE_CODER_RELATIVE_PATH;1
MAGICKCORE_CLPERFMARKER;23
MAGICKCORE_SHARE_PATH;4
MAGICKCORE_NAMESPACE_PREFIX;5
PNG_SETJMP_SUPPORTED;1
MAGICKCORE_SHAREARCH_RELATIVE_PATH;1
strtod_l;1
MAGICKCORE_QUANTUM_DEPTH_OBSOLETE_IN_H;2
MagickCplusPlusDLLSupported;1
MAGICKCORE__FILE_OFFSET_BITS;2
MAGICKCORE_HAVE_GETPID;2
MAGICKCORE_HAVE_PTHREAD_PRIO_INHERIT;1
MAGICKCORE_HAVE_WCHAR_H;1
