feature;sd
TIOCGPTN;1
_POSIX2_UPE;1
HAVE_SYS_WAIT_H;2
libpthread;40
ELF_MACHINE_IREL;1
__POPCNT__;1
GLIBC_2_18;7
__ILP32_OFF32_LDFLAGS;1
NL0;2
_SC_2_PBS;1
__NR_utimensat;6
_SYS_MMAN_H;16
_SC_CPUTIME;1
memmove;2
sequent;3
HAVE_STRFTIME;17
__ASSUME_PWRITEV;8
__ASSUME_LWS_CAS;1
asctime_r;1
_POSIX_TRACE;1
_SC_SIGQUEUE_MAX;1
HAVE_PER_THREAD_LOCALE;8
_CS_LFS_LDFLAGS;1
__need_clockid_t;1
libc_feupdateenv_test;1
__ARM_ARCH_2A__;1
__NR_mq_unlink;1
YYCOPY;1
__mc68060__;1
MAP_FILE;5
_STATBUF_ST_RDEV;17
MAX_CANON;3
_STDIO_H;6
PRIoFAST32;1
atomic_add_zero;1
__need_error_t;1
_CS_LFS64_CFLAGS;1
__ieee754_atan2;1
BEFORE_ABORT;1
FP_EX_INVALID;1
__AM33__;1
DOS;1
FUNC_FINITE;2
NEED_DL_BASE_ADDR;2
_SC_JOB_CONTROL;1
PRIxFAST32;1
__arch_c_compare_and_exchange_bool_32_acq;1
CMDLINE_OPTIONS;1
__NR_set_dataplane;2
_PC_NO_TRUNC;1
_Mfloat_;2
FP_HANDLE_EXCEPTIONS;1
_PC_NAME_MAX;2
WCSCHR;2
VM_SYNC_SYNCHRONOUS;1
_HAVE_STRING_ARCH_strndup;2
HAVE_DECL_FPUTC_UNLOCKED;1
ILP32;1
DEFAULT_MMAP_THRESHOLD;1
__sparc;1
LOOP_NEED_FLAGS;2
libresolv;2
symbol_set_define;1
weak_extern;1
__ASSUME_O_CLOEXEC;19
__LP64_OFF64_CFLAGS;1
EPROTOTYPE;2
_POSIX_SIGNALS;1
PRIX16;1
__unix__;2
PRIoLEAST8;1
atomic_exchange_and_add_rel;1
EILSEQ;10
_POSIX_SELECT;1
B9600;1
_ERROR_H;1
_IO_lock_inexpensive;1
UINT32_MAX;1
RIPCMDS;1
_VA_LIST_DEFINED;1
_LINUX_PTRACE_H;1
__USE_EXTERNAL_FPMEMTYP_H__;1
__GCC_IEC_559;2
WIDE;29
__isinf_nsf;1
_DL_FIRST_PLATFORM;2
NO_DO_WAITID;1
ENAVAIL;2
PRIdFAST8;1
_CS_LFS_CFLAGS;1
REQUEST_ASSEMBLER_MACROS;1
NeXT;2
DEFAULT_MMAP_THRESHOLD_MIN;1
lll_futex_wait_requeue_pi;4
MSG_CMSG_CLOEXEC;1
_HAVE_STAT64___PAD1;1
EXIT_SUCCESS;7
__FLT_EVAL_METHOD__;7
ZIC_MAX_ABBR_LEN_WO_WARN;1
errno;8
SKIP_EM_IA_64;2
__FP_FRAC_DEC_2;1
__sparcv9;6
_CS_XBS5_ILP32_OFFBIG_CFLAGS;1
ENOPROTOOPT;2
F_EXLCK;1
_UNISTD_H;9
_FEATURES_H;1
WORDCOPY_FWD_ALIGNED;3
_PTHREAD_H_HPPA_;1
PRIuFAST8;1
_SC_TRACE_EVENT_FILTER;1
_SC_2_C_DEV;1
CLEAR_CACHE;2
S_IROTH;3
F_SETFL;2
CURRENT_STACK_FRAME;1
FMH;1
MCHECK;6
_SC_USER_GROUPS_R;1
__libc_writev;1
__wcscasecmp;1
_PC_REC_MAX_XFER_SIZE;1
__NR_getcpu;1
_dl_cache_check_flags;1
SIOCGSTAMPNS;1
EEXIST;2
is68k;1
ELIBBAD;2
IS_IN_libc;1
NO_GLOB_PATTERN_P;1
RLIMIT_DATA;1
__SH4A__;1
__ultrix__;1
USE_DL_SYSINFO;3
_POSIX_VERSION;3
NO_TLS_OFFSET;6
_HAVE_STRING_ARCH_strstr;1
__casinhf;1
__floorf;2
__s390x__;9
_HAVE_STRING_ARCH_mempcpy;2
__ssize_t_defined;5
__BIND_RES_TEXT;1
_SC_NL_MSGMAX;1
_RE_DEFINE_LOCALE_FUNCTIONS;1
_REENTRANT;1
SZREG;1
__GCC_HAVE_SYNC_COMPARE_AND_SWAP_4;4
_SYS_IPC_H;11
_ITOA_NEEDED;7
NIS_INTERNAL;1
__NR_set_robust_list;3
_PC_REC_INCR_XFER_SIZE;1
_PC_REC_MIN_XFER_SIZE;1
__strncasecmp;1
DEF_RHS;1
pthread_mutex_trylock;1
__i486__;3
_POSIX_PIPE;1
_HAVE_UT_TV;13
TRUE;3
MAX_INPUT;2
__O_NOATIME;1
_HURD_IOCTL_H;1
PRIX64;1
__MATH_DECLARE_LDOUBLE;31
ECONNABORTED;2
TELCMDS;1
INVALID_CLOCK_P;1
_FORCE_INLINES;33
DWARF2_OBJECT_END_PTR_EXTENSION;3
COMPILE_GLOB64;2
_POSIX_PII_XTI;1
PRIXFAST16;1
ATTEMPTS_MIN;1
PRE_GCC3_DWARF_FRAME_REGISTERS;1
MAP_ANONYMOUS;3
check_consistency;2
_CALL_ELF;22
HAVE_ICONV;14
PRIu8;1
ENFILE;2
_PC_FILESIZEBITS;1
_DLL;1
PAGE_SIZE;5
PREADV;3
WORKAROUND;1
_MIPS_ISA_MIPS64;3
_SC_READER_WRITER_LOCKS;1
ETXTBSY;2
ENOSPC;2
IS_IN_libdl;9
atomic_full_barrier;2
__GNUC_VA_LIST;2
__MIPSEB;1
PRIo32;1
_INTERNAL_TYPES_H_HPPA_;1
AF_APPLETALK;1
__POSIX__;7
__trunc;1
EXTRA_LOOP_DECLS;1
LLL_MUTEX_LOCK;1
__mcpu32__;1
EXTRA_UNSECURE_ENVVARS;2
HAVE_GETEUID;1
_FPU_IEEE;1
COMPARE_AND_SWAP;2
IEEE_DOUBLE_BIG_ENDIAN;2
DEBUG_IOPERM;6
