branch;line;nd
#if defined(__cplusplus) || defined(c_plusplus);7;1
#if defined(__cplusplus) || defined(c_plusplus);3;1
#if defined(__cplusplus) || defined(c_plusplus);19;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);102;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);119;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);148;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);206;1
#if !defined(MAGICKCORE_HDRI_SUPPORT);243;2
#if defined(MAGICKCORE_OPENMP_SUPPORT);340;1
#if !defined(MAGICKCORE_HDRI_SUPPORT);605;1
#else;607;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);647;1
#if !defined(MAGICKCORE_HDRI_SUPPORT);669;2
#if defined(MAGICKCORE_OPENMP_SUPPORT);728;1
#if defined(__cplusplus) || defined(c_plusplus);5;1
#if defined(__cplusplus) || defined(c_plusplus);23;1
#if defined(__cplusplus) || defined(c_plusplus);6;1
#if defined(MAGICKCORE_HAVE_FSEEKO);10;1
#if defined(__cplusplus) || defined(c_plusplus);92;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);25;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);28;1
#if !defined(MAP_ANONYMOUS) && defined(MAP_ANON);32;1
#if !defined(MAP_FAILED);35;1
#if defined(__OS2__);38;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);46;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);50;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);297;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);304;1
#if defined(MAGICKCORE_HAVE_PCLOSE);343;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);350;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);357;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);519;1
#if defined(MAGICKCORE_HAVE_MMAP);1276;2
#else;1324;1
#if defined(MAGICKCORE_WINDOWS_SUPPORT) || defined(__OS2__);1434;1
#if defined(MAGICKCORE_WINDOWS_SUPPORT) || defined(__OS2__);1449;1
#if defined(MAGICKCORE_HAVE_POPEN);1457;2
#if defined(S_ISFIFO);1480;1
#if defined(macintosh);1518;1
#if defined(MAGICKCORE_HAVE_SETVBUF);1540;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1550;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);1562;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1613;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);1627;1
#if defined(MAGICKCORE_HAVE_SETVBUF);1641;1
#if defined(__cplusplus) || defined(c_plusplus);1657;1
#if defined(__cplusplus) || defined(c_plusplus);1667;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1778;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);1811;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);2152;1
#if defined(MAGICKCORE_HAVE_POSIX_FALLOCATE);2255;1
