guard;line;td
# if (__GLIBC__ >= 2 && !defined __UCLIBC__) || _GLIBCXX_HAVE_LIBINTL_H;17;3
#ifdef GNULIB_defined_setlocale;40;1
#ifdef DEFAULT_TEXT_DOMAIN;46;1
#ifdef DEFAULT_TEXT_DOMAIN;53;1
#ifdef __GNUC__;60;1
#ifdef __cplusplus;63;1
#ifdef __GNUC__;78;1
#ifdef __cplusplus;81;1
#if (((__GNUC__ >= 3 || __GNUG__ >= 2) && !defined __STRICT_ANSI__)                                           );99;3
#if !_LIBGETTEXT_HAVE_VARIABLE_SIZE_ARRAYS;104;1
#ifdef __GNUC__;109;1
#ifdef __cplusplus;112;1
#if _LIBGETTEXT_HAVE_VARIABLE_SIZE_ARRAYS;124;1
#if !_LIBGETTEXT_HAVE_VARIABLE_SIZE_ARRAYS;139;1
#ifdef __GNUC__;150;1
#ifdef __cplusplus;153;1
#if _LIBGETTEXT_HAVE_VARIABLE_SIZE_ARRAYS;166;1
#if !_LIBGETTEXT_HAVE_VARIABLE_SIZE_ARRAYS;181;1
#if HAVE_NANOTIME;7;1
# if defined CLOCK_REALTIME && HAVE_CLOCK_GETTIME;10;2
#if HAVE_SYS_TIMEB_H;4;1
#if GETTIMEOFDAY_CLOBBERS_LOCALTIME || TZSET_CLOBBERS_LOCALTIME;7;2
#if TZSET_CLOBBERS_LOCALTIME;31;1
#if HAVE_GETTIMEOFDAY;46;1
# if GETTIMEOFDAY_CLOBBERS_LOCALTIME;47;1
# if defined timeval;50;1
# if GETTIMEOFDAY_CLOBBERS_LOCALTIME;62;1
# if HAVE__FTIME;67;1
# if !defined OK_TO_USE_1S_CLOCK;73;1
# if __GNUC__ < 3 || (__GNUC__ == 3 && __GNUC_MINOR__ < 4);3;2
#if 2 <= __GNUC__ || 0x5110 <= __SUNPRO_C;18;2
#if _GL_HAVE___TYPEOF__;23;1
#if __GNUC__ >= 3;1;1
