guard;line;td
#if defined(G_OS_WIN32) || defined(__APPLE__);1799;2
#ifdef HAVE_DIRENT_D_TYPE;2003;1
#ifdef HAVE_DIRENT_D_TYPE;2013;1
#if !defined(G_OS_UNIX) && !GLIB_CHECK_VERSION(2, 9, 1);2275;1
#ifdef G_OS_WIN32;2289;1
#ifdef G_OS_WIN32;2918;1
#if HAVE_FCHMOD;2945;1
#ifdef G_OS_WIN32;2953;1
#ifdef G_OS_WIN32;3017;1
#if defined(G_OS_WIN32) && !GLIB_CHECK_VERSION(2, 8, 2);3164;1
#if defined(G_OS_WIN32) && !GLIB_CHECK_VERSION(2, 8, 2);3186;1
#if defined(G_OS_WIN32) && !GLIB_CHECK_VERSION(2, 8, 2);3212;1
#ifdef G_OS_WIN32;3216;1
#if USE_THREADS;3272;1
#ifdef G_OS_WIN32;3324;1
#elif defined(__APPLE__);3344;1
#ifdef G_OS_WIN32;3356;1
#if defined(G_OS_WIN32) || defined(__APPLE__);3396;2
#ifdef G_OS_WIN32;3414;1
#if USE_THREADS;3614;1
#ifdef HAVE_CONFIG_H;3;1
#if HAVE_ALLOCA_H;14;1
#ifdef G_OS_UNIX;32;1
#ifdef G_OS_UNIX;41;1
#if !SIZEOF_UNSIGNED_SHORT;47;1
#if !SIZEOF_UNSIGNED_INT;51;1
#if !SIZEOF_UNSIGNED_LONG;55;1
#ifndef HAVE_U32_TYPEDEF;59;1
#ifndef BIG_ENDIAN_HOST;64;1
#if (G_BYTE_ORDER == G_BIG_ENDIAN);65;2
#ifdef HAVE_CONFIG_H;1;1
#if defined(SPARSE_MEMORY);9;1
#if defined(SPARSE_MEMORY);93;1
#ifdef HAVE_CONFIG_H;1;1
#if HAVE_SYS_UTSNAME_H;19;1
#if HAVE_SYS_UTSNAME_H;56;1
#if HAVE_SYS_UTSNAME_H;79;1
#elif defined(G_OS_WIN32);87;1
#if USE_THREADS;107;1
#if INET6;110;1
#if HAVE_ICONV;113;1
#if HAVE_LIBCOMPFACE;116;1
#if USE_GPGME;119;1
#if USE_SSL;122;1
#if USE_LDAP;125;1
#if USE_JPILOT;128;1
#if USE_GTKSPELL;131;1
#if USE_ONIGURUMA;134;1
#if USE_GPGME;182;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef GTK_STOCK_EDIT;315;1
#if USE_SSL;579;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef GDK_WINDOWING_X11;9;1
#if HAVE_SYS_WAIT_H;17;1
#ifdef HAVE_CONFIG_H;1;1
#ifndef DEV_STANDALONE;13;1
#ifndef DEV_STANDALONE;802;1
#ifdef DEV_STANDALONE;809;1
#ifdef DEV_STANDALONE;829;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef USE_JPILOT;42;1
#ifdef USE_LDAP;46;1
#ifdef USE_JPILOT;226;1
#ifdef USE_LDAP;231;1
#ifdef USE_JPILOT;287;1
#ifdef USE_LDAP;289;1
#ifdef USE_JPILOT;319;1
#ifdef USE_LDAP;322;1
#ifdef USE_JPILOT;1109;1
#ifdef USE_LDAP;1112;1
#ifdef USE_LDAP;1147;1
#ifdef G_OS_WIN32;1523;1
#ifdef USE_JPILOT;1810;1
#ifdef USE_LDAP;1815;1
#ifdef USE_JPILOT;3239;1
#ifdef USE_LDAP;3279;1
#ifdef USE_LDAP;3371;1
#ifdef USE_LDAP;3388;1
#if USE_THREADS;3844;1
#ifdef HAVE_CONFIG_H;1;1
#ifndef DEV_STANDALONE;15;1
#ifdef USE_JPILOT;20;1
#ifdef USE_LDAP;23;1
#ifdef USE_JPILOT;131;1
#ifdef USE_LDAP;152;1
#ifdef USE_JPILOT;211;1
#ifdef USE_LDAP;219;1
#ifdef USE_JPILOT;264;1
#ifdef USE_LDAP;272;1
#ifdef USE_JPILOT;616;1
#ifdef USE_LDAP;684;1
#ifndef DEV_STANDALONE;865;1
#ifdef DEV_STANDALONE;871;1
#ifdef DEV_STANDALONE;888;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef G_OS_WIN32;237;1
#ifdef G_OS_WIN32;329;1
#ifdef HAVE_CONFIG_H;1;1
#ifndef PANGO_ENABLE_ENGINE;5;1
#if USE_GTKSPELL;47;1
#if USE_ENCHANT;50;1
#if HAVE_SYS_WAIT_H;65;1
#ifdef G_OS_WIN32;70;1
#if USE_GPGME;115;1
#if USE_GPGME;381;1
#if USE_GPGME;428;1
#if USE_GTKSPELL;436;1
#ifndef G_OS_WIN32;613;1
#if USE_GPGME;621;1
#if USE_GTKSPELL;626;1
#if USE_GPGME;774;1
#if USE_GTKSPELL;1031;1
#if USE_GPGME;1035;1
#if USE_GTKSPELL;1413;1
#if USE_GPGME;1423;1
#ifdef G_OS_WIN32;1783;1
#if USE_GPGME;2448;1
#if USE_GPGME;3030;1
#if USE_GPGME;3181;1
#if USE_GPGME;3253;1
#if USE_GPGME;3320;1
#if USE_GPGME;3348;1
#if USE_GPGME;3356;1
#if USE_GPGME;3410;1
#if USE_GPGME;3800;1
#if USE_GPGME;4053;1
#if USE_GTKSPELL;4072;1
#if USE_GPGME;4079;1
#if USE_GPGME;4321;1
#if USE_GTKSPELL;4345;1
#ifndef G_OS_WIN32;4359;1
#ifndef G_OS_WIN32;4372;1
#if USE_GPGME;4466;1
#if USE_GTKSPELL;4605;1
#if USE_GPGME;4631;1
#if USE_GPGME;4659;1
#ifdef USE_GTKSPELL;4673;1
#if USE_GPGME;4706;1
#ifndef G_OS_WIN32;4742;1
#if USE_GPGME;4746;1
#if USE_GTKSPELL;4750;1
#if USE_GPGME;4768;1
#ifndef G_OS_WIN32;4776;1
#if USE_GTKSPELL;4780;1
#if USE_GTKSPELL;5028;1
#if USE_ENCHANT;5029;1
#if USE_GTKSPELL;5270;1
#ifdef G_OS_WIN32;5578;1
#ifdef G_OS_WIN32;5596;1
