feature;sd
SM_NSSWITCH_DELIMS;1
CI_EOH;1
LA_FLOAT;1
SPT_PADCHAR;1
_FFR_DIGUNIX_SAFECHOWN;2
MAX_MACROS_ENTRIES;1
MBDB_DEFAULT_LDAP_BASEDN;1
SSL_OP_SSLEAY_080_CLIENT_DH_BUG;1
true;1
SM_CHECK_ASSERT;2
S_ISLNK;4
SM_CONF_SIGSETJMP;3
__GLIBC__;4
LDAP_URL_ERR_NODN;1
SASL;121
LDAPMAP_MAX_FILTER;1
SA_RESTART;2
MIME7TO8;6
SSL_OP_MICROSOFT_BIG_SSLV3_BUFFER;1
_FFR_WORKERS_POOL;17
EMFILE;3
_FFR_QUEUE_RUN_PARANOIA;9
NETX25;7
SM_INT32;1
SM_CONF_CANT_SETRGID;1
SYSTEM5;4
GLIBC_VERSION;2
SM_CONF_SYSLOG;3
DARWIN;4
SSL_OP_SINGLE_ECDH_USE;1
_FFR_RUNPQG;2
SM_CONF_MEMCHR;4
NO_DH;4
MAXNOOPCOMMANDS;1
_FFR_IPV6_FULL;2
TZ_TM_NAME;1
__OpenBSD__;2
SIGFUNC_RETURN;1
SIOCGLIFCONF;1
_SCO_unix_;7
__APPLE__;1
EX_CONFIG;1
MAILER_SETUID_METHOD;8
NCR_MP_RAS2;1
EPROTONOSUPPORT;2
_FFR_RCPTTHROTDELAY;5
SM_IPNODEBYNAME_FLAGS;2
SM_CONF_LDAP_MEMFREE;3
MOTO;2
TCPWRAPPERS;5
SASL_SEC_FORWARD_SECRECY;1
HASFLOCK;25
LIBC_SCCS;3
NetBSD1_4;1
TLS_NO_RSA;8
MATCHGECOS;5
SIGTSTP;3
MAXPATHLEN;4
_FFR_MILTER_ENHSC;9
EWOULDBLOCK;3
S_IWUSR;2
DB_VERSION_MAJOR;53
SM_LDAP_ARGS;2
NEEDLINK;2
AUTO_NETINFO_ALIASES;1
MAXDAEMONS;1
IRIX5;3
_FFR_DROP_TRUSTUSER_WARNING;2
SM_CONF_TEST_LLONG;5
DEC;3
_FFR_MAIL_MACRO;2
EISCONN;1
vsnprintf;1
_FFR_TLS_1;18
_CRAY;2
POOL_DEBUG;1
_FFR_QUEUEDELAY;2
CI_EOM;1
__FreeBSD_version;8
SM_CONF_FORMAT_TEST;3
SO_REUSEADDR_IS_BROKEN;2
__RES;2
EFTYPE;1
_DEFINE;3
_CONVEX_SOURCE;3
__FreeBSD__;4
SM_CONF_LDAP_INITIALIZE;3
DBM;1
HASSRANDOMDEV;2
_FFR_TESTS;3
NETISO;14
LOG;9
SYSLOG_BUFSIZE;9
SSL_OP_CRYPTOPRO_TLSEXT_BUG;1
SASL_SEC_NOACTIVE;1
__bsdi__;2
MILTER;48
MAXWORKGROUPS;1
S_IFSOCK;3
SOLARIS_2_3;1
_SC_OPEN_MAX;1
_FFR_MAX_FORWARD_ENTRIES;3
HPUX10;1
SIOCGIFNUM_IS_BROKEN;2
SMRSH_CMDDIR;6
SM_CONF_SSIZE_T;3
DBMMODE;1
SPT_TYPE;20
SSL_OP_NETSCAPE_REUSE_CIPHER_CHANGE_BUG;1
ETIMEDOUT;2
ESPIPE;1
snprintf;1
oldBSD43;1
SSL_OP_NO_QUERY_MTU;1
MAXVRFYCOMMANDS;1
_FFR_ALIAS_DETAIL;2
SM_OS_NAME;1
EINPROGRESS;1
S_IXGRP;1
HASLSTAT;10
_USE_SUN_NSSWITCH_;6
HASSETEGID;5
DB_CACHE_SIZE;4
SM_CONF_SYS_CDEFS_H;4
DB_OLD_VERSION;3
SAFENFSPATHCONF;2
S_ISSOCK;3
ENOLCK;1
_GNU_TYPES_H;1
S_ISDIR;1
__NetBSD__;7
SMRSH_PATH;3
_FFR_LINUX_MHNL;2
LDAP_VERSION_MIN;2
_FFR_MILTER_CHECK;9
SM_CONF_SHM;40
EADDRINUSE;1
nec_ews_svr4;1
BROKEN_RES_SEARCH;4
_SEQUENT_;1
LA_PSET;1
EAGAIN;4
IPOPTION;2
SMTPDEBUG;2
INT32SZ;1
VENDOR_NAME;2
_FFR_DONTLOCKFILESFORREAD_OPTION;3
_FFR_DNSMAP_ALIASABLE;2
SASL_SEC_NOANONYMOUS;1
NetBSD;1
CI_CONNECT;1
_FFR_EXPDELAY;6
S_IFDIR;1
_FFR_RHS;11
__SVR4;2
DNSMAP;5
STARTTLS;61
SSL_OP_NO_TLSv1_1;1
_PATH_SHELLS;1
uniosb;1
LDAP_URL_ERR_BADATTRS;1
T_NAPTR;1
major;1
SASL_VERSION;1
SHM_W;1
USE_LDAP_SET_OPTION;2
__hpux;13
NCR_MP_RAS3;1
HESIOD_INIT;8
SM_CHECK_REQUIRE;3
SASL_VERSION_STEP;1
