guard;line;td
#ifndef LDAP_API_FEATURE_X_OPENLDAP;11;1
#ifdef LDAP_OPT_ERROR_NUMBER;14;1
#elif defined( LDAP_OPT_SIZELIMIT );20;1
#if LDAP_API_VERSION >= 2004;118;1
#ifdef UMICH_LDAP;301;1
#ifdef UMICH_LDAP;316;1
#ifdef UMICH_LDAP;332;1
#ifdef LDAP_OPT_DEREF;600;1
#ifdef UMICH_LDAP;668;1
#ifdef LDAP_OPT_DEREF;687;1
#ifdef LDAP_OPT_DEREF;709;1
#if defined(UMICH_LDAP) || (defined(OPEN_LDAP) && !defined(LDAP_API_VERSION));744;3
#ifdef LDAP_DEBUG;910;1
#ifdef UMICH_LDAP;1015;1
#if LDAPTCL_PROTOCOL_VERSION_DEFAULT;1041;1
#ifdef LDAP_OPT_PROTOCOL_VERSION;1047;1
#ifdef LDAP_VERSION3;1053;1
#ifdef LDAP_OPT_PROTOCOL_VERSION;1081;1
#ifdef UMICH_LDAP;1097;1
#ifdef TCL_TEST;4;1
#ifdef USE_TCLX;12;1
#ifdef USE_ITCL;26;1
#ifdef TCL_TEST;32;1
#ifdef USE_TCLX;39;1
#ifdef __cplusplus;5;1
#ifdef USE_TCLX;16;1
#ifdef __cplusplus;23;1
#ifdef USE_TCLX;35;1
#ifdef USE_TCLX;45;1
#ifdef SLAP_DYNACL;5;1
#ifdef SLAPD_OVER_ALLOWED;2;1
#if LDAP_VENDOR_VERSION_MINOR != X && LDAP_VENDOR_VERSION_MINOR <= 3;281;2
#if SLAPD_OVER_ALLOWED == SLAPD_MOD_DYNAMIC;322;2
#if SLAPD_OVER_ALLOWED == SLAPD_MOD_DYNAMIC;342;2
#ifndef SLAPD_MEMBEROF_ATTR;7;1
#ifdef SLAPD_OVER_CLOAK;2;1
#if SLAPD_OVER_CLOAK == SLAPD_MOD_DYNAMIC;237;2
#if SLAPD_OVER_CLOAK == SLAPD_MOD_DYNAMIC;252;2
#ifndef _authorityKeyIdentifier_h_;2;1
#ifdef __cplusplus;4;1
#ifdef _WIN32;7;1
#ifdef __cplusplus;184;1
#ifndef _certificate_h_;2;1
#ifdef __cplusplus;4;1
#ifdef _WIN32;7;1
