branch;line;nd
#ifdef DEBUG;191;1
#ifdef DEBUG;199;1
#ifdef DEBUG;206;1
#ifdef DEBUG;344;1
#ifdef DEBUG;358;1
#ifdef DEBUG;364;1
#ifndef lint;1;2
#if 0;6;1
#else;8;1
#ifndef V6;108;1
#else;125;1
#ifndef lint;1;2
#ifdef __STDC__;9;1
#ifdef CM_N;35;1
#ifdef CM_GT;59;1
#ifdef CM_B;90;1
#ifdef CM_D;95;1
#ifndef lint;1;2
#if USHRT_MAX == 65535;24;1
#else;27;1
#ifndef CHARCLASS_NAME_MAX;90;1
#ifndef COLL_WEIGHTS_MAX;37;1
#ifdef DSHLIB;78;1
#ifdef __cplusplus;76;1
#ifdef __cplusplus;83;1
#if 0;760;1
#else;780;1
#ifdef REGDEBUG;830;1
#if __GNUC__ >= 3 && __GNUC_MINOR__ >= 4;22;1
#elif defined __GNUC__;24;1
#else;26;1
#ifndef LIBUXRE_STATIC;3;1
#ifndef LIBUXRE_WUCHAR_T;6;1
#ifndef LIBUXRE_W_TYPE;10;1
#ifdef notdef;17;1
#ifdef LANGMSG;6;1
#else;9;1
#ifdef debug;13;1
#else;26;1
#ifdef pdp11;29;1
#else;31;1
#ifdef NULL;40;1
#ifdef debug;187;2
#ifdef notdef;223;1
#ifndef MAP_FAILED;6;1
#ifndef MAP_ANON;9;2
#ifdef debug;18;2
#else;49;1
#ifdef pdp11;53;1
#else;55;1
#ifdef NULL;64;1
#ifndef MAP_ANON;94;1
#else;100;1
#ifdef debug;257;2
#ifdef notdef;293;1
#ifndef lint;1;2
#if __GNUC__ >= 3 && __GNUC_MINOR__ >= 4;1;1
#elif defined __GNUC__;3;1
#else;5;1
#if !defined (REGEXP_H_USED_FROM_VI) && !defined (__dietlibc__);10;1
#ifdef REGEXP_H_WCHARS;30;1
#else;32;1
#ifdef REGEXP_H_WCHARS;38;1
#ifdef REGEXP_H_WCHARS;44;1
#ifdef REGEXP_H_WCHARS;50;2
#ifndef regexp_h_static;65;1
#ifndef REGEXP_H_STEP_INIT;68;1
#ifndef REGEXP_H_ADVANCE_INIT;71;1
#ifdef REGEXP_H_WCHARS;97;2
#else;182;1
#ifdef REGEXP_H_WCHARS;199;1
#ifdef REGEXP_H_WCHARS;259;1
#ifdef REGEXP_H_VI_BACKSLASH;277;1
#ifdef REGEXP_H_VI_BACKSLASH;290;1
#ifdef REGEXP_H_WCHARS;313;2
#ifdef REGEXP_H_WCHARS;450;1
#ifdef REGEXP_H_WCHARS;455;1
#ifdef REGEXP_H_WCHARS;478;1
#ifdef REGEXP_H_WCHARS;483;1
#ifdef REGEXP_H_WCHARS;502;1
#ifdef REGEXP_H_WCHARS;561;2
#else;633;1
#ifdef REGEXP_H_WCHARS;641;1
#ifdef REGEXP_H_WCHARS;650;1
#ifdef REGEXP_H_WCHARS;656;1
#ifdef REGEXP_H_WCHARS;678;1
#ifdef REGEXP_H_WCHARS;698;1
#ifdef REGEXP_H_WCHARS;722;1
#ifdef REGEXP_H_WCHARS;736;1
#ifdef REGEXP_H_WCHARS;761;1
#ifdef REGEXP_H_WCHARS;801;1
#ifdef REGEXP_H_WCHARS;840;1
#ifdef REGEXP_H_WCHARS;892;1
#ifdef REGEXP_H_WCHARS;907;1
#ifdef REGEXP_H_WCHARS;927;1
#ifdef REGEXP_H_WCHARS;940;1
#ifdef REGEXP_H_WCHARS;949;1
#ifdef REGEXP_H_WCHARS;977;1
