branch;line;nd
#if _FFR_WORKERS_POOL;335;1
#if !_FFR_WORKERS_POOL;345;1
#if _FFR_MILTER_CHECK;621;1
#if _FFR_MDS_NEGOTIATE;671;2
#if _FFR_MILTER_CHECK;724;1
#if _FFR_MILTER_CHECK;805;1
# if NETINET;858;1
# if NETINET6;876;1
# if NETUNIX;894;1
#if _FFR_WORKERS_POOL;1233;2
#ifndef true;9;1
#if !_FFR_WORKERS_POOL;4;1
#ifdef _DEFINE;4;1
#else;8;1
#ifdef SM_ASSERT;16;1
#ifndef SM_ASSERT;19;1
#if _FFR_THREAD_MONITOR;48;1
#if _FFR_WORKERS_POOL;52;1
#if _FFR_WORKERS_POOL;73;2
#if SM_CONF_POLL;85;1
#else;100;1
#ifndef MI_SOMAXCONN;116;2
#if _FFR_THREAD_MONITOR;162;1
#else;170;1
#if _FFR_WORKERS_POOL;175;1
# if NETINET || NETINET6;7;1
# if SM_CONF_POLL;10;1
#if !_FFR_WORKERS_POOL;19;1
#if NETUNIX;61;1
#if NETUNIX;93;1
#else;96;3
#if NETUNIX;113;1
#if NETINET;121;1
#if NETINET6;128;1
#if NETUNIX;146;1
#else;149;3
#if NETUNIX;165;2
#if NETINET || NETINET6;195;2
#if NETUNIX;380;1
#if NETUNIX;392;1
#if NETUNIX;441;1
#if !_FFR_WORKERS_POOL;460;1
#if NETUNIX;474;2
#if NETUNIX;489;2
#if BROKEN_PTHREAD_SLEEP;514;1
#else;516;1
#if _FFR_DUP_FD;528;1
#if !_FFR_WORKERS_POOL;539;1
#if _FFR_WORKERS_POOL;549;1
# ifdef BSD4_4_SOCKADDR;612;1
#ifdef EAGAIN;630;1
#ifdef ECONNABORTED;633;1
#ifdef EMFILE;636;1
#ifdef ENFILE;639;1
#ifdef ENOBUFS;642;1
#ifdef ENOMEM;645;1
#ifdef ENOSR;648;1
#ifdef EWOULDBLOCK;651;1
#if _FFR_DUP_FD;670;1
#if _FFR_WORKERS_POOL;725;1
#else;728;1
#if _FFR_THREAD_MONITOR;4;1
#if defined(SOLARIS) || defined(__svr5__);42;1
#else;44;1
#if NETINET || NETINET6;4;1
#if NETINET6 && NEEDSGETIPNODE;8;2
#else;55;1
#if (SOLARIS > 10000 && SOLARIS < 20400) || (defined(SOLARIS) && SOLARIS < 204) || (defined(sony_news) && defined(__svr4));64;2
#else;74;3
