guard;line;td
#ifdef ZEND_WIN32;11;1
#ifndef ZEND_MM_HEAP_PROTECTION;15;1
#ifndef ZEND_MM_SAFE_UNLINKING;18;1
#ifndef ZEND_MM_COOKIES;21;1
#ifdef _WIN64;24;1
#if ZEND_DEBUG;29;1
#ifdef ZEND_WIN32;37;1
#if (defined (__GNUC__) && __GNUC__ > 2 ) && !defined(__INTEL_COMPILER) && !defined(DARWIN) && !defined(__hpux) && !defined(_AIX);44;5
#ifdef PHP_WIN32;50;1
#if ZEND_DEBUG && defined(HAVE_KILL) && defined(HAVE_GETPID);53;3
#ifdef ZEND_WIN32;58;1
#if HAVE_LIMITS_H;64;1
#if defined(HAVE_MEM_MMAP_ANON) || defined(HAVE_MEM_MMAP_ZERO);69;2
# ifdef HAVE_MREMAP;70;1
# ifndef _GNU_SOURCE;71;1
# ifndef __USE_GNU;74;1
# ifndef MAP_ANON;79;1
# ifdef MAP_ANONYMOUS;80;1
# ifndef MREMAP_MAYMOVE;84;1
# ifndef MAP_FAILED;87;1
#if defined(HAVE_MEM_MMAP_ANON) || defined(HAVE_MEM_MMAP_ZERO);102;2
#ifdef HAVE_MREMAP;106;1
#if defined(__NetBSD__);107;1
#ifdef HAVE_MREMAP;119;1
#ifdef HAVE_MEM_MMAP_ANON;129;1
#ifdef HAVE_MEM_MMAP_ZERO;140;1
#ifdef HAVE_MEM_WIN32;168;1
#ifdef HAVE_MEM_MALLOC;208;1
#ifdef HAVE_MEM_WIN32;224;1
#ifdef HAVE_MEM_MALLOC;227;1
#ifdef HAVE_MEM_MMAP_ANON;230;1
#ifdef HAVE_MEM_MMAP_ZERO;233;1
#if ZEND_MM_COOKIES;248;1
#if ZEND_DEBUG;254;1
#if ZEND_MM_HEAP_PROTECTION;261;1
#elif ZEND_MM_HEAP_PROTECTION;265;1
#if ZEND_DEBUG;273;1
# ifdef ZTS;275;1
#elif ZEND_MM_HEAP_PROTECTION;279;1
#if ZEND_DEBUG;285;1
# ifdef ZTS;287;1
#if ZEND_DEBUG;296;1
# ifdef ZTS;298;1
#ifndef ZEND_MM_CACHE_STAT;310;1
#if ZEND_MM_CACHE;333;1
#if ZEND_MM_CACHE_STAT;341;1
#if ZEND_MM_COOKIES;354;1
#ifdef _WIN64;365;1
#if ZEND_DEBUG;399;1
# ifdef ZTS;400;1
#if ZEND_MM_HEAP_PROTECTION;417;1
# if ZEND_DEBUG;425;1
#if ZEND_MM_SAFE_UNLINKING;433;1
#if defined(__GNUC__) && (defined(__native_client__) || defined(i386));446;3
#elif defined(__GNUC__) && defined(__x86_64__);450;2
#elif defined(_MSC_VER) && defined(_M_IX86);454;2
#elif defined(__GNUC__) && (defined(__arm__) || defined(__aarch64__));458;3
#if defined(__GNUC__) && (defined(__native_client__) || defined(i386));471;3
#elif defined(__GNUC__) && defined(__x86_64__);475;2
#elif defined(_MSC_VER) && defined(_M_IX86);479;2
