guard;line;td
#if defined(MAGICKCORE_JPEG_DELEGATE);1218;1
#if (JPEG_LIB_VERSION >= 61) && defined(C_PROGRESSIVE_SUPPORTED);1796;2
#if !defined(C_LOSSLESS_SUPPORTED);1826;1
#if (JPEG_LIB_VERSION >= 70);1893;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);29;1
#ifdef __WIN32__;58;1
#ifdef __APPLE__;61;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);360;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);373;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);536;1
#if defined(MAGICKCORE_HAVE_LOCALTIME_R);912;1
#ifdef IMPLEMENT_IS_FUNCTION;23;1
#ifdef HANDLE_GT_LT;47;1
#if defined(future);659;1
#if defined(future);725;1
#if defined(future);809;1
#ifdef HANDLE_GT_LT;1361;1
#if defined(MAGICKCORE_WINDOWS_SUPPORT);1383;1
#if defined(macintosh);1386;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);36;1
#if defined(MAGICKCORE_LZMA_DELEGATE);39;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);42;1
#if !defined(LZMA_OK);45;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);58;1
#if defined(MAGICKCORE_LZMA_DELEGATE);65;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);72;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);268;1
#if defined(MAGICKCORE_LZMA_DELEGATE);275;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);282;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);295;1
#if defined(MAGICKCORE_LZMA_DELEGATE);317;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);350;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);1086;1
#if defined(MAGICKCORE_LZMA_DELEGATE);1089;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1092;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);1097;1
#if defined(MAGICKCORE_LZMA_DELEGATE);1112;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1132;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);1175;1
#if defined(MAGICKCORE_LZMA_DELEGATE);1199;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1229;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);1289;1
#if defined(MAGICKCORE_LZMA_DELEGATE);1309;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1321;1
#if defined(MagickImageCoderSignatureText);1390;1
#if defined(ZLIB_VERSION);1392;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);1396;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);1571;1
#if defined(MAGICKCORE_LZMA_DELEGATE);1584;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1612;1
#if !defined(MAGICKCORE_LZMA_DELEGATE);1657;1
#if !defined(MAGICKCORE_ZLIB_DELEGATE);1660;1
#if !defined(MAGICKCORE_BZLIB_DELEGATE);1664;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);2010;1
#if defined(MAGICKCORE_LZMA_DELEGATE);2026;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);2042;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);2080;1
#if defined(MAGICKCORE_LZMA_DELEGATE);2107;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);2133;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);2209;1
#if defined(MAGICKCORE_LZMA_DELEGATE);2237;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);2262;1
#if defined(MAGICKCORE_XML_DELEGATE);52;1
# if defined(MAGICKCORE_WINDOWS_SUPPORT);53;1
# if defined(__MINGW32__) || defined(__MINGW64__);54;2
#if defined(MAGICKCORE_XML_DELEGATE);89;1
#if defined(MAGICKCORE_XML_DELEGATE);96;1
#if defined(MAGICKCORE_XML_DELEGATE);102;1
#if defined(__cplusplus) || defined(c_plusplus);103;2
#if !defined(MAGICKCORE_HAVE_VSNPRINTF);6869;1
#if !defined(MAGICKCORE_HAVE_VSNPRINTF);6892;1
#if defined(__cplusplus) || defined(c_plusplus);6980;2
#if defined(MAGICKCORE_XML_DELEGATE);7117;1
#if defined(MAGICKCORE_XML_DELEGATE);7121;1
#if defined(MAGICKCORE_XML_DELEGATE);7130;1
#if defined(MAGICKCORE_XML_DELEGATE);7384;1
#if defined(MAGICKCORE_XML_DELEGATE);7388;1
#if defined(MAGICKCORE_PANGOCAIRO_DELEGATE);28;1
#if defined(MAGICKCORE_PANGOCAIRO_DELEGATE);33;1
#if defined(PANGO_VERSION_STRING);346;1
#if defined(MAGICKCORE_PANGOCAIRO_DELEGATE);351;1
#if defined(MAGICKCORE_TIFF_DELEGATE);42;1
#if defined(MAGICKCORE_GS_DELEGATE) || defined(MAGICKCORE_WINDOWS_SUPPORT);49;2
#if defined(MAGICKCORE_GS_DELEGATE) || defined(MAGICKCORE_WINDOWS_SUPPORT);76;2
#if defined(MAGICKCORE_WINDOWS_SUPPORT);93;1
#if !defined(MAGICKCORE_JPEG_DELEGATE);953;1
#if !defined(MAGICKCORE_LIBOPENJP2_DELEGATE);963;1
#if !defined(MAGICKCORE_ZLIB_DELEGATE);973;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1340;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1441;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1525;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1751;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1844;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1918;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);2102;1
#if defined(MAGICKCORE_HAVE_LOCALTIME_R);2167;1
#if !defined(macintosh);539;1
#if defined(MAGICKCORE_PNG_DELEGATE);42;1
#if PNG_LIBPNG_VER > 10011;47;1
#if defined(MAGICKCORE_JPEG_DELEGATE);52;1
#if !defined(RGBColorMatchExact);55;1
#if MAGICKCORE_QUANTUM_DEPTH > 8;121;1
