branch;line;nd
#ifdef HAVE_CONFIG_H;1;1
#ifdef G_OS_WIN32;5;1
#ifdef HAVE_CONFIG_H;3;1
#ifdef HAVE_CONFIG_H;1;1
#if USE_SSL;4;2
#ifdef HAVE_CONFIG_H;3;1
#if USE_SSL;6;1
#ifdef HAVE_CONFIG_H;1;1
#if USE_SSL;4;1
#ifdef HAVE_CONFIG_H;3;1
#if USE_SSL;6;1
#if 0;5;1
#else;7;1
#ifdef G_ENABLE_DEBUG;2;1
#else;21;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef G_OS_UNIX;7;1
#if HAVE_LOCALE_H;10;1
#if USE_SSL;22;1
#ifndef PACKAGE;25;1
#ifdef G_OS_WIN32;164;1
#ifdef HAVE_LOCALE_H;175;1
#ifdef G_OS_WIN32;179;1
#ifdef ENABLE_NLS;184;1
#ifdef G_OS_UNIX;189;1
#ifdef ENABLE_NLS;196;2
#if GLIB_CHECK_VERSION(2, 6, 0);249;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef HAVE_CONFIG_H;1;1
#if HAVE_SYS_WAIT_H;17;1
#ifdef G_OS_WIN32;22;2
#ifdef __APPLE__;32;1
#if !GLIB_CHECK_VERSION(2, 7, 0) && !defined(G_OS_UNIX);39;2
#ifndef G_OS_UNIX;113;2
#ifdef G_OS_WIN32;302;1
#ifdef G_OS_WIN32;309;1
#else;317;1
#ifdef G_OS_WIN32;332;1
#else;334;1
#if GLIB_CHECK_VERSION(2, 6, 0);1435;1
#else;1447;1
#ifdef G_OS_WIN32;1661;1
#elif defined(__APPLE__);1674;1
#else;1685;1
#ifdef G_OS_WIN32;1709;1
#ifdef G_OS_WIN32;1730;1
#else;1738;1
#ifdef G_OS_WIN32;1744;1
#elif defined(__APPLE__);1753;1
#else;1760;1
#ifdef G_OS_WIN32;1767;1
#elif defined(__APPLE__);1777;1
#else;1782;1
#if defined(G_OS_WIN32) || defined(__APPLE__);1799;1
#else;1805;1
#ifdef HAVE_DIRENT_D_TYPE;2003;1
#ifdef HAVE_DIRENT_D_TYPE;2013;1
#if !defined(G_OS_UNIX) && !GLIB_CHECK_VERSION(2, 9, 1);2275;1
#ifdef G_OS_WIN32;2289;1
#else;2324;1
#if 0;2877;1
#ifdef G_OS_WIN32;2918;1
#else;2944;2
#ifdef G_OS_WIN32;2953;1
#ifdef G_OS_WIN32;3017;1
#else;3039;1
#if defined(G_OS_WIN32) && !GLIB_CHECK_VERSION(2, 8, 2);3164;1
#if defined(G_OS_WIN32) && !GLIB_CHECK_VERSION(2, 8, 2);3186;1
#else;3199;1
#if defined(G_OS_WIN32) && !GLIB_CHECK_VERSION(2, 8, 2);3212;1
#ifdef G_OS_WIN32;3216;2
#else;3240;1
#if USE_THREADS;3272;1
#else;3316;1
#ifdef G_OS_WIN32;3324;1
#elif defined(__APPLE__);3344;1
#ifdef G_OS_WIN32;3356;1
#if defined(G_OS_WIN32) || defined(__APPLE__);3396;1
#ifdef G_OS_WIN32;3414;1
#if USE_THREADS;3614;1
#else;3618;1
#ifdef HAVE_CONFIG_H;3;1
#if HAVE_ALLOCA_H;14;1
#if GLIB_CHECK_VERSION(2, 6, 0);17;1
#else;19;1
#if !GLIB_CHECK_VERSION(2, 7, 0);31;2
#ifdef G_OS_UNIX;41;1
#else;43;1
#if !SIZEOF_UNSIGNED_SHORT;47;1
#if !SIZEOF_UNSIGNED_INT;51;1
#if !SIZEOF_UNSIGNED_LONG;55;1
#ifndef HAVE_U32_TYPEDEF;59;1
#ifndef BIG_ENDIAN_HOST;64;2
#ifdef HAVE_CONFIG_H;1;1
#if defined(SPARSE_MEMORY);9;1
#else;20;1
#if defined(SPARSE_MEMORY);93;1
#if 0;171;1
#ifdef HAVE_CONFIG_H;1;1
#if HAVE_SYS_UTSNAME_H;19;1
#if HAVE_SYS_UTSNAME_H;56;1
#if HAVE_SYS_UTSNAME_H;79;1
#elif defined(G_OS_WIN32);87;1
#else;94;1
#if USE_THREADS;107;1
#if INET6;110;1
#if HAVE_ICONV;113;1
#if HAVE_LIBCOMPFACE;116;1
#if USE_GPGME;119;1
#if USE_SSL;122;1
#if USE_LDAP;125;1
#if USE_JPILOT;128;1
#if USE_GTKSPELL;131;1
#if USE_ONIGURUMA;134;1
#if USE_GPGME;182;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef GTK_STOCK_EDIT;315;1
#else;317;1
#if USE_SSL;579;1
#else;594;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef GDK_WINDOWING_X11;9;1
#if HAVE_SYS_WAIT_H;17;1
#ifdef HAVE_CONFIG_H;1;1
#if 0;202;1
#if 0;251;1
#if 0;405;1
#ifndef DEV_STANDALONE;13;1
#ifndef DEV_STANDALONE;802;1
#ifdef DEV_STANDALONE;809;1
#else;814;1
#ifdef DEV_STANDALONE;829;1
#else;831;1
#if 0;975;1
#if 0;1226;1
#ifdef HAVE_CONFIG_H;1;1
#if 0;194;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef USE_JPILOT;42;1
#ifdef USE_LDAP;46;1
#if 0;139;1
#ifdef USE_JPILOT;226;1
#ifdef USE_LDAP;231;1
#ifdef USE_JPILOT;287;1
#ifdef USE_LDAP;289;1
#ifdef USE_JPILOT;319;1
#ifdef USE_LDAP;322;1
#if GTK_CHECK_VERSION(2, 6, 0);545;1
#if GTK_CHECK_VERSION(2, 14, 0);616;1
#if GTK_CHECK_VERSION(2, 6, 0);626;1
#if GTK_CHECK_VERSION(2, 6, 0);641;1
#if GTK_CHECK_VERSION(2, 14, 0);651;1
#if GTK_CHECK_VERSION(2, 6, 0);661;1
#if GTK_CHECK_VERSION(2, 14, 0);669;1
#if 0;708;1
#ifdef USE_JPILOT;1109;1
#ifdef USE_LDAP;1112;1
#ifdef USE_LDAP;1147;1
#ifdef G_OS_WIN32;1523;1
#ifdef USE_JPILOT;1810;1
#ifdef USE_LDAP;1815;1
#if 0;2814;1
#if 0;3032;1
#if 0;3170;1
#if 0;3226;1
#ifdef USE_JPILOT;3239;2
#ifdef USE_LDAP;3279;1
#ifdef USE_LDAP;3371;1
#ifdef USE_LDAP;3388;1
#if USE_THREADS;3844;1
#else;3848;1
#ifdef HAVE_CONFIG_H;1;1
#ifndef DEV_STANDALONE;15;1
#ifdef USE_JPILOT;20;1
#ifdef USE_LDAP;23;1
#if 0;55;1
#ifdef USE_JPILOT;131;1
#else;145;1
#ifdef USE_LDAP;152;1
#else;163;1
#ifdef USE_JPILOT;211;1
#ifdef USE_LDAP;219;1
