branch;line;nd
#ifdef HAVE_GETRLIMIT;1656;2
#ifdef WIN32;1791;1
#else;1794;1
#ifndef ENABLE_THREAD_SAFETY;1862;1
#ifndef WIN32;2194;2
#else;2270;1
#ifdef __i386__;4;1
#elif defined(__x86_64__) || defined(__alpha__) || defined(__hppa__);7;1
#else;10;1
#ifndef WORDS_BIGENDIAN;372;1
#if BF_SCALE;382;1
#else;384;1
#if BF_ASM;389;1
#else;392;1
#ifndef DISABLE_XDES;477;1
#if TRACEABLE_CLAMP;56;1
#else;58;1
#if TRACEABLE_FREE;79;1
#else;81;1
#if TRACEABLE_CLAMP;85;1
#if 0;126;1
#if TRACEABLE_FREE;1428;1
#if TRACEABLE_CLAMP;1449;1
#if 0;2313;1
#ifdef USE_LONG_LONG;8;1
#else;13;1
#if 0;118;1
#ifndef MD5_DIGEST_LENGTH;13;1
#ifndef SHA1_DIGEST_LENGTH;16;2
#ifndef WORDS_BIGENDIAN;113;1
#else;115;1
#ifndef WORDS_BIGENDIAN;130;1
#else;132;1
#ifdef WORDS_BIGENDIAN;151;1
#ifndef WORDS_BIGENDIAN;161;1
#else;163;1
#if OPENSSL_VERSION_NUMBER >= 0x00907000L;11;1
#else;13;1
#if OPENSSL_VERSION_NUMBER < 0x00908000L;85;1
#else;107;1
#ifdef HAVE_LIBZ;5;1
#else;221;1
#ifndef PX_OWN_ALLOC;6;1
#else;10;1
#ifdef PX_DEBUG;139;1
#else;143;1
#if defined(__linux__) || defined(__FreeBSD__) || defined(__OpenBSD__)  || defined(__NetBSD__) || defined(__DragonFly__)  || defined(__darwin__) || defined(__SOLARIS__)  || defined(__hpux) || defined(__HPUX__)  || defined(__CYGWIN__) || defined(_AIX);4;1
#ifdef WIN32;48;1
#ifndef WIN32;83;1
#ifdef TRY_DEV_RANDOM;127;1
#ifdef TRY_WIN32_GENRAND;130;1
#ifdef TRY_WIN32_PERFC;133;1
#ifdef TRY_UNIXSTD;136;1
#ifdef WORDS_BIGENDIAN;12;1
#else;14;1
