branch;line;nd
#if !defined(lint) && !defined(SCCSID);2;1
#ifdef WIDECHAR;7;1
#ifdef WIDECHAR;204;1
#else;212;1
#ifdef WIDECHAR;246;1
#else;258;1
#ifdef WIDECHAR;3;3
#else;52;1
#ifdef WIDECHAR;93;1
#else;109;1
#ifndef NARROWCHAR;117;1
#if !defined(lint) && !defined(SCCSID);2;2
#ifdef DEBUG_EDIT;64;1
#ifdef KSHVI;74;1
#else;76;1
#ifdef KSHVI;81;1
#else;83;1
#ifdef VI_MOVE;121;1
#ifdef DEBUG_EDIT;400;1
#ifdef SDEBUG;422;1
#ifdef SDEBUG;436;1
#ifdef SDEBUG;462;1
#ifdef SDEBUG;474;1
#ifndef NARROW_WRAPPER;3;1
#ifndef CTRL;32;2
#ifndef UNCTRL;41;1
#ifdef __cplusplus;49;1
#ifdef __cplusplus;158;1
#if !defined(lint) && !defined(SCCSID);2;2
#ifdef WIDECHAR;36;1
#ifdef WIDECHAR;74;1
#if defined(HAVE_GETUID) && defined(HAVE_GETEUID) && defined(HAVE_GETGID) && defined(HAVE_GETEGID);373;1
#if (defined(HAVE_ISSETUGID) || defined(HAVE_IDENTITY_FUNCS));376;2
#else;393;1
#ifdef WIDECHAR;85;1
#ifdef DEBUG;93;1
#else;95;1
#if !defined(lint) && !defined(SCCSID);2;1
#if !defined(lint) && !defined(SCCSID);2;2
#if defined (_AIX) && !defined (__GNUC__);1;1
#ifdef __GNUC__;5;1
#else;8;3
#if !defined(lint) && !defined(SCCSID);17;1
#ifdef HAVE_VIS_H;31;1
#else;33;1
#ifdef HAVE_ALLOCA_H;36;1
#if defined(HAVE_GETPW_R_POSIX) || defined(HAVE_GETPW_R_DRAFT);48;1
#ifdef HAVE_GETPW_R_POSIX;71;1
#elif HAVE_GETPW_R_DRAFT;75;1
#else;77;1
#ifdef HAVE_GETPW_R_POSIX;81;1
#elif HAVE_GETPW_R_DRAFT;84;1
#else;86;1
#if HAVE_STRUCT_DIRENT_D_NAMLEN;175;1
#else;177;1
#if HAVE_STRUCT_DIRENT_D_NAMLEN;185;1
#else;187;1
#if defined(__SSP__) || defined(__SSP_ALL__);323;1
#else;325;1
#if defined(__SSP__) || defined(__SSP_ALL__);396;1
#if !defined(lint) && !defined(SCCSID);2;2
#ifdef KSHVI;45;1
#ifdef KSHVI;73;1
