feature;sd
_USE_32BIT_TIME_T;1
MAX_RELEASE_CHECK_RATE;1
HAVE_MMAP;7
NEEDS_SYS_PARAM_H;1
USE_CURL_MULTI;29
OLD_ICONV;1
NO_STRUCT_ITIMERVAL;1
_M_X64;3
NO_CURL_IOCTL;5
STRIP_EXTENSION;1
isascii;1
_WIN32;2
_BIG_ENDIAN;2
NEGATE_CLASS2;1
HAVE_MORECORE;4
RE_ENABLE_I18N;92
NOINLINE;1
NO_GETTEXT;4
