feature;sd
USE_IX86_FRAME_POINTER;1
R_OK;3
HPPA_HPUX_FP_MACROS_CHECK;1
CHECK_EXECUTE_STACK_ENABLED;1
_GLIBCXX_GUARD_SET_AND_RELEASE;1
AARCH64_VARIADIC_MACRO_DEF_GEN_PARAM_TYPE_LIST_WITH_IDENT;1
__;1
ENABLE_LD_BUILDID;1
HAVE_64BIT_INT_CUSTOM;1
VA_START;1
RECURSIVE;2
test;3
ConvertAction__;1
SUBLANG_AZERI_LATIN;1
BITSIZEOF_LONG;1
__FLT_HAS_INFINITY__;3
TARGET_HPUX_10_10;1
Sword;1
__gnu_java_net_protocol_file_Connection;1
DEBUG_MACRO_SECTION_LABEL;1
HMacMD2;10
Serpent__;13
DEBUG_ALLOC;13
L_satfract;3
SUBLANG_SPANISH_BOLIVIA;1
FN;1
__gnu_java_math_GMP__;1
__gnu_java_security_provider_Gnu;1
IOV_MAX;1
__RX_AS100_SYNTAX;1
OBJC_FORWARDING_MIN_OFFSET;1
_MIPS_SIM;18
HAVE_AS_LEON;2
GMonth__;1
_GLIBCXX_HAVE_LDEXPF;1
DEBUG_INFO_SECTION;1
WrappedLineCreator__;1
HAVE_GFC_LOGICAL_8;6
L_ashrdi3;4
GCOV_LINKAGE;1
TARGET_FUNCTION_INCOMING_ARG;1
SUBLANG_NEPALI_INDIA;1
__m88000__;1
WIN32_REGISTRY_KEY;1
HAVE_VFORK_H;1
RadioButtonIcon__;3
SUPPORTS_DISCRIMINATOR;1
HAVE_SQRTF;3
__GXX_RTTI;19
HAVE_sibcall_epilogue;4
INTMAX_MIN;11
__javax_swing_text_DocumentFilter;1
_GLIBCXX_PROFILE_MAX_STACK_DEPTH;1
HAVE_MATH_H_SIGNGAM;2
__gnu_javax_crypto_jce_PBKDF2SecretKeyFactory;12
__UINT_LEAST8_MAX__;1
L_register_frame_info;1
libc;1
ArrowButtonListener__;1
ReaderSuffixFilter__;1
_GLIBCXX_HOSTED;13
HAVE_GFC_LOGICAL_16;236
L_gcov_execlp;1
HAVE_HYPOTL;4
x;2
KeyEnumerator__;1
bsdi;1
SO_KEEPALIVE;1
UTARG_MAX_HEX;2
__MSDOS__;8
DEBUG_ARANGES_SECTION;1
NumberCellRenderer__;1
HMacSHA384;10
__java_util_logging_FileHandler;1
DFSData__;1
L_conv_dd;1
TILEPRO;9
__SIZE_T__;1
BROKEN_ASSERT_STDIO_CHECK;1
LANG_SORBIAN;1
_POWER;6
L_muldi3;6
__i960__;2
L_trampoline;1
Iter__;1
__GNU__;3
__javax_sound_sampled_Mixer;1
HAVE_LD_AS_NEEDED;9
xcalloc;1
__javax_swing_plaf_basic_BasicSliderUI;13
ASM_OUTPUT_ALIGNED_LOCAL;4
LACKS_SYS_MMAN_H;1
DummyIcon__;1
TFLOAT;13
S_TYPE;1
HAVE_GAS_DISCRIMINATOR;1
CORD_H;1
L_saturate2;1
TARGET_CPU_v850e2v3;1
LANG_FARSI;1
ExprNodeSet__;1
LANG_MONGOLIAN;1
HAVE_consttable_2;1
_GLIBCXX_USE_C99_CTYPE_TR1;1
__java_awt_TextComponent;1
INSIDE_RECURSION;8
ASM_OUTPUT_ALIGNED_COMMON;3
__COMPACT__;1
VERBOSE_SKELETON;2
ARM;1
HAVE_DECL_STRSTR;1
HAVE_MATHERR;1
__STDC_VERSION__;22
NONATOMIC;1
IEC_559_COMPLEX_DEFINED_AFTER;1
CALL_REALLY_USED_REGISTERS;10
Quality__;1
__CHAR_BIT__;11
IIONodeList__;1
DirectoryComboBoxModel__;1
EmptySet__;1
INT_FAST8_MAX;1
FIXED_USDIV;1
SINGLE;7
__gnu_javax_print_ipp_IppRequest;1
__ALTIVEC__;21
SUBLANG_ENGLISH_CARIBBEAN;1
LINUX_THREADS;2
RPC_XDR_LVALUE_CAST_A_CHECK;1
AccessibleJTextArea__;1
HAVE_GETHOSTNAME_DECL;1
_GLIBCXX_PROFILE_MAX_WARN_COUNT_ENV_VAR;1
Unsigned_Shifts;1
__java_awt_geom_GeneralPath;1
INT_LEAST32_TYPE;1
STRUCT_SOCKADDR_CHECK;1
strlen;2
CONCISE;1
SliderHandler__;1
argdecl;1
DoneDelegation__;1
HAVE_atomic_compare_and_swapdi;1
AlsaReceiver__;1
BranchElement__;1
CC_STATUS_INIT;1
CLOCK_MONOTONIC;6
HAVE_DECL_ABORT;3
HAVE_mem_signal_fence;1
__mulsc3;1
_SHAINTRIN_H_INCLUDED;1
PRId8;1
DBL_EPSILON;3
ReaderObjectFilter__;1
OBJC_GEN_METHOD_LABEL;1
MetalInternalFrameTitlePanePropertyChangeHandler__;1
SHORT_CHARCONST;1
PRIiLEAST8;1
POSIXHandler__;1
LANG_KYRGYZ;1
__DBL_MIN__;1
FFI_SIZEOF_JAVA_RAW;5
HMacSHA384__;2
HEX_TABLE_INITIALIZED;1
NO_GETUID;1
EBADMSG;1
LC_ALL;2
HOST_LONG_LONG_FORMAT;1
SAVE_CALL_CHAIN;9
FLT_MIN_10_EXP;3
__UINTPTR_MAX__;2
ParamsVerifier__;1
L_sf_to_dd;3
SUBTARGET_ASM_UNWIND_INIT;1
SELECT4_DEFINED;1
ListenerAdapter__;1
__java_util_concurrent_ArrayBlockingQueue;1
__javax_swing_text_html_FrameSetView;1
log2;1
L_pthread_mutex_unlock;1
TransferableProxy__;1
LIB_SPEC;4
HAVE_UQI;2
EHOSTUNREACH;2
gmtime_r;1
HAVE_FSYNC;3
DECNUMBER;3
name;1
L_gcov_one_value_profiler;1
DoablesFinder__;1
PathPlaceHolder__;1
__java_text_SimpleDateFormat;1
DECBCD2DPD;1
__nios2_little_endian__;2
Scheduler__;1
LINKER_HASH_STYLE;2
HAVE_ATOMIC_FUNCTIONS;2
DoubleHandlerCreator__;1
SHLIB_SUFFIX;1
___int_size_t_h;1
i486;1
RestoreAction__;1
HMacMD4__;2
PUT_SDB_PLAIN_DEF;1
NodeRecord__;2
__DATE__;2
NETBSD;38
LifoWaitQueue__;1
GC_PRIVATE_H;4
__javax_swing_text_StyleContext;4
_LZCNTINTRIN_H_INCLUDED;1
TRAP_USING_ABORT;4
AVX512F_LEN;55
ASM_DECLARE_FUNCTION_NAME;4
TARGET_OVERRIDES_FORMAT_ATTRIBUTES;2
__gnu_java_awt_peer_qt_QtDialogPeer__;1
PUT_SDB_FUNCTION_START;1
HAVE_setmemqi;1
_GLIBCXX_HAVE_ETIMEDOUT;2
AccessibleAWTPanel__;1
memset;1
__javax_security_auth_PrivateCredentialPermission;1
LONG_SMODULO;1
DBX_STATIC_CONST_VAR_CODE;1
USE_GCC_UNWINDER;1
INT_KIND;16
Version__;1
LIBTSAN_EARLY_SPEC;2
__javax_swing_plaf_BorderUIResource;7
PRINT_OPERAND_PUNCT_VALID_P;1
ba;1
CellView__;1
TargetInputStream__;1
BITS_PER_UNIT;10
SET_FILE_NUMBER;1
dlopen;2
M88K;2
DISABLE_MAIN_ARGS;3
__LONG_LONG_MAX__;19
__LITTLE_ENDIAN;1
HAVE_PTHREAD_GETATTR_NP;3
UnmodifiableSortedSet__;1
S_hostLib_NETDB_INTERNAL;1
PROBE2;1
USEWINDOWS_CALLBACK;1
ONLY2;1
TripleDES__;13
1__;153
__FMA4__;20
__FP_FRAC_ADD_2;1
L_gcov_flush;2
__sun_awt_CausedFocusEvent;1
CredOwner__;1
NumberEditorFormatter__;1
CMPtype;3
INIT_CUMULATIVE_LIBCALL_ARGS;1
HAVE_sibcall_value_pop;1
TARGET_USE_MS_BITFIELD_LAYOUT;1
FE_OVERFLOW;3
B3000000;1
Requestor__;1
TRP_OVERFLOW;1
HAVE_UNAME;4
AssociatedStylesheetHandler__;1
__java_util_Hashtable;10
__osf__;3
SwingButtonListener__;1
_GLIBCXX_HAVE_FABSL;1
__H8300__;5
L_mul_dd;2
BACKTRACE_ELF_SIZE;4
SANITIZER_EARLY_SPEC;1
__mcfisab__;1
_TESTSUITE_API;1
VALUE_ARM_FEATURE_LDREX;1
CPP_SPEC;3
NO_MEMCPY;1
_GLIBCXX_USE_PTHREADS_NUM_PROCESSORS_NP;1
FBSD_MAJOR;3
GGC_QUIRE_SIZE;1
Z_HAVE_STDARG_H;3
FP_INIT_ROUNDMODE;1
HAS_LONG_COND_BRANCH;1
DIVCOUNT;3
STATIC_CHAIN_INCOMING_REGNUM;1
FileChooserUpFolderIcon__;1
AIX_COMPLEX_CHECK;1
HAVE_FCNTL;5
HMacWhirlpool__;2
PositionInfo__;1
EmptyIterator__;1
ModalExclusionType__;1
UnderlineAction__;1
SIGLWP;1
_T_PTRDIFF;1
__UNUSED_PARAM;1
MultiplexEnumeration__;1
DHPhase__;1
HAVE_QI;2
acosh;1
HAVE_AS_IX86_QUAD;1
LANG_LITHUANIAN;1
LANG_MARATHI;1
HAVE_INT16;3
__javax_swing_plaf_basic_BasicSplitPaneDivider;6
GFC_HAVE_REAL_16;1
HAVE_sync_compare_and_swaphi;1
HUGE_VALL_HEX_CHECK;1
TO_FIXED_WIDTH;5
OTHER_ISA;1
USE_HDR_CACHE;2
HAVE_CCOSHF;2
L_gcov_merge_delta;2
HAVE_CHDIR;1
MALLINFO_FIELD_TYPE;1
HorizontalSliderThumbIcon__;1
SYSTYPE_BSD43;2
NEWLIB_STDINT_2_CHECK;1
_PRFCHWINTRIN_H_INCLUDED;1
SATFRACT;3
L_sd_to_xf;3
O_BINARY;15
INSN_COUNT_THRESHOLD;1
DEFAULT_VDB;1
HAVE_FABS;2
__java_io_VMObjectInputStream__;1
KeyboardUpLeftHandler__;1
REGMODE_NATURAL_SIZE;1
GOMP_SELF_SPECS;1
INT_LEAST32_MAX;1
CHAR_TYPE_SIZE;2
__ADSPBF514__;1
__s390__;13
CertChainType__;1
__gnu_javax_crypto_jce_GnuCrypto;1
MISSING_BLOCKS_SUPPORT;1
L_fixunstfdi;1
__WORKAROUND_SPECULATIVE_LOADS;37
__ADSPBF59x__;1
IndentIcon__;1
_LARGEFILE_SOURCE;1
SUBLANG_ENGLISH_BELIZE;1
STACK_CHECK_BUILTIN;1
HAVE_BOEHM_GC;8
INT_MAX_32_BITS;6
__gnu_java_awt_peer_swing_SwingTextAreaPeer;3
PATH_MAX;9
__nios2__;3
_GLIBCXX_RANDOM_SHUFFLE_CONSIDER_TLB;5
__gnu_javax_crypto_prng_CSPRNG;3
Float__;8
__javax_swing_text_html_parser_AttributeList;1
JV_LINKER_CANNOT_8BYTE_ALIGN_STATICS;7
HAVE_GETPAGESIZE;3
CubicSegment__;1
FIXED_R2;1
__GNUC__;199
HAVE_POST_INCREMENT;2
DECDPD2BCD;1
BasicHorizontalLayoutManager__;1
__javax_swing_text_html_HTMLEditorKit;6
LDBL_TRUE_MIN;3
ButtonActionListener__;1
HAVE_TERMIOS;4
__pr11951__;1
DLL_EXPORT;3
ReadLock__;1
TO_IBITS;1
TARGET_CPU_niagara;3
MODE_BASE_REG_CLASS;1
CloseAction__;3
MAX_COPY;13
FORCE_STATIC;1
_BID_FUNCTIONS_H;1
__INT64_TYPE__;6
DEBUG_LINE_SECTION;1
YYLEX_PARAM;2
GFC_REAL_10_QUIET_NAN;52
LINE_CODE_LABEL;2
HAVE_INET6;62
DelayedWorkQueue__;1
__SIZEOF_INT__;73
noreturn;1
HTMLFactory__;1
UTS4;4
RandomAccessSubList__;2
DEBUG_RANGES_SECTION;1
EXP;1
GC_FREEBSD_THREADS;9
L_lt_tf;2
__SHA__;1
SUBSUBTARGET_OVERRIDE_OPTIONS;2
HAVE_SYS_WAIT_H;8
S_ISBLK;2
RecentSwatchPanel__;1
FOOTERS;11
CheckBoxMenuItemIcon__;2
GZIP;6
FocusAction__;1
_ARCH_PWR8;1
_GLIBCXX_CWCTYPE_H;1
FFI_MMAP_EXEC_SELINUX;2
MAKE_BACK_GRAPH;18
ReferenceBooleanPair__;1
_BSD_PTRDIFF_T_;2
PR20356_H;3
SKIP_ZERO_ARRAY;42
__POPCNT__;1
IntContext__;1
L_thenan_tf;1
VALUE_ARM_ARCH_ISA_ARM;1
USING_MALLOC_PAGE_GROUPS;11
__gnu_java_nio_charset_iconv_IconvEncoder__;1
Z_PREFIX_SET;2
GC_VERSION_MINOR;1
HAVE_CLOG10F;2
L_sd_to_td;3
HAS_STDINT_H;1
FIXED_INCLUDE_DIR;1
DEBUG_ADDR_SECTION;1
HANDLE_INNERCLASSES_ATTRIBUTE;1
SUBTARGET_ENCODE_SECTION_INFO;1
HAVE_WORKING_STAT;8
UPDATE_PATH_HOST_CANONICALIZE;1
sequent;1
RequestFocusForVisibleComponentAction__;1
HAVE_GFC_INTEGER_1;30
HAVE_FPRINTF_UNLOCKED;3
HAVE_MKSTEMP;2
FROM_UTA;3
HAVE_DI;6
5__;12
va_arg;1
__javax_swing_plaf_basic_BasicInternalFrameTitlePane;10
NEED_ARM_ARCH_ISA_THUMB;1
COMMON_ASM_OP;1
Spinner__;1
__CILKRTS_ABI_VERSION;8
__GCJ_CNI_H__;1
__GTHREAD_I486_INLINE_LOCK_PRIMITIVES;1
HAVE_FPXCP_H;2
AccessibleFocusHandler__;1
defpfx;1
GFC_REAL_10_INFINITY;32
__ARM_ARCH_2A__;1
__gnu_java_awt_peer_qt_QtTextAreaPeer__;1
CharacterConstants__;1
L_xf_to_td;3
ATOMIC_POINTER_LOCK_FREE;11
YYCOPY;1
AccessibleAWTChoice__;1
__mc68060__;2
MAP_FILE;2
L_tile_moddi3;1
__java_text_NumberFormat;1
PTHREAD_MUTEX_ERRORCHECK;1
MPSA_RMINFO;2
MAX_CANON;1
lround;1
__gnu_java_awt_font_OpenTypeFontPeer;2
PRIoFAST32;1
HAVE_SYS_FILIO_H;7
__gnu_CORBA_NamingService_NamingServiceTransient;1
__gnu_xml_libxmlj_dom_GnomeEntity__;1
LIBC_GLIBC;4
__gnu_java_awt_peer_gtk_CairoGraphics2D__;1
USE_HPUX_TLS;1
INO_T_EQ;2
__gnu_java_awt_peer_gtk_ComponentGraphics__;1
CONFIG_PPC405CR;1
COLD_TEXT_SECTION_LABEL;1
POWERPC_AIX;4
__java_util_Timer;2
TARGET_DEFAULT_FLOAT_ABI;2
__gnu_xml_aelfred2_SAXDriver;2
TRACE_EPOLL;11
L_mul_tf;2
PageSetupPanel__;1
MODE_ENTRY;6
_UNDEF__STDC_LIMIT_MACROS;2
CHAR_MAX;1
FP_EX_INVALID;1
RefTemplate__;1
ViewportContainerListener__;1
HAVE_ARCH_GTM_MASK_STACK;1
BCSSChild__;1
__AM33__;1
MAKECONTEXT_STACK_TOP;2
L_divdi3;12
DRIVER_ENDIAN_SELF_SPECS;1
READER__;1
KIND;4
CaretPolicy__;1
FROM_TQ;2
TARGET_OS_IPHONE;1
DateEditorFormatter__;1
HANDLE_MAGIC;1
TARGET_SYSTEM_ROOT;6
mvs;2
SUNOS5;9
HAVE_CLOGF;14
HAVE_INOTIFY_ADD_WATCH;1
FilterComboBoxModel__;1
L_div_tf;2
PRIxFAST32;1
DOS4GW;7
USING_MADVISE;2
C_WEAKEXT;1
_SIZE_T_DECLARED;1
qrtrfractype;1
L_usi_to_tf;2
ASM_OUTPUT_BEFORE_CASE_LABEL;1
SHARED_LIBRARY_BUILD;3
ReadWrite__;1
FINI_ARRAY_SECTION_ASM_OP;3
__gnu_java_awt_peer_gtk_GdkPixbufDecoder__;1
FIXED_MUL;1
HAVE_INT2;3
MATH_LIBRARY_PROFILE;2
IRA_NO_OBSTACK;5
DO_MAIN;1
FLT_MAX;3
STRING_WITH_STRINGS;3
__gnu_awt_xlib_XCanvasPeer;1
HAVE_GETEXECNAME;1
SPARC_STACK_BOUNDARY_HACK;2
MYFUNCTYPE;2
BUG;2
DUMMY;6
BreadthFirstEnumeration__;1
CodeSets_profile;1
L_gt_tf;2
SHORT_IMMEDIATES_SIGN_EXTEND;3
__javax_swing_JApplet;1
NO_DBX_BNSYM_ENSYM;1
Margins__;1
FP_HANDLE_EXCEPTIONS;1
_PC_NAME_MAX;1
UINT_LEAST8_TYPE;1
__java_awt_image_BufferedImage;1
yyInput__;1
GFC_INTEGER_2_INFINITY;30
SidesPanel__;1
TabbedPaneScrollLayout__;1
DEFAULT_MMAP_THRESHOLD;1
