guard;line;td
#ifndef Py_LIMITED_API;6;1
#ifdef MS_WINDOWS;44;1
#ifdef MS_WINDOWS;54;1
#ifndef Py_LIMITED_API;60;1
#if defined(__clang__) || (defined(__GNUC_MAJOR__) && ((__GNUC_MAJOR__ >= 3) || (__GNUC_MAJOR__ == 2) && (__GNUC_MINOR__ >= 5)));73;3
#if defined(Py_DEBUG) || defined(Py_LIMITED_API);79;2
#ifdef MS_WINDOWS;149;1
#if defined(MS_WINDOWS) && !defined(Py_LIMITED_API);175;2
#ifdef MS_WINDOWS;184;1
#ifndef Py_LIMITED_API;189;1
#ifndef Py_LIMITED_API;203;1
#ifndef Py_LIMITED_API;221;1
#ifndef Py_LIMITED_API;229;1
#ifndef Py_LIMITED_API;239;1
#ifndef Py_LIMITED_API;248;1
#ifndef Py_LIMITED_API;261;1
#ifndef Py_LIMITED_API;271;1
#if defined(MS_WIN32) && !defined(HAVE_SNPRINTF);318;2
#ifdef __cplusplus;328;1
#ifdef __cplusplus;3;1
#ifdef WANT_SIGFPE_HANDLER;6;1
#ifdef __cplusplus;19;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;6;1
#ifdef __cplusplus;13;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;6;1
#if SIZEOF_VOID_P >= 8;12;1
#ifndef Py_LIMITED_API;21;1
#ifdef PY_UINT64_T;28;1
#ifdef Py_DEBUG;45;1
#ifndef Py_LIMITED_API;48;1
#ifndef Py_HASH_CUTOFF;57;1
#elif (Py_HASH_CUTOFF > 7 || Py_HASH_CUTOFF < 0);59;1
#ifndef Py_HASH_ALGORITHM;65;1
# if (defined(PY_UINT64_T) && defined(PY_UINT32_T) && !defined(HAVE_ALIGNED_REQUIRED));66;3
#ifdef __cplusplus;72;1
#if defined(__APPLE__);3;1
# if defined(__LP64__) && defined(__x86_64__);18;2
# ifndef __LP64__;22;1
# ifdef __LP64__;26;1
# ifdef __ppc__;37;1
# if defined(__LP64__);50;1
#ifdef __BIG_ENDIAN__;53;1
#ifdef __i386__;59;1
#if (defined(__GNUC__) && !defined(__STRICT_ANSI__) && (((__GNUC__ == 3) && (__GNU_MINOR__ >= 1)) || (__GNUC__ >= 4)));7;3
#ifdef WITH_DOC_STRINGS;14;1
#ifdef __GNUC__;24;1
#ifndef HAVE_COPYSIGN;4;1
#ifndef HAVE_ROUND;7;1
#ifndef HAVE_HYPOT;10;1
#ifndef _MSC_VER;13;1
#ifndef __STDC__;14;1
#ifndef Py_MATH_PIl;22;1
#ifndef Py_MATH_PI;25;1
#ifndef Py_MATH_El;28;1
#ifndef Py_MATH_E;31;1
#ifndef Py_LIMITED_API;34;1
#ifndef Py_FORCE_DOUBLE;35;1
# ifdef X87_DOUBLE_ROUNDING;36;1
#ifndef Py_LIMITED_API;44;1
#ifdef HAVE_GCC_ASM_FOR_X87;45;1
#ifndef Py_IS_NAN;50;1
#if defined HAVE_DECL_ISNAN && HAVE_DECL_ISNAN == 1;51;1
#ifndef Py_IS_INFINITY;57;1
# if defined HAVE_DECL_ISINF && HAVE_DECL_ISINF == 1;58;1
#ifndef Py_IS_FINITE;64;1
#if defined HAVE_DECL_ISFINITE && HAVE_DECL_ISFINITE == 1;65;1
#elif defined HAVE_FINITE;67;1
#ifndef Py_HUGE_VAL;73;1
#if !defined(Py_NAN) && !defined(Py_NO_NAN);76;2
#if defined(__FreeBSD__) || defined(__OpenBSD__);79;2
#ifdef __cplusplus;4;1
#ifndef Py_LIMITED_API;7;1
#ifndef Py_LIMITED_API;15;1
#ifndef Py_LIMITED_API;28;1
#ifdef __cplusplus;46;1
#ifdef HAVE_INTTYPES_H;4;1
#ifdef HAVE_STDINT_H;7;1
#ifdef HAVE_LONG_LONG;10;1
#ifndef PY_LONG_LONG;11;1
#if defined(LLONG_MAX);13;1
#elif defined(__LONG_LONG_MAX__);17;1
#elif defined(SIZEOF_LONG_LONG);21;1
#ifdef uint32_t;28;1
#ifdef HAVE_UINT32_T;31;1
#ifndef PY_UINT32_T;32;1
#ifdef uint64_t;36;1
#ifdef HAVE_UINT64_T;39;1
#ifndef PY_UINT64_T;40;1
#ifdef int32_t;44;1
#ifdef HAVE_INT32_T;47;1
#ifndef PY_INT32_T;48;1
#ifdef int64_t;52;1
#ifdef HAVE_INT64_T;55;1
#ifndef PY_INT64_T;56;1
#ifndef PYLONG_BITS_IN_DIGIT;60;1
#if (defined HAVE_UINT64_T && defined HAVE_INT64_T && defined HAVE_UINT32_T && defined HAVE_INT32_T && SIZEOF_VOID_P >= 8);61;5
#ifdef HAVE_UINTPTR_T;67;1
#elif SIZEOF_VOID_P <= SIZEOF_INT;70;2
#elif SIZEOF_VOID_P <= SIZEOF_LONG;73;2
#elif defined(HAVE_LONG_LONG) && (SIZEOF_VOID_P <= SIZEOF_LONG_LONG);76;3
#ifdef HAVE_SSIZE_T;82;1
#elif SIZEOF_VOID_P == SIZEOF_SIZE_T;84;2
#ifdef PY_SSIZE_T_CLEAN;93;1
#ifdef SIZE_MAX;98;1
#ifndef PY_FORMAT_SIZE_T;105;1
# if SIZEOF_SIZE_T == SIZEOF_INT && !defined(__APPLE__);106;3
# elif SIZEOF_SIZE_T == SIZEOF_LONG;108;2
# elif defined(MS_WINDOWS);110;1
#ifdef HAVE_LONG_LONG;116;1
# ifndef PY_FORMAT_LONG_LONG;117;1
# ifdef MS_WINDOWS;118;1
#if defined(_MSC_VER);125;1
#if defined(PY_LOCAL_AGGRESSIVE);126;1
#elif defined(USE_INLINE);132;1
#if defined(_MSC_VER);139;1
#ifdef HAVE_IEEEFP_H;145;1
#ifdef TIME_WITH_SYS_TIME;149;1
#ifdef HAVE_SYS_TIME_H;153;1
#ifdef HAVE_SYS_SELECT_H;159;1
#ifndef DONT_HAVE_STAT;162;1
#ifndef DONT_HAVE_FSTAT;165;1
#ifdef HAVE_SYS_STAT_H;168;1
#elif defined(HAVE_STAT_H);170;1
#ifndef S_IFMT;173;1
#ifndef S_IFLNK;176;1
#ifndef S_ISREG;179;1
#ifndef S_ISDIR;182;1
#ifndef S_ISCHR;185;1
#ifdef __cplusplus;188;1
#ifdef SIGNED_RIGHT_SHIFT_ZERO_FILLS;191;1
#ifdef Py_DEBUG;197;1
#if defined(__FreeBSD__) || defined(__OpenBSD__) || (defined(__hpux) && defined(__ia64));202;4
#ifdef HAVE_GCC_ASM_FOR_X87;211;1
#if defined(_MSC_VER) && !defined(_WIN64);217;2
#ifndef HAVE_PY_SET_53BIT_PRECISION;223;1
#if !defined(DOUBLE_IS_LITTLE_ENDIAN_IEEE754) && !defined(DOUBLE_IS_BIG_ENDIAN_IEEE754) && !defined(DOUBLE_IS_ARM_MIXED_ENDIAN_IEEE754);228;3
#if defined(X87_DOUBLE_ROUNDING) && !defined(HAVE_PY_SET_53BIT_PRECISION);231;2
#if defined(__GNUC__) && ((__GNUC__ >= 4) || (__GNUC__ == 3) && (__GNUC_MINOR__ >= 1));234;2
#ifdef SOLARIS;239;1
#ifdef HAVE__GETPTY;242;1
#if defined(HAVE_SYS_TERMIO_H) && !defined(__hpux);246;2
#if defined(HAVE_OPENPTY) || defined(HAVE_FORKPTY);249;2
#if !defined(HAVE_PTY_H) && !defined(HAVE_LIBUTIL_H);250;2
#ifdef __FreeBSD__;256;1
#if __FreeBSD_version > 500039;258;1
#if defined(__APPLE__);262;1
#ifdef _PY_PORT_CTYPE_UTF8_ISSUE;265;1
#if defined(__CYGWIN__);283;1
#if defined(Py_ENABLE_SHARED) || defined(__CYGWIN__);286;2
# if defined(HAVE_DECLSPEC_DLL);287;1
# ifdef Py_BUILD_CORE;288;1
# if defined(__CYGWIN__);291;1
# if !defined(__CYGWIN__);297;1
# if defined(__cplusplus);301;1
#ifndef PyAPI_FUNC;309;1
#ifndef PyAPI_DATA;312;1
#ifndef PyMODINIT_FUNC;315;1
# if defined(__cplusplus);316;1
#ifndef INT_MAX;322;1
#ifndef LONG_MAX;325;1
#if SIZEOF_LONG == 4;326;1
#elif SIZEOF_LONG == 8;328;1
#ifndef LONG_MIN;334;1
#ifndef LONG_BIT;337;1
#if LONG_BIT != 8 * SIZEOF_LONG;340;2
#ifdef __cplusplus;343;1
#if (!defined(__GNUC__) || __GNUC__ < 2 || (__GNUC__ == 2 && __GNUC_MINOR__ < 7) );346;2
#if defined(__GNUC__) && __GNUC__ >= 3;351;1
#ifdef __SUNPRO_C;356;1
#ifndef Py_LL;359;1
#ifndef Py_ULL;362;1
#ifdef VA_LIST_IS_ARRAY;365;1
#ifdef __va_copy;368;1
#ifdef WORDS_BIGENDIAN;374;1
#ifdef __cplusplus;3;1
#ifdef Py_LIMITED_API;8;1
#ifdef HAVE_DLOPEN;24;1
#ifdef WITH_TSC;27;1
#ifndef Py_LIMITED_API;34;1
#ifdef Py_LIMITED_API;44;1
#if !defined(Py_LIMITED_API) || Py_LIMITED_API+0 >= 0x03030000;81;1
#ifndef Py_LIMITED_API;86;1
#ifdef WITH_THREAD;95;1
#ifndef Py_LIMITED_API;103;1
#if defined(Py_DEBUG) || defined(Py_LIMITED_API);106;2
#ifdef WITH_THREAD;114;1
#ifndef Py_LIMITED_API;118;1
#ifndef Py_LIMITED_API;122;1
#ifndef Py_LIMITED_API;125;1
#ifndef Py_LIMITED_API;132;1
#ifdef __cplusplus;135;1
#ifdef __cplusplus;3;1
#ifdef MS_WINDOWS;8;1
#ifdef __cplusplus;15;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;14;1
#ifdef __cplusplus;23;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;12;1
#ifndef Py_LIMITED_API;21;1
#ifndef Py_LIMITED_API;27;1
#ifndef Py_LIMITED_API;34;1
#ifndef PyParser_SimpleParseString;92;1
#ifndef Py_LIMITED_API;103;1
#ifdef Py_LIMITED_API;115;1
#ifndef Py_LIMITED_API;136;1
#ifndef Py_LIMITED_API;145;1
#ifndef Py_LIMITED_API;150;1
#ifndef Py_LIMITED_API;155;1
#ifdef MS_WINDOWS;174;1
#ifndef Py_LIMITED_API;182;1
#ifndef Py_LIMITED_API;186;1
#ifndef Py_LIMITED_API;197;1
#ifndef Py_LIMITED_API;218;1
#ifndef Py_LIMITED_API;223;1
#if defined(WIN32) && !defined(MS_WIN64) && defined(_MSC_VER) && _MSC_VER >= 1300;227;3
#ifdef USE_STACKCHECK;230;1
#ifdef __cplusplus;237;1
#ifdef __cplusplus;5;1
#if defined(HAVE_LONG_LONG);22;1
#if defined (NT_THREADS);29;1
#if (Py_LL(0xFFFFFFFF) * 1000 < PY_TIMEOUT_MAX);30;1
#ifdef __cplusplus;48;1
#ifndef Py_PYTIME_H;2;1
#ifdef __cplusplus;6;1
#ifdef HAVE_GETTIMEOFDAY;9;1
#ifndef Py_LIMITED_API;29;1
#ifdef __cplusplus;54;1
#ifdef __cplusplus;3;1
#ifdef __cplusplus;10;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;6;1
#ifndef Py_LIMITED_API;28;1
#ifndef Py_LIMITED_API;39;1
#ifndef Py_LIMITED_API;46;1
#ifndef Py_LIMITED_API;50;1
#ifdef __cplusplus;54;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;8;1
#ifndef Py_LIMITED_API;19;1
#ifdef __cplusplus;30;1
#ifdef __cplusplus;3;1
#ifdef HAVE_LONG_LONG;30;1
#ifdef __cplusplus;42;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;17;1
#ifndef Py_LIMITED_API;25;1
#ifdef __cplusplus;32;1
#ifndef Py_SYMTABLE_H;2;1
#ifdef __cplusplus;4;1
#ifdef __cplusplus;81;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;7;1
#ifdef __cplusplus;27;1
#ifndef Py_TOKEN_H;2;1
#ifdef __cplusplus;4;1
#ifdef __cplusplus;71;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;8;1
#ifndef Py_LIMITED_API;19;1
#ifdef __cplusplus;30;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;6;1
#ifndef Py_LIMITED_API;21;1
#ifndef Py_LIMITED_API;25;1
#ifndef Py_LIMITED_API;28;1
#ifndef Py_LIMITED_API;34;1
#ifdef __cplusplus;37;1
#ifndef Py_UCNHASH_H;2;1
#ifdef __cplusplus;4;1
#ifdef __cplusplus;15;1
#ifndef SIZEOF_WCHAR_T;6;1
#if Py_UNICODE_SIZE >= 4;10;1
#ifndef Py_LIMITED_API;13;1
#ifdef HAVE_USABLE_WCHAR_T;17;1
# ifndef HAVE_WCHAR_H;18;1
#if defined(MS_WINDOWS);22;1
#ifdef HAVE_WCHAR_H;25;1
# ifdef _HAVE_BSDI;26;1
#if SIZEOF_INT == 4;31;1
#elif SIZEOF_LONG == 4;33;1
#if SIZEOF_SHORT == 2;38;1
#ifndef Py_LIMITED_API;44;1
#ifdef __cplusplus;72;1
#ifndef Py_LIMITED_API;75;1
#ifndef Py_LIMITED_API;110;1
#ifndef Py_LIMITED_API;144;1
#ifndef Py_LIMITED_API;150;1
#ifndef Py_LIMITED_API;155;1
#ifndef Py_LIMITED_API;160;1
#ifndef Py_LIMITED_API;176;1
#ifndef Py_LIMITED_API;190;1
#ifndef Py_LIMITED_API;203;1
#ifndef Py_LIMITED_API;216;1
#ifndef Py_LIMITED_API;228;1
#ifndef Py_LIMITED_API;233;1
#ifndef Py_LIMITED_API;254;1
#ifndef Py_LIMITED_API;277;1
#ifndef Py_LIMITED_API;325;1
#ifndef Py_LIMITED_API;338;1
#ifdef HAVE_WCHAR_H;342;1
#ifndef Py_LIMITED_API;356;1
#ifndef Py_LIMITED_API;362;1
#ifndef Py_LIMITED_API;368;1
#ifndef Py_LIMITED_API;389;1
#ifndef Py_LIMITED_API;426;1
#ifndef Py_LIMITED_API;455;1
#ifndef Py_LIMITED_API;481;1
#ifndef Py_LIMITED_API;510;1
#ifndef Py_LIMITED_API;531;1
#ifndef Py_LIMITED_API;545;1
#ifndef Py_LIMITED_API;551;1
#ifndef Py_LIMITED_API;566;1
#ifndef Py_LIMITED_API;584;1
#ifndef Py_LIMITED_API;604;1
#ifndef Py_LIMITED_API;617;1
#ifdef HAVE_MBCS;625;1
#ifndef Py_LIMITED_API;647;1
#ifndef Py_LIMITED_API;660;1
#ifndef Py_LIMITED_API;668;1
#ifndef Py_LIMITED_API;674;1
#ifndef Py_LIMITED_API;782;1
#ifndef Py_LIMITED_API;805;1
#ifndef Py_LIMITED_API;809;1
#ifndef Py_LIMITED_API;816;1
#ifndef Py_LIMITED_API;828;1
#if defined(Py_DEBUG) && !defined(Py_LIMITED_API);939;2
#ifdef __cplusplus;946;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;6;1
#ifndef Py_LIMITED_API;18;1
#ifndef Py_LIMITED_API;34;1
#ifndef Py_LIMITED_API;41;1
#ifdef __cplusplus;44;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;7;1
#ifndef Py_LIMITED_API;29;1
#ifdef __cplusplus;34;1
#ifdef HAVE_SPAWN_H;7;1
#ifdef HAVE_SPAWN_H;45;1
#ifdef __LP64__;53;1
#if defined(__ppc64__);60;1
#elif defined(__x86_64__);62;1
#elif defined(__ppc__);64;1
#elif defined(__i386__);66;1
#ifdef HAVE_SPAWN_H;123;1
#ifdef WITH_THREAD;4;1
#ifndef BZ_CONFIG_ERROR;9;1
#ifdef WITH_THREAD;17;1
#ifdef WITH_THREAD;28;1
#ifdef WITH_THREAD;37;1
#ifdef BZ_CONFIG_ERROR;53;1
#if BUFSIZ < 8192;90;1
#ifdef WITH_THREAD;214;1
#ifdef WITH_THREAD;229;1
#ifdef WITH_THREAD;239;1
#ifdef WITH_THREAD;373;1
#ifdef WITH_THREAD;389;1
#ifdef WITH_THREAD;400;1
