feature;sd
GNULIB_defined_rpl_fd_isset;1
S_IRUSR;2
GNULIB_FCHMODAT;1
VSTART;3
SELECT_CANT_DO_WRITE_MASK;1
INT32_MIN;1
REPLACE_FUTIMENS;1
HAVE__FTIME;1
APPLE_UNIVERSAL_BUILD;6
HAVE_X_WINDOWS;127
_stati64;2
S_ISCHR;1
SYMBOLIC_LINK_FLAG_DIRECTORY;1
BLOCKSIZE;4
_REGEX_RE_COMP;2
ENETUNREACH;1
__DJGPP__;11
GNULIB_PUTCHAR;1
KERBEROS;8
__ppc64__;3
KERBEROS5;3
PTY_OPEN;1
REPLACE_LSEEK;1
IFF_NOTRAILERS;1
CHARCLASS_NAME_MAX;1
BROKEN_DATAGRAM_SOCKETS;1
TCOON;1
REPLACE_STAT;1
SIGQUIT;2
HAVE_TZSET;4
FRAME_TOOLBAR_WIDTH;1
RE_TRANSLATE;1
INT64_MAX_EQ_LONG_MAX;2
EXIT_FAILURE;3
__need_NULL;1
HAVE_FREEIFADDRS;1
NLIST_STRUCT;3
titan;4
HAVE_MKDTEMP;1
TRACE;1
GNULIB_VSCANF;1
USE_XIM;2
GNULIB_CHDIR;2
PTHREAD_SIGMASK_UNBLOCK_BUG;2
XtNresizeToPreferred;1
weak_alias;2
REGEX_MALLOC;6
USE_X_TOOLKIT;109
MAILDIR;1
HAVE_GTK_WIDGET_GET_WINDOW;1
HAVE_SNPRINTF;1
_GL_SYS_SELECT_H_REDIRECT_FROM_SYS_BSD_TYPES_H;1
CHARACTER_INLINE;1
FFDLY;1
HAVE_DBUS_TYPE_IS_VALID;1
GNULIB_STDIO_H_NONBLOCKING;19
REPLACE_FCLOSE;1
HAVE_OS_H;1
USE_NUMBER_GROUPING;4
GNULIB_POPEN;1
SCNiLEAST64;1
__sgi;8
GNULIB_PIPE;1
EDQUOT;1
HANDLE_FLAG_INHERIT;1
ESTALE;1
REPLACE_DUP;1
REPLACE_VASPRINTF;2
_GL_ARG_NONNULL;1
REPLACE_LINK;1
PRIdLEAST64;1
UINTMAX_MAX;2
XK_dead_voiced_sound;1
REPLACE_GETDOMAINNAME;1
S_ISDOOR;1
HAVE_SIGINFO_T;1
INT8_MAX;4
__sparc_v9__;1
LONG_MAX;10
XMALLOC_OVERRUN_CHECK;2
HAVE_GTK3;24
PRIxFAST8;1
PRIdLEAST8;1
__c99;1
REPLACE_FOPEN;1
SIGPOLL;1
ETOOMANYREFS;1
TYPEOF_STRUCT_STAT_ST_ATIM_IS_STRUCT_TIMESPEC;1
IMAGE_NT_OPTIONAL_HDR64_MAGIC;1
PRId16;1
REPLACE_PERROR;1
BUFSIZE;1
PBaseSize;1
S_ISREG;1
@;19
HAVE_STRTOLL;1
GNULIB_RAISE;1
PRIi16;1
SIGPWR;1
GNULIB_FDATASYNC;1
HAVE_KRB5_H;1
HAVE_FTRUNCATE;1
GNULIB_RPMATCH;1
TIOCSWINSZ;1
VERSION;3
STAT_TIMESPEC_NS;3
SEEK_SET;1
S_IEXEC;1
SCNx16;1
HAVE_DECL_SNPRINTF;1
Have_long_long;1
PRIXFAST8;1
select;1
XpmFreeColors;1
HAVE_SIGACTION;1
MAIL_USE_MMDF;8
SCNu64;1
REPLACE_WCTOMB;1
GNULIB_FCHOWNAT;1
GNULIB_UNISTD_H_GETOPT;1
HAVE_GETLOGIN;1
REPLACE_MKFIFO;1
KERNEL_FILE;5
XpmAllocColor;1
GNULIB_GETLOGIN;1
GNULIB_NANOSLEEP;1
HAVE_GETDELIM;1
GC_MALLOC_CHECK;18
PRIoLEAST64;1
FALSE;1
CLOCK_REALTIME;1
