branch;line;nd
#elif defined( HAVE_STRERROR_R );62;1
#elif defined( HAVE_SYS_ERRLIST );64;1
#elif defined( HAVE_STRERROR );66;1
#else;68;1
#ifdef HAVE_SYSEXITS_H;3;1
#else;5;1
#if defined( HAVE_SYSLOG_H );3;1
#elif defined ( HAVE_SYS_SYSLOG_H );5;1
#if defined( LOG_NDELAY ) && defined( LOG_NOWAIT );8;1
#elif defined( LOG_NDELAY );10;1
#elif defined( LOG_NOWAIT );12;1
#elif defined( LOG_PID );14;1
#else;16;1
#ifdef HAVE_TERMIOS_H;3;2
#elif defined( HAVE_SGTTY_H );14;2
#ifdef TIME_WITH_SYS_TIME;3;1
#elif defined(HAVE_SYS_TIME_H);6;2
#else;11;1
#ifdef HAVE_SYS_TYPES_H;3;1
#ifdef HAVE_UNISTD_H;6;1
#ifdef HAVE_PROCESS_H;9;1
#if defined(HAVE_GETPASSPHRASE);12;1
#else;14;1
#ifdef HAVE_GETOPT_H;18;1
#elif !defined(HAVE_GETOPT);20;1
#else;22;1
#ifdef _WIN32;29;1
#ifdef HAVE_SYS_WAIT_H;4;1
#ifndef WIFEXITED;9;1
#ifndef WEXITSTATUS;12;1
#ifndef WIFSIGNALED;15;1
#ifndef WTERMSIG;18;1
#ifndef WIFSTOPPED;21;1
#ifndef WSTOPSIG;24;1
#ifdef WCONTINUED;27;1
#else;29;1
#ifdef AVL_INTERNAL;16;1
#ifdef AVL_NONREENTRANT;46;1
#if 0;82;1
#else;84;1
#if defined( LDAP_API_FEATURE_X_OPENLDAP_REENTRANT ) ||  ( defined( LDAP_THREAD_SAFE ) &&   defined( LDAP_API_FEATURE_X_OPENLDAP_THREAD_SAFE ) );15;1
#if defined( LDAP_THREAD_SAFE ) &&  defined( LDAP_API_FEATURE_X_OPENLDAP_THREAD_SAFE );20;1
#ifdef LDAP_DEVEL;243;1
#ifdef LDAP_CONTROL_X_CHAINING_BEHAVIOR;406;1
#ifdef LDAP_X_DISTPROC_BASE;410;1
#ifdef LDAP_X_TXN;413;1
#if LDAP_DEPRECATED;586;1
#if LDAP_DEPRECATED;672;1
#if LDAP_DEPRECATED;693;1
#if LDAP_DEPRECATED;757;1
#if LDAP_DEPRECATED;798;1
#if LDAP_DEPRECATED;825;1
#if LDAP_DEPRECATED;848;1
#if LDAP_DEPRECATED;884;1
#if LDAP_DEPRECATED;915;1
#if LDAP_DEPRECATED;953;1
#if LDAP_DEPRECATED;1178;1
#if LDAP_DEPRECATED;1241;1
#if LDAP_DEPRECATED;1283;1
#if LDAP_DEPRECATED;1319;1
#if LDAP_DEPRECATED;1400;1
#ifdef LDAP_CONTROL_PASSWORDPOLICYREQUEST;1513;1
#ifdef LDAP_X_TXN;1562;1
#ifdef LDAP_CONTROL_X_SESSION_TRACKING;1608;1
#if defined(__cplusplus) || defined(c_plusplus);3;1
#else;6;1
#if !defined(LDAP_NO_PROTOTYPES) && ( defined(LDAP_NEEDS_PROTOTYPES) ||  defined(__STDC__) || defined(__cplusplus) || defined(c_plusplus) );10;2
#else;19;2
#if (__GNUC__) * 1000 + (__GNUC_MINOR__) >= 2006;27;1
#else;29;1
#if defined(_WIN32) &&     ((defined(LDAP_LIBS_DYNAMIC) && !defined(LBER_LIBRARY)) ||      (!defined(LDAP_LIBS_DYNAMIC) && defined(SLAPD_IMPORT)));32;1
#else;35;1
#if defined(_WIN32) &&     ((defined(LDAP_LIBS_DYNAMIC) && !defined(LDAP_LIBRARY)) ||      (!defined(LDAP_LIBS_DYNAMIC) && defined(SLAPD_IMPORT)));39;1
#else;42;1
#if defined(_WIN32) && defined(SLAPD_IMPORT);46;1
#else;49;1
#if defined(_WIN32) && defined(SLAPD_IMPORT);53;1
#else;56;1
#if defined(_WIN32) && defined(SLAPD_IMPORT);60;1
#else;63;1
#if defined(_WIN32) && defined(SLAPD_IMPORT);67;1
#else;70;1
#if defined(_WIN32) && defined(SLAPD_IMPORT);74;1
#else;77;1
#if defined(_WIN32) && defined(SLAPD_IMPORT);81;1
#else;84;1
#if defined(_WIN32) && defined(SLAPD_IMPORT);88;1
#else;91;1
#if defined(_WIN32) && defined(SLAPD_IMPORT);95;1
#else;98;1
#if (defined(__MINGW32__) && !defined(CSTATIC)) ||     (defined(_MSC_VER) && defined(_DLL));102;1
#else;105;1
#ifndef _LDAP_INT_THREAD_H;5;3
#ifdef OLD_DEBUG;6;2
#else;26;2
#if 0;47;1
#else;49;1
#if 0;69;1
