feature;sd
ER_BLOB_CANT_HAVE_DEFAULT;1
O_NDELAY;1
COMPILE_DL_PDO_FIREBIRD;1
SQLITE_CORE;2
ER_SP_LABEL_MISMATCH;1
ONIG_ENCODING_BIG5;1
HAVE_RL_CALLBACK_READ_CHAR;5
OPENSSL_NO_ECDH;1
SO_PASSCRED;4
PREMIUM_THTTPD;2
DBA_NDBM;3
ESC_e;1
__set_errno;1
ER_XAER_RMERR;1
COMPILE_DL_OCI8_11G;1
SYBUNIQUE;1
EUNATCH;1
fabsf;1
ENOMEM;2
HAVE_MSCOREE_H;6
HAVE_STDINT_H;7
MYSQL_OPT_SSL_VERIFY_SERVER_CERT;2
MYSQLND_HAVE_SSL;3
ER_DIVISION_BY_ZERO;1
PHP_EXT_DES_CRYPT;1
HAVE_ORALDAP;24
HAVE_MEM_MMAP_ZERO;4
HAVE_STRICMP;2
HAVE_BZ2;2
COMPILE_DL_GETTEXT;1
WHEN_WE_NEED_TO_CHECK_WHETHER_COMPRESSION_WORKS_CORRECTLY;1
HAVE_PTSNAME;1
HAVE_ONIG;2
ZEND_DEBUG;88
EPROTO;2
ZEND_USE_TOLOWER_L;3
TEST_SOFTBANK;2
SQLT_TIMESTAMP_TZ;3
ROXEN_USE_ZTS;13
PCRE_EXP_DEFN;1
ER_EMPTY_QUERY;1
_AIX;18
USEBCOPY;1
SO_FAMILY;1
__TURBOC__;1
HAVE_ASCTIME;2
_TC_LIBVER;1
short;2
PHP_HPUX_TIME_R;2
PHP_WRITE_STDOUT;5
ENOTCONN;1
HAVE_UINT64_T_LIBZIP;1
GDBM_INCLUDE_FILE;1
LOG_SYSLOG;1
HAVE_TIDYOPTGETDOC;5
HAVE_SYS_SOCKIO_H;1
SHUT_WR;1
GD_MINOR_VERSION;1
ER_SP_LILABEL_MISMATCH;1
PHP_5_5_X_API_NO;16
ESHUTDOWN;1
__linux__;18
VOLUME_NAME_NT;2
HAVE_LOCALTIME;2
POLL_PRI;1
ER_NET_ERROR_ON_WRITE;1
QDBM_INCLUDE_FILE;1
__VIEW;1
ER_PRIMARY_CANT_HAVE_NULL;1
HAVE_SYS_SOCKET_H;8
LOG_UUCP;2
PHP_ATOM_INC;1
SSL_MODE_RELEASE_BUFFERS;1
ER_WRONG_PARAMETERS_TO_STORED_FCT;1
ER_NO_REFERENCED_ROW;1
EXPORT;2
SXE_ELEMENT_BY_NAME;1
HAVE_DIRENT_H;10
IPPROTO_TCP;1
YY_LOCATION_PRINT;2
COMPILE_PCRE8;77
bit_uint3korr;1
ER_NOT_SUPPORTED_AUTH_MODE;1
HAVE_ATOLL;5
DEBUG_PARSER_STUB;1
REG_ITOA;1
VER_SUITE_SMALLBUSINESS;1
ER_UNKNOWN_PROCEDURE;1
HAVE_CTIME;2
HAVE_LIBEDIT;19
ER_NO_DB_ERROR;1
GLOB_ERR;2
INT32_C;1
PHP_OCI8_H;1
HAVE_UINT64_T;2
ER_SP_UNINIT_VAR;1
HAVE_TM_ZONE;3
PHP_DEBUG;63
PHP_COMPILER_ID;1
isfinite;1
malloc;4
APACHE_HOOKS;1
HAVE_PHP_SESSION;12
PROCESSOR_ARCHITECTURE_AMD64;2
DB_VERSION_PATCH;1
HAVE_IF_INDEXTONAME;1
ER_WRONG_KEY_COLUMN;1
T_FMT;2
HAVE_SQLEXT_H;1
HAVE_SQLUNIX_H;1
XPFPA_HAVE_CW;4
MYSQL_SET_CLIENT_IP;1
RGB_BLUE;2
HAVE_CTYPE;4
YYFREE;4
HAVE_SYS_MMAN_H;6
HAVE_BCOPY;2
HAVE_LIBGD;1
SIGUSR2;1
PHP_5_6_X_API_NO;4
HAVE_SQLCLI1_H;1
EL3HLT;1
uint1korr;1
HAVE_RFC822_OUTPUT_ADDRESS_LIST;1
MAX_NAME_SIZE;1
_WIN64;19
HAVE_HASH;2
SMART_STR_PREALLOC;1
HOST_NAME_MAX;1
HAVE_FLOCK_BSD;1
macintosh;7
HAVE_PQPROTOCOLVERSION;6
HAVE_GETWD;6
HAVE_FLOCK;2
__BIG_ENDIAN__;6
