branch;line;nd
#if defined(COMPILE_SSE2_IS_OKAY);44;1
#if defined(COMPILE_SSE2_IS_OKAY);14;1
#ifdef COMPILE_SSE2_IS_OKAY;6;2
#if !defined(__INTEL_COMPILER) || defined(USE_INTEL_COMPILER_ANYWAY);5;5
#ifdef COMPILE_SSE2_IS_OKAY;16;1
#if defined(COMPILE_VIS_IS_OKAY);16;1
#else;18;1
#if defined(COMPILE_VIS_IS_OKAY);14;1
#ifdef COMPILE_VIS_IS_OKAY;7;1
#if defined(USE_VIS);5;3
#ifdef ARCH_X86;7;1
#if GIMP_COMPOSITE_16BIT;17;1
#if GIMP_COMPOSITE_32BIT;23;1
#if GIMP_COMPOSITE_16BIT;37;1
#if GIMP_COMPOSITE_32BIT;43;1
#if GIMP_COMPOSITE_16BIT;57;1
#if GIMP_COMPOSITE_32BIT;63;1
#if GIMP_COMPOSITE_16BIT;202;1
#if GIMP_COMPOSITE_32BIT;208;1
#ifdef HAVE_UNISTD_H;2;1
#ifdef GIMP_UNSTABLE;86;1
#ifdef HAVE_UNISTD_H;4;1
#ifdef G_OS_WIN32;12;1
#ifdef G_OS_WIN32;8;1
#ifdef HAVE_WEBKIT;9;1
#else;11;1
#if 0;40;1
#if 0;3;1
#ifdef CAIRO_VERSION;105;1
#else;107;1
#ifdef HAVE_UNISTD_H;3;1
#if 0;850;1
#if defined (HAVE_FINITE);7;1
#elif defined (HAVE_ISFINITE);9;1
#elif defined (G_OS_WIN32);11;1
#else;13;1
#ifdef HAVE_UNISTD_H;6;1
#ifdef PLATFORM_OSX;10;1
#ifdef G_OS_WIN32;14;1
#ifdef PLATFORM_OSX;97;1
#ifdef GIMP_UNSTABLE;183;1
#ifdef HAVE__NL_MEASUREMENT_MEASUREMENT;6;1
#ifdef G_OS_WIN32;10;1
#ifdef G_OS_WIN32;228;1
#else;246;1
#if defined (HAVE__NL_MEASUREMENT_MEASUREMENT);266;1
#elif defined (G_OS_WIN32);275;1
#ifdef GIMP_CONFIG_DEBUG;650;1
#ifdef GIMP_CONFIG_DEBUG;658;1
#ifdef HAVE_UNISTD_H;8;1
