branch;line;nd
#ifndef LACKS_UNISTD_H;325;1
#else;327;2
#if USE_LOCKS;332;4
#if defined(_MSC_VER) && _MSC_VER>=1300;380;3
#ifndef WIN32;396;9
#if HAVE_MMAP;457;3
#if HAVE_MREMAP;504;2
#if HAVE_MORECORE;509;2
#else;515;1
#if HAVE_MMAP;518;2
#else;536;1
#if HAVE_MMAP && HAVE_MREMAP;546;2
#else;552;1
#if USE_LOCKS == 1;557;5
#if USE_LOCKS > 1;780;1
#if USE_LOCKS;782;1
#else;784;1
#if USE_LOCKS;788;1
#else;791;1
#if FOOTERS;808;1
#else;810;1
#if MMAP_CLEARS;845;1
#else;847;1
#if USE_LOCKS;897;1
#if !ONLY_MSPACES;915;1
#ifdef WIN32;932;1
#else;934;1
#ifndef MORECORE_CANNOT_TRIM;959;1
#else;961;1
#if USE_LOCKS;965;1
#else;968;2
#if PROCEED_ON_ERROR;976;1
#else;981;2
#if ! DEBUG;989;1
#else;996;1
#if defined(__GNUC__) && (defined(__i386__) || defined(__x86_64__));1022;1
#elif defined (__INTEL_COMPILER);1024;1
#elif defined(_MSC_VER) && _MSC_VER>=1300;1026;1
#else;1028;1
#if defined(__GNUC__) && (defined(__i386__) || defined(__x86_64__));1044;1
#elif defined (__INTEL_COMPILER);1046;1
#elif defined(_MSC_VER) && _MSC_VER>=1300;1048;1
#elif USE_BUILTIN_FFS;1050;1
#else;1052;1
#if !INSECURE;1055;1
#else;1060;1
#if (FOOTERS && !INSECURE);1066;1
#else;1068;1
#if !INSECURE;1071;2
#else;1077;1
#if !FOOTERS;1080;1
#else;1085;1
#ifdef NEED_GLOBAL_LOCK_INIT;1093;1
#ifndef WIN32;1102;1
#else;1105;1
#if MORECORE_CONTIGUOUS;1127;1
#else;1129;1
#if !ONLY_MSPACES;1132;1
#if (FOOTERS && !INSECURE);1136;2
#else;1156;1
#if DEBUG;1185;1
#if !NO_MALLINFO;1416;1
#if ONLY_MSPACES;1491;1
#else;1494;2
#if PROCEED_ON_ERROR;1574;1
#if !ONLY_MSPACES;1766;1
#if DEBUG;2222;1
#if !ONLY_MSPACES;2238;2
#if MSPACES;2537;2
#ifdef _MSC_VER;1;1
#if defined(WIN32);4;1
#ifndef USE_LOCKS;9;1
#ifdef _DEBUG;14;1
#else;16;1
#ifdef NDEBUG;19;1
#ifndef DEFAULT_GRANULARITY;22;1
#ifdef NDEBUG;26;1
#ifndef MAXTHREADSINPOOL;29;1
#ifndef THREADCACHEMAXCACHES;32;1
#ifndef THREADCACHEMAX;35;1
#if 0;38;1
#else;40;1
#ifndef THREADCACHEMAXFREESPACE;43;1
#ifdef WIN32;46;2
#else;62;1
#if 0;69;1
#if defined(__cplusplus);75;2
#if 0;84;1
#else;86;1
#if !NO_MALLINFO;103;1
#ifdef FULLSANITYCHECKS;116;1
#ifdef FULLSANITYCHECKS;124;1
#ifdef FULLSANITYCHECKS;132;1
#if defined(__GNUC__);149;1
#elif defined(_MSC_VER) && _MSC_VER>=1300;151;1
#else;157;2
#ifdef FULLSANITYCHECKS;186;1
#ifdef FULLSANITYCHECKS;224;1
#ifdef FULLSANITYCHECKS;240;1
#ifdef FULLSANITYCHECKS;254;1
#ifdef FULLSANITYCHECKS;296;1
#ifdef FULLSANITYCHECKS;314;1
#if 0;318;1
#else;330;1
#ifdef FULLSANITYCHECKS;362;1
#if defined(DEBUG) && 0;377;1
#ifdef FULLSANITYCHECKS;384;1
#ifdef DEBUG;404;1
#ifdef FULLSANITYCHECKS;414;1
#if 0;418;1
#ifdef FULLSANITYCHECKS;439;1
#ifdef FULLSANITYCHECKS;455;1
#if 1;458;1
#if defined(DEBUG);606;1
#ifdef FULLSANITYCHECKS;660;1
#if THREADCACHEMAX;676;1
#if THREADCACHEMAX;696;1
#if THREADCACHEMAX;717;1
#if THREADCACHEMAX;745;1
#if !NO_MALLINFO;766;1
#ifdef OVERRIDE_STRDUP;844;1
#if defined(__cplusplus);855;1
#ifndef EXTSPEC;4;1
#if defined(_MSC_VER) && _MSC_VER>=1400;7;1
#ifdef __GNUC__;10;1
#ifndef MALLOCATTR;13;1
#ifdef REPLACE_SYSTEM_ALLOCATOR;16;2
#ifndef NO_MALLINFO;33;1
#if !NO_MALLINFO;36;1
#if defined(__cplusplus);39;2
#else;46;1
#if !NO_MALLINFO;56;1
#if !NO_MALLINFO;77;1
#if defined(__cplusplus);86;1
#if !defined _LIBC && defined __GNU_LIBRARY__ && __GNU_LIBRARY__ > 1;6;2
#ifndef ELIDE_CODE;13;3
#ifdef __cplusplus;3;1
#ifdef __PTRDIFF_TYPE__;6;1
#else;8;1
#if defined __GNUC__ && defined __STDC__ && __STDC__;63;2
#else;83;1
#ifdef __cplusplus;102;1
#if (__GNUC__ == 4 && 3 <= __GNUC_MINOR__) || 4 < __GNUC__;1;1
#if defined(WIN32);4;1
#if (defined _WIN32 || defined __WIN32__) && ! defined __CYGWIN__;12;2
#else;22;2
#ifdef HAVE_SYS_IOCTL_H;30;1
#ifdef HAVE_SYS_FILIO_H;33;1
#ifndef INFTIM;37;1
#ifndef MSG_PEEK;40;1
#ifdef WIN32_NATIVE;43;2
#else;187;2
#ifndef WIN32_NATIVE;228;3
#else;322;1
#if !defined (_POSIX_C_SOURCE) && !defined (_XOPEN_SOURCE);21;1
#ifndef PRECOMPOSE_UNICODE_C;22;1
#ifdef RE_ENABLE_I18N;7;1
#ifdef RE_ENABLE_I18N;12;1
#ifdef RE_ENABLE_I18N;69;1
#else;80;1
#ifdef ZOS_USS;176;1
#ifdef _LIBC;201;1
#ifdef _LIBC;212;1
#ifdef _LIBC;231;1
#ifdef RE_ENABLE_I18N;256;1
#ifdef RE_ENABLE_I18N;290;2
#ifdef RE_ENABLE_I18N;343;1
#ifdef _LIBC;392;1
#ifdef _LIBC;419;1
#ifdef RE_ENABLE_I18N;422;2
#ifdef RE_ENABLE_I18N;464;1
#ifdef DEBUG;469;1
#ifdef _LIBC;487;1
#if defined _REGEX_RE_COMP || defined _LIBC;490;2
#ifdef DEBUG;567;1
#ifdef RE_ENABLE_I18N;591;1
#ifndef _LIBC;610;1
#ifdef _LIBC;625;1
#else;631;2
#ifdef RE_ENABLE_I18N;660;2
#ifdef RE_ENABLE_I18N;794;1
#ifdef DEBUG;1244;1
#ifdef DEBUG;1259;1
#ifdef RE_ENABLE_I18N;1352;1
#ifdef RE_ENABLE_I18N;1373;1
#ifdef RE_ENABLE_I18N;1485;1
#ifdef RE_ENABLE_I18N;1579;1
#ifdef RE_ENABLE_I18N;1745;1
#ifdef DEBUG;1900;1
#ifndef RE_TOKEN_INIT_BUG;1958;1
#else;1960;1
#ifndef _LIBC;2058;3
#ifndef _LIBC;2155;2
#ifdef _LIBC;2179;1
#ifdef RE_ENABLE_I18N;2367;1
#ifdef _LIBC;2376;1
#ifdef RE_ENABLE_I18N;2391;1
#ifdef RE_ENABLE_I18N;2394;1
#else;2396;1
#ifdef RE_ENABLE_I18N;2411;1
#ifdef _LIBC;2481;1
#else;2484;2
#ifdef RE_ENABLE_I18N;2503;1
#ifdef RE_ENABLE_I18N;2520;1
#ifdef RE_ENABLE_I18N;2529;1
#ifdef RE_ENABLE_I18N;2538;1
#ifdef RE_ENABLE_I18N;2561;1
#ifdef RE_ENABLE_I18N;2599;1
#ifdef RE_ENABLE_I18N;2613;1
#ifdef RE_ENABLE_I18N;2623;1
#ifdef RE_ENABLE_I18N;2690;1
#else;2693;1
#ifdef _LIBC;2697;1
#ifdef RE_ENABLE_I18N;2762;1
#else;2766;1
#ifdef RE_ENABLE_I18N;2775;1
#ifndef GAWK;2806;1
#else;2808;1
#ifdef RE_ENABLE_I18N;2828;1
#ifdef RE_ENABLE_I18N;2836;1
#ifdef RE_ENABLE_I18N;2839;1
#else;2841;1
#ifdef RE_ENABLE_I18N;2850;1
#ifdef RE_ENABLE_I18N;2855;1
#ifdef RE_ENABLE_I18N;2862;1
#ifdef RE_ENABLE_I18N;2872;1
#ifdef RE_ENABLE_I18N;2881;1
#else;2900;1
#ifdef RE_ENABLE_I18N;2905;1
#ifdef RE_ENABLE_I18N;2930;2
#ifdef RE_ENABLE_I18N;2994;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef __cplusplus;4;1
#ifdef _LIBC;7;1
#if defined (_MSC_VER);22;1
#ifdef GAWK;26;1
#ifdef GAWK;33;1
#if _LIBC;40;2
#ifndef _REGEX_H;3;4
#ifdef GAWK;12;1
#ifdef RE_ENABLE_I18N;58;1
#ifdef RE_ENABLE_I18N;81;1
#ifdef RE_ENABLE_I18N;102;1
#ifdef RE_ENABLE_I18N;151;2
#ifdef RE_ENABLE_I18N;461;1
#ifdef RE_ENABLE_I18N;481;1
#ifdef RE_ENABLE_I18N;543;1
#if DEBUG;553;1
#ifdef RE_ENABLE_I18N;560;1
#ifdef RE_ENABLE_I18N;570;2
#ifdef RE_ENABLE_I18N;659;1
#ifdef RE_ENABLE_I18N;692;1
#ifdef RE_ENABLE_I18N;698;1
#ifdef RE_ENABLE_I18N;703;1
#ifdef RE_ENABLE_I18N;715;1
#ifdef RE_ENABLE_I18N;736;1
#ifdef RE_ENABLE_I18N;753;2
#ifdef RE_ENABLE_I18N;1174;1
#ifdef RE_ENABLE_I18N;1322;1
#ifdef RE_ENABLE_I18N;1366;1
#if defined HAVE_LANGINFO_H || defined HAVE_LANGINFO_CODESET || defined _LIBC;8;1
#if defined HAVE_LOCALE_H || defined _LIBC;11;1
#if defined HAVE_WCHAR_H || defined _LIBC;14;1
#if defined HAVE_WCTYPE_H || defined _LIBC;17;1
#if defined HAVE_STDBOOL_H || defined _LIBC;20;1
#if !defined(ZOS_USS);23;2
#if defined _LIBC;28;1
#else;30;1
#ifndef GAWK;36;2
#else;40;1
#ifdef _LIBC;47;2
#if (HAVE_LIBINTL_H && ENABLE_NLS) || defined _LIBC;55;2
#else;61;1
#ifndef gettext_noop;64;1
#ifndef SIZE_MAX;67;1
#ifndef NO_MBSUPPORT;70;1
#ifndef MB_CUR_MAX;73;1
#if (defined MBS_SUPPORT) || _LIBC;76;1
#if __GNUC__ >= 3;79;1
#else;81;2
#ifndef _LIBC;92;2
#ifdef __GNUC__;109;1
#else;111;1
#ifdef RE_ENABLE_I18N;166;1
#ifdef RE_ENABLE_I18N;198;2
#ifdef RE_ENABLE_I18N;230;1
#if __GNUC__ >= 2;236;1
#else;238;1
#ifdef RE_ENABLE_I18N;244;1
#ifdef RE_ENABLE_I18N;255;1
#ifndef _LIBC;284;2
#ifndef NOT_IN_libc;291;2
#ifndef _LIBC;317;3
#if defined _LIBC || (defined __STDC_VERSION__ && __STDC_VERSION__ >= 199901L);421;1
#else;423;1
#ifdef DEBUG;493;1
#if defined _LIBC;496;1
#ifdef RE_ENABLE_I18N;543;3
#ifdef RE_ENABLE_I18N;55;1
#if 0;115;1
#ifdef RE_ENABLE_I18N;121;1
#ifdef RE_ENABLE_I18N;162;2
#ifdef _LIBC;213;2
#ifdef _LIBC;239;1
#ifdef _LIBC;250;1
#ifdef _LIBC;262;1
#ifdef _LIBC;274;1
#ifdef _LIBC;456;1
#if defined _REGEX_RE_COMP || defined _LIBC;459;2
#if defined _LIBC || (defined __STDC_VERSION__ && __STDC_VERSION__ >= 199901L);483;1
#else;485;1
