branch;line;nd
#else;4;1
#ifndef GO_FASTER;163;1
#ifndef GO_FASTER;296;1
#ifdef HAVE_STACK;305;1
#ifdef HAVE_STACK;331;1
#ifndef GO_FASTER;612;1
#ifndef GO_FASTER;726;1
#ifndef USE_OLD_LIBXML2;752;1
#ifndef USE_OLD_LIBXML2;815;1
#if 0;22;1
#if 0;155;1
#if !defined(WIN32);3;1
#elif defined(AP_RL_DECLARE_STATIC);7;1
#elif defined(AP_RL_DECLARE_EXPORT);11;1
#else;15;1
#if APR_MAJOR_VERSION < 2;174;1
#if APR_MAJOR_VERSION < 2;206;1
#else;213;1
#if MRT_DEFAULT_HEADER_MIN_RATE > 0;471;1
#if MRT_DEFAULT_BODY_MIN_RATE > 0;474;1
#if defined(WIN32);1;1
#if !defined(WIN32);8;1
#elif defined(XML2ENC_DECLARE_STATIC);12;1
#elif defined(XML2ENC_DECLARE_EXPORT);16;1
#else;20;1
#ifdef APR_HAVE_LIMITS_H;3;1
#if APR_HAVE_STDLIB_H;6;1
#ifdef __cplusplus;4;1
#ifdef __cplusplus;69;1
#ifndef S5EMUL;719;1
#ifndef S5EMUL;731;1
#ifdef CASE_BLIND_FILESYSTEM;195;1
#else;197;1
#ifdef CASE_BLIND_FILESYSTEM;648;1
#else;650;1
#ifndef CASE_BLIND_FILESYSTEM;702;1
#else;707;1
#ifdef CASE_BLIND_FILESYSTEM;976;1
#if APR_HAS_UNICODE_FS;1591;1
#else;1593;1
#if APR_HAVE_STRUCT_RLIMIT;24;2
#ifndef AP_UNSAFE_ERROR_LOG_UNESCAPED;261;1
#ifndef AP_UNSAFE_ERROR_LOG_UNESCAPED;265;1
#ifdef AP_CGI_USE_RLIMIT;283;1
#ifdef DEBUG_CGI;286;2
#ifdef DEBUG_CGI;295;1
#ifdef DEBUG_CGI;300;1
#if defined(RLIMIT_CPU) && defined(AP_CGI_USE_RLIMIT);314;1
#if defined(AP_CGI_USE_RLIMIT) && (defined(RLIMIT_DATA) || defined(RLIMIT_VMEM) || defined(RLIMIT_AS));318;1
#if defined(RLIMIT_NPROC) && defined(AP_CGI_USE_RLIMIT);322;1
#if APR_FILES_AS_SOCKETS;420;1
#if APR_FILES_AS_SOCKETS;702;1
#else;708;1
#if APR_HAVE_SYS_SOCKET_H;11;1
#if APR_HAVE_UNISTD_H;14;1
#if APR_HAVE_SYS_TYPES_H;17;1
#if APR_HAVE_STRUCT_RLIMIT;36;2
#ifndef DEFAULT_CGID_LISTENBACKLOG;80;1
#ifndef DEFAULT_CONNECT_ATTEMPTS;83;1
#ifdef AP_CGID_USE_RLIMIT;91;2
#ifdef AP_CGID_USE_RLIMIT;118;1
#if APR_HAS_OTHER_CHILD;161;1
#ifdef AP_CGID_USE_RLIMIT;310;1
#if defined(RLIMIT_CPU) && defined(AP_CGID_USE_RLIMIT);364;1
#if defined(AP_CGID_USE_RLIMIT) && (defined(RLIMIT_DATA) || defined(RLIMIT_VMEM) || defined(RLIMIT_AS));373;1
#if defined(RLIMIT_NPROC) && defined(AP_CGID_USE_RLIMIT);382;1
#ifdef AP_CGID_USE_RLIMIT;391;1
#if defined(ENETDOWN);488;1
#ifdef AP_CGID_USE_RLIMIT;557;2
#if APR_HAS_OTHER_CHILD;626;1
#ifdef _AIX;957;1
#else;959;1
#if defined(OS2) || defined(WIN32);1059;1
#else;1062;1
#if APR_MAJOR_VERSION < 2;5;1
#ifdef WIN32;214;1
#if AP_ENABLE_EXCEPTION_HOOK;273;1
#if APR_MAJOR_VERSION < 2;355;1
#ifdef BIG_SECURITY_HOLE;398;1
#ifdef SECURITY_HOLE_PASS_AUTHORIZATION;401;1
#ifdef OS;404;1
#ifdef HAVE_SHMGET;407;1
#if APR_FILE_BASED_SHM;410;1
#if APR_HAS_SENDFILE;413;1
#if APR_HAS_MMAP;416;1
#ifdef NO_WRITEV;419;1
#ifdef NO_LINGCLOSE;422;1
#if APR_HAVE_IPV6;425;2
#if APR_USE_FLOCK_SERIALIZE;433;1
#if APR_USE_SYSVSEM_SERIALIZE;436;1
#if APR_USE_POSIXSEM_SERIALIZE;439;1
#if APR_USE_FCNTL_SERIALIZE;442;1
#if APR_USE_PROC_PTHREAD_SERIALIZE;445;1
#if APR_PROCESS_LOCK_IS_GLOBAL;448;1
