Class,Methods,Over-exposed methods
DOMSerializerWrapper in org::apache::xalan::serialize::SerializerFactory (Class),2,0
StringStack in org::apache::xalan::xsltc::compiler::util (Class),4,0
AbsPathChecker in org::apache::xalan::templates (Class),5,1
FuncSubstringAfter in org::apache::xpath::functions (Class),2,0
XPathContext in org::apache::xpath (Class),84,9
TestGenerator in org::apache::xalan::xsltc::compiler::util (Class),15,0
Attributes in org::apache::xalan::xsltc::runtime (Class),7,0
StringType in org::apache::xalan::xsltc::compiler::util (Class),18,1
SecuritySupport12 in org::apache::xalan::xsltc::trax (Class),9,0
ProcessorInclude in org::apache::xalan::processor (Class),11,4
ExtensionHandlerExsltFunction in org::apache::xalan::extensions (Class),9,0
ProcessorVersion in org::apache::xalan::xsltc (Class),2,0
SingletonIterator in org::apache::xalan::xsltc::dom (Class),8,0
NthDescendantIterator in org::apache::xml::dtm::ref::DTMDefaultBaseIterators (Class),2,0
DTMNodeIterator in org::apache::xml::dtm::ref (Class),10,0
anonymous(PrivilegedAction) in org::apache::xml::dtm::ref::SecuritySupport12.getResourceAsStream() (Class),1,0
MalformedURIException in org::apache::xml::utils::URI (Class),2,0
ArgumentList in org::apache::xalan::xsltc::compiler (Class),2,0
WriterChain in org::apache::xml::serializer (Class),9,2
anonymous(PrivilegedAction) in org::apache::xalan::lib::sql::SecuritySupport12.getSystemProperty() (Class),1,0
Handler in <Default Package>::Validate (Class),10,0
LeftExprOwner in org::apache::xpath::operations::Operation (Class),3,0
ErrorMessages_no in org::apache::xalan::xsltc::runtime (Class),1,0
ObjectFactory in org::apache::xml::dtm (Class),11,1
StringCall in org::apache::xalan::xsltc::compiler (Class),3,0
FuncNumber in org::apache::xpath::functions (Class),2,0
FuncQname in org::apache::xpath::functions (Class),2,0
WriterToASCI in org::apache::xml::serializer (Class),8,0
Hashtree2Node in org::apache::xml::utils (Class),1,0
XResources_ja_JP_HA in org::apache::xml::utils::res (Class),1,0
MyFunctionResolver in <Default Package>::XPathResolver (Class),2,1
anonymous(PrivilegedAction) in org::apache::xalan::xslt::SecuritySupport12.getSystemClassLoader() (Class),1,0
FuncFloor in org::apache::xpath::functions (Class),2,0
ObjectFactory in org::apache::xml::serializer (Class),11,0
Key in org::apache::xalan::xsltc::compiler (Class),5,1
ProcessorStylesheetDoc in org::apache::xalan::processor (Class),2,1
IntType in org::apache::xalan::xsltc::compiler::util (Class),27,1
Include in org::apache::xalan::xsltc::compiler (Class),5,1
XPathImpl in org::apache::xpath::jaxp (Class),20,0
XSLProcessorContext in org::apache::xalan::extensions (Class),7,0
UseXMLFilters in <Default Package> (Class),1,0
XMLErrorResources_ru in org::apache::xml::res (Class),4,0
ChildTraverser in org::apache::xml::dtm::ref::DTMDefaultBaseTraversers (Class),6,0
DescendantFromRootTraverser in org::apache::xml::dtm::ref::DTMDefaultBaseTraversers (Class),5,0
anonymous(PrivilegedAction) in org::apache::xalan::xsltc::dom::SecuritySupport12.getSystemProperty() (Class),1,0
Choose in org::apache::xalan::xsltc::compiler (Class),2,0
FuncPosition in org::apache::xpath::functions (Class),5,0
XPathNSResolverImpl in org::apache::xpath::domapi (Class),2,0
anonymous(PrivilegedAction) in org::apache::xalan::xsltc::cmdline::SecuritySupport12.getContextClassLoader() (Class),1,0
XPathDumper in org::apache::xpath::compiler (Class),0,0
AlternativePattern in org::apache::xalan::xsltc::compiler (Class),8,2
CustomStringPool in org::apache::xml::dtm::ref (Class),5,0
SerializerMessages_hu in org::apache::xml::serializer::utils (Class),1,0
UseStylesheetParam in <Default Package> (Class),1,0
JAXPPrefixResolver in org::apache::xpath::jaxp (Class),6,0
TransformServlet in <Default Package> (Class),5,0
ExsltMath in org::apache::xalan::lib (Class),19,0
XResources_ja_JP_HI in org::apache::xml::utils::res (Class),1,0
PrefixResolver in org::apache::xml::utils (Class),4,0
DOMWSFilter in org::apache::xalan::xsltc::dom (Class),2,0
DOM2Helper in org::apache::xml::serializer::utils (Class),4,0
DTMDefaultBaseTraversers in org::apache::xml::dtm::ref (Class),3,0
anonymous(NodeList) in org::apache::xalan::templates::ElemLiteralResult::Attribute.getChildNodes() (Class),2,0
TransformRemote in <Default Package> (Class),1,0
PrecedingTraverser in org::apache::xml::dtm::ref::DTMDefaultBaseTraversers (Class),4,0
When in org::apache::xalan::xsltc::compiler (Class),7,2
VariableRefBase in org::apache::xalan::xsltc::compiler (Class),8,2
Transform in <Default Package> (Class),4,1
AncestorIterator in org::apache::xml::dtm::ref::sax2dtm::SAX2DTM2 (Class),10,0
