Class,Methods,Over-exposed methods
TableModelHandler in accessories::plugins::time::TableSorter (Class),2,0
anonymous(AbstractAction) in accessories::plugins::time::TimeList.startupMapHook() (Class),1,0
EditHandler in freemind::modes::common::CommonNodeKeyListener (Class),1,0
CompileXsdStart in de::foltin (Class),11,1
AttributeTable in freemind::view::mindmapview::attributeview (Class),32,4
ExternalPatternAction in freemind::modes::mindmapmode::actions::ApplyPatternAction (Class),2,0
SeparatorProperty in freemind::common (Class),5,1
anonymous(WindowAdapter) in freemind::modes::common::dialogs::EnterPasswordDialog.initialize() (Class),1,0
CloudAction in freemind::modes::mindmapmode::actions (Class),8,0
MapModuleManager in freemind::controller (Class),21,2
DestinationNodesGetter in freemind::extensions::HookInstanciationMethod (Class),2,0
anonymous(Runnable) in freemind::view::mindmapview::attributeview::AttributeTable::MyFocusListener.focusGained() (Class),1,0
ID_Registered in freemind::modes::LinkRegistryAdapter (Class),0,0
CheckBoxEntity in accessories::plugins::FormularEditor (Class),2,0
DatabaseBasics in plugins::collaboration::database (Class),8,1
MenuAdderCreator in freemind::controller::StructuredMenuHolder (Class),1,0
anonymous(Runnable) in freemind::controller::MenuBar::MapsMenuActionListener.actionPerformed() (Class),1,0
JCalendar in accessories::plugins::time (Class),46,5
PermanentNodeHook in freemind::extensions (Class),13,0
KeyEventWorkaround in freemind::preferences::layout (Class),3,0
PrintMenuAdderCreator in freemind::controller::StructuredMenuHolder (Class),2,0
DatabaseStarter in plugins::collaboration::database (Class),15,0
KeyEventTranslator in freemind::preferences::layout (Class),8,0
ExampleFileFilter in freemind::main (Class),13,1
Registration in accessories::plugins::UnfoldAll (Class),4,0
RemindValueProperty in freemind::common (Class),2,0
Pair in freemind::main::Tools (Class),3,0
ChoiceElement in accessories::plugins::FormularEditor::ChoiceEntity (Class),2,0
BrowseMode in freemind::modes::browsemode (Class),9,0
DatabaseRegistration in plugins::collaboration::database (Class),7,0
ExportToImage in accessories::plugins (Class),4,0
ModeControllerHookAdapter in freemind::extensions (Class),1,0
FreeMindSecurityManager in freemind::main (Class),35,1
PrintPreviewAction in freemind::controller::Controller (Class),2,0
DontShowAgainDialogTests in tests::freemind (Class),1,0
MindMapControllerPlugin in freemind::modes::mindmapmode::MindMapController (Class),0,0
SignAction in plugins::script::ScriptEditorPanel (Class),2,0
HookDescriptorBase in freemind::extensions (Class),10,1
anonymous(Comparator) in freemind::modes::mindmapmode::actions::NodeUpAction.getSortedSiblings() (Class),1,0
AllTests in tests::freemind (Class),2,0
anonymous(EditNodeBase.EditControl) in freemind::modes::mindmapmode::actions::EditAction.edit() (Class),4,0
ExportToOoWriter in accessories::plugins (Class),7,0
Base64Coding in freemind::main (Class),3,0
BooleanProperty in freemind::common (Class),8,1
ShowAllAttributesAction in freemind::controller::Controller (Class),3,1
ViewControllerAdapter in freemind::modes::viewmodes (Class),10,0
ExportVectorGraphic in plugins::svg (Class),2,0
IReplaceInputInformation in accessories::plugins::time::TimeList (Class),3,0
anonymous(FormDialogValidator) in plugins::collaboration::database::DatabaseStarter.startupMapHook() (Class),1,0
anonymous(AbstractAction) in accessories::plugins::dialogs::ChooseFormatPopupDialog.getJCancelButton() (Class),1,0
NodeSelectionListener in freemind::modes::ModeController (Class),4,0
NodeColorBlendAction in freemind::modes::mindmapmode::actions (Class),1,0
StylePattern in freemind::modes (Class),43,1
MindMapArrowLinkModel in freemind::modes::mindmapmode (Class),5,0
AttributeHolder in plugins::script::ScriptEditor (Class),1,0
AttributeView in freemind::view::mindmapview::attributeview (Class),27,4
anonymous(AbstractAction) in freemind::modes::common::dialogs::EnterPasswordDialog.initialize() (Class),1,0
ConvexHull in freemind::view::mindmapview (Class),4,1
LinkAdapter in freemind::modes (Class),16,4
Registration in accessories::plugins::AutomaticLayout (Class),4,0
ScriptEditorProperty in freemind::common (Class),10,1
MapSharingWizardView in plugins::collaboration::jabber::view (Class),30,0
ShowSelectedAttributesAction in freemind::controller::Controller (Class),3,1
MapTokenPair in freemind::controller::StructuredMenuHolder (Class),1,0
anonymous(AbstractAction) in accessories::plugins::dialogs::ManagePatternsPopupDialog.initialize() (Class),1,0
NewChildAction in freemind::modes::mindmapmode::actions (Class),9,1
HookDescriptorPluginAction in freemind::extensions (Class),14,0
ModesCreator in freemind::modes (Class),3,0
anonymous(Runnable) in accessories::plugins::AutomaticLayout::StylePatternListProperty.valueChanged() (Class),1,0
