Class,Methods,Over-exposed methods
PackageDataTest in net::sourceforge::cobertura::coveragedata (Class),6,0
CopyFilesTest in net::sourceforge::cobertura::reporting::html::files (Class),5,0
IOUtilTest in net::sourceforge::cobertura::util (Class),7,0
ClassInstrumenter in net::sourceforge::cobertura::instrument (Class),10,2
anonymous(Thread) in net::sourceforge::cobertura::coveragedata::TouchCollectorTest.runTestWithTwoThreads() (Class),1,0
Complexity in net::sourceforge::cobertura::reporting::ComplexityCalculator (Class),4,2
TestInfo in net::sourceforge::cobertura::ant::FunctionalConditionCoverageTest (Class),2,0
anonymous(Thread) in net::sourceforge::cobertura::coveragedata::TouchCollectorTest.runTestWithTwoThreads() (Class),1,0
ClassData in net::sourceforge::cobertura::coveragedata (Class),33,2
JavaParserConstants in net::sourceforge::cobertura::javancss::parser (Class),1,0
Init in net::sourceforge::cobertura::javancss::ccl (Class),1,0
FunctionMetric in net::sourceforge::cobertura::javancss (Class),3,1
ComplexityCalculator in net::sourceforge::cobertura::reporting (Class),10,0
anonymous(Thread) in net::sourceforge::cobertura::coveragedata::LineDataTest.runGetJumpDataTestWithTwoThreads() (Class),1,0
ParseException in net::sourceforge::cobertura::javancss::parser::debug (Class),6,1
anonymous(Thread) in net::sourceforge::cobertura::coveragedata::LineDataTest.runGetSwitchDataTestWithTwoThreads() (Class),1,0
TouchCollectorTest in net::sourceforge::cobertura::coveragedata (Class),3,0
SomeOtherClassTest in <Default Package> (Class),1,0
CoverageDataContainer in net::sourceforge::cobertura::coveragedata (Class),16,1
ExcludeClasses in net::sourceforge::cobertura::ant (Class),3,2
SummaryXMLReport in net::sourceforge::cobertura::reporting::xml (Class),6,2
Javancss in net::sourceforge::cobertura::javancss (Class),31,0
Main in net::sourceforge::cobertura::check (Class),12,0
RemoteListener in test::first (Class),2,0
CoverageDataFileHandlerTest in net::sourceforge::cobertura::coveragedata (Class),4,0
LookaheadSuccess in net::sourceforge::cobertura::javancss::parser::JavaParser (Class),1,0
CommonMatchingTask in net::sourceforge::cobertura::ant (Class),18,0
LineData in net::sourceforge::cobertura::coveragedata (Class),35,9
Simple in com::example::simple (Class),5,1
Metric in net::sourceforge::cobertura::javancss (Class),7,1
FunctionalTest in net::sourceforge::cobertura::ant (Class),17,0
JumpData in net::sourceforge::cobertura::coveragedata (Class),16,6
B in test::second (Class),3,0
CopyFiles in net::sourceforge::cobertura::reporting::html::files (Class),2,0
CheckTask in net::sourceforge::cobertura::ant (Class),13,0
ObjectMetric in net::sourceforge::cobertura::javancss (Class),3,1
LookaheadSuccess in net::sourceforge::cobertura::javancss::parser::debug::JavaParserDebug (Class),1,0
GTToken in net::sourceforge::cobertura::javancss::parser::java15::debug::Token (Class),2,1
HasBeenInstrumented in net::sourceforge::cobertura::coveragedata (Class),0,0
