Class,Methods,Over-exposed methods
anonymous(Runnable) in edu::umd::cs::findbugs::gui2::MainFrame.updateSummaryTab()::anonymous(Runnable).run() (Class),1,0
NullDerefAndRedundantComparisonFinder in edu::umd::cs::findbugs::ba::npe (Class),22,0
BuildNonnullReturnDatabase in edu::umd::cs::findbugs::detect (Class),4,0
RedundantInterfaces in edu::umd::cs::findbugs::detect (Class),3,0
anonymous(Runnable) in edu::umd::cs::findbugs::gui2::MainFrameTree.showCard() (Class),1,0
XDocsBugReporter in edu::umd::cs::findbugs (Class),13,0
ClassName in edu::umd::cs::findbugs::util (Class),15,0
DelegatingCodeBaseIterator in edu::umd::cs::findbugs::classfile::impl (Class),3,0
anonymous(java.awt.event.ActionListener) in edu::umd::cs::findbugs::gui::FindBugsFrame.initComponents() (Class),1,0
BugAnnotationUtil in edu::umd::cs::findbugs (Class),1,0
anonymous(java.awt.event.ActionListener) in edu::umd::cs::findbugs::gui::FindBugsFrame.initComponents() (Class),1,0
BugCategory in edu::umd::cs::findbugs (Class),16,3
InstanceFieldLoadStreamFactory in edu::umd::cs::findbugs::detect (Class),3,0
BadAppletConstructor in edu::umd::cs::findbugs::detect (Class),5,0
DockLayout in edu::umd::cs::findbugs::gui2 (Class),8,0
FBDialog in edu::umd::cs::findbugs::gui2 (Class),6,0
anonymous(RunnableWithExceptions) in edu::umd::cs::findbugs::ba::ch::Subtypes2Test.testInterfaceIsSubtypeOfObject() (Class),1,0
PartialResult in edu::umd::cs::findbugs::ba::jsr305::TypeQualifierAnnotationLookupResult (Class),4,1
BytecodeScanningDetector in edu::umd::cs::findbugs (Class),8,1
DiscoverSourceDirectories in edu::umd::cs::findbugs (Class),14,0
anonymous(Grouper.Callback) in edu::umd::cs::findbugs::gui::FindBugsFrame.populateAnalysisRunTreeModel() (Class),3,0
RunAnalysisProgress in edu::umd::cs::findbugs::gui::RunAnalysisDialog (Class),12,0
ValueNumberCache in edu::umd::cs::findbugs::ba::vna (Class),4,1
BetterVisitor in edu::umd::cs::findbugs::visitclass (Class),70,0
LoadDataflow in edu::umd::cs::findbugs::ba::heap (Class),1,0
PrintBugDescriptions in edu::umd::cs::findbugs::tools::html (Class),5,3
Context in edu::umd::cs::findbugs::ba::BetterCFGBuilder2 (Class),10,6
anonymous(Iterable) in edu::umd::cs::findbugs::util::Util.setBitIteratable() (Class),1,0
Strings in edu::umd::cs::findbugs::util (Class),10,2
EnumValue in edu::umd::cs::findbugs::classfile::analysis (Class),4,0
SplitCamelCaseIdentifier in edu::umd::cs::findbugs::util (Class),2,0
SourceFinder in edu::umd::cs::findbugs::ba (Class),18,0
BindingSet in edu::umd::cs::findbugs::ba::bcp (Class),3,0
ViewFilterEnum in edu::umd::cs::findbugs::gui2::ViewFilter (Class),1,0
SourceRepository in edu::umd::cs::findbugs::ba::SourceFinder (Class),3,1
PatternMatcher in edu::umd::cs::findbugs::ba::bcp (Class),8,0
Chooser in edu::umd::cs::findbugs::TextUICommandLine (Class),1,0
MutableCloudTask in edu::umd::cs::findbugs::cloud (Class),16,1
StreamEscape in edu::umd::cs::findbugs::detect (Class),5,0
ReturnPathTypeAnalysis in edu::umd::cs::findbugs::ba::npe (Class),17,1
StringAnnotation in edu::umd::cs::findbugs (Class),19,2
DoNothingCloud in edu::umd::cs::findbugs::cloud (Class),73,2
anonymous(ThreadLocal) in edu::umd::cs::findbugs::io::IO.<Initializer>() (Class),1,0
