Class,Methods,Over-exposed methods
WagonConfigurationException in org::apache::maven::repository::legacy (Class),5,0
MavenMetadataCache in org::apache::maven::project::artifact (Class),3,0
PomArtifactHandler in org::apache::maven::project::artifact::ProjectArtifact (Class),8,0
Key in org::apache::maven::repository::internal::DefaultModelCache (Class),3,0
DefaultPluginVersionResolver in org::apache::maven::plugin::version::internal (Class),10,0
PluginDescriptorParsingException in org::apache::maven::plugin (Class),3,0
anonymous(InterpolationPostProcessor) in org::apache::maven::settings::building::DefaultSettingsBuilder.interpolate() (Class),1,0
DefaultToolchain in org::apache::maven::toolchain (Class),9,0
PluginPrefixResult in org::apache::maven::plugin::prefix (Class),4,0
AbstractMojo in org::apache::maven::plugin (Class),4,0
NewestConflictResolver in org::apache::maven::repository::legacy::resolver::conflict (Class),1,0
ProjectDependenciesResolver in org::apache::maven (Class),4,0
FarthestConflictResolver in org::apache::maven::repository::legacy::resolver::conflict (Class),1,0
ProjectInheritanceTest in org::apache::maven::project::inheritance::t12scm (Class),2,0
DefaultLifecycleMapping in org::apache::maven::lifecycle::mapping (Class),4,0
DefaultMavenSettingsBuilder in org::apache::maven::settings (Class),7,0
DefaultDependencyManagementImporter in org::apache::maven::model::composition (Class),2,0
ProblemDetectingValueSource in org::apache::maven::model::interpolation (Class),5,0
DefaultSettingsValidatorTest in org::apache::maven::settings::validation (Class),9,0
ProjectInheritanceTest in org::apache::maven::project::inheritance::t04 (Class),1,0
LocalSnapshotMetadataGenerator in org::apache::maven::repository::internal (Class),5,0
ArtifactTransferResource in org::apache::maven::repository (Class),5,0
LifecycleTaskSegmentCalculatorStub in org::apache::maven::lifecycle::internal::stub (Class),4,0
ArtifactMetadataRetrievalException in org::apache::maven::artifact::metadata (Class),1,0
DefaultVersionResolver in org::apache::maven::repository::internal (Class),15,0
TestMavenRepositorySystem in org::apache::maven::project (Class),0,0
Xpp3DomAttributeIterator in org::apache::maven::project::harness (Class),5,0
MetadataGraphEdge in org::apache::maven::repository::metadata (Class),21,3
DefaultServiceLocatorTest in org::apache::maven::repository::internal (Class),2,0
Key in org::apache::maven::plugin::PluginArtifactsCache (Class),0,0
anonymous(AbstractValueSource) in org::apache::maven::project::interpolation::AbstractStringBasedModelInterpolator.createValueSources() (Class),1,0
DefaultRuntimeInformation in org::apache::maven::execution (Class),2,0
ArtifactFilterManager in org::apache::maven (Class),4,0
RuntimeInformation in org::apache::maven::rtinfo (Class),2,0
DefaultPluginConfigurationExpander in org::apache::maven::model::plugin (Class),3,0
ListItem in org::apache::maven::artifact::versioning::ComparableVersion (Class),6,1
DefaultRepositoryRequest in org::apache::maven::artifact::repository (Class),11,0
TestMetadataSource in org::apache::maven::artifact::metadata (Class),5,0
ProjectUtils in org::apache::maven::project (Class),6,0
ArtifactHandlerManager in org::apache::maven::artifact::handler::manager (Class),3,0
ModelBuildingEventCatapult in org::apache::maven::model::building (Class),2,0
ArtifactRepositoryMetadata in org::apache::maven::artifact::repository::metadata (Class),15,0
ArtifactSpec in org::apache::maven::repository::legacy::resolver::DefaultArtifactCollectorTest (Class),7,0
AppTest in org::codehaus::m2eclipse (Class),3,0
PluginExecutionTest in org::apache::maven::model (Class),4,0
ExtensionDescriptorBuilderTest in org::apache::maven::project (Class),5,0
