Class,Methods,Over-exposed methods
NullThrowable in org::apache::log4j::spi::ThrowableInformationTest (Class),3,1
LogFactor5ErrorDialog in org::apache::log4j::lf5::viewer (Class),1,0
MessageRenderer in org::apache::log4j::or::jms (Class),2,0
MockCategory in org::apache::log4j::CategoryTest (Class),2,0
PatternParserTestCase in org::apache::log4j::helpers (Class),6,0
SocketNode in org::apache::log4j::net (Class),3,0
FileLocationPatternConverter in org::apache::log4j::pattern (Class),4,0
RelativeTimeDateFormat in org::apache::log4j::helpers (Class),4,1
CategoryPath in org::apache::log4j::lf5::viewer::categoryexplorer (Class),9,1
MyLogger in examples::subclass (Class),5,0
DRFATestCase in org::apache::log4j (Class),19,0
LayoutTest in org::apache::log4j (Class),10,1
SocketServer in org::apache::log4j::net (Class),7,1
SystemTime in org::apache::log4j::performance (Class),4,2
HUP in org::apache::log4j::varia (Class),2,0
LineSeparatorPatternConverter in org::apache::log4j::pattern (Class),5,0
anonymous(Object) in org::apache::log4j::lf5::viewer::LogBrokerMonitor.addTableModelProperties() (Class),1,0
anonymous(ActionListener) in org::apache::log4j::lf5::viewer::LogBrokerMonitor.createEditRestoreAllNDCMI() (Class),1,0
BasicPatternConverter in org::apache::log4j::helpers::PatternParser (Class),2,0
MockTriggeringEventEvaluator in org::apache::log4j::net::SMTPAppenderTest (Class),1,0
PluggableHTTPServer in com::psibt::framework::net (Class),10,0
DefaultLF5Configurator in org::apache::log4j::lf5 (Class),3,0
RollingFileAppender in org::apache::log4j (Class),13,3
StringThrowable in org::apache::log4j::spi::ThrowableInformationTest (Class),3,0
NullAppender in org::apache::log4j::varia (Class),9,1
Compare in org::apache::log4j::util (Class),2,0
TriggeringPolicy in org::apache::log4j::PropertyConfiguratorTest (Class),4,0
Dispatcher in org::apache::log4j (Class),4,0
ControlPanel in org::apache::log4j::chainsaw (Class),2,0
CachedDateFormat in org::apache::log4j::pattern (Class),10,0
NullWriter in org::apache::log4j::spi (Class),4,0
ProblemLevel in org::apache::log4j::xml::XMLLayoutTest (Class),2,0
TestCase1 in org::apache::log4j::defaultInit (Class),5,0
Log4JLogRecord in org::apache::log4j::lf5 (Class),3,1
LogMonitorAdapter in org::apache::log4j::lf5::util (Class),20,5
DropElementAbbreviator in org::apache::log4j::pattern::NameAbbreviator (Class),2,0
MyConnectionHandler in <Default Package> (Class),5,0
NOPLoggerRepository in org::apache::log4j::spi (Class),16,1
FilteredLogTableModel in org::apache::log4j::lf5::viewer (Class),22,9
XMLFileHandler in org::apache::log4j::chainsaw (Class),9,0
InnerInitUsingDefaultConfigurator in examples::lf5::InitUsingDefaultConfigurator::InitUsingDefaultConfigurator (Class),2,0
NDCPatternConverter in org::apache::log4j::pattern (Class),4,0
CategoryKey in org::apache::log4j (Class),3,0
EnhancedThrowableRendererTest in org::apache::log4j (Class),2,0
CategoryNode in org::apache::log4j::lf5::viewer::categoryexplorer (Class),21,9
ReadThread in org::apache::log4j::net::TelnetAppenderTest (Class),2,1
anonymous(ActionListener) in org::apache::log4j::lf5::viewer::LogBrokerMonitor.createNoLogTableColumnsMenuItem() (Class),1,0
AppenderAttachableImpl in org::apache::log4j::helpers (Class),9,0
CustomLogger in org::apache::log4j::xml::DOMTestCase (Class),1,0
BasicConfigurator in org::apache::log4j (Class),4,1
SocketServerTestCase in org::apache::log4j::net (Class),15,0
NewVsSetLen in org::apache::log4j::performance (Class),4,0
ThrowableInformation in org::apache::log4j::spi (Class),6,1
EnhancedJunitTestRunnerFilter in org::apache::log4j::util (Class),3,0
CyclicBuffer in org::apache::log4j::helpers (Class),7,0
DailyFileAppenderCalendar in org::apache::log4j (Class),3,1
ThrowableRenderer in org::apache::log4j::spi (Class),1,0
LogManagerTest in org::apache::log4j (Class),6,0
DefaultRepositorySelector in org::apache::log4j::spi (Class),2,0
Filter in org::apache::log4j::util (Class),2,0
CountingAppender in org::apache::log4j::LoggerTestCase (Class),4,0
WriterAppender in org::apache::log4j (Class),22,3
RFATestCase in org::apache::log4j (Class),8,0
anonymous(ActionListener) in org::apache::log4j::lf5::viewer::LogBrokerMonitor.createLogLevelCombo() (Class),1,0
PropertyGetter in org::apache::log4j::config (Class),5,0
ThreadPatternConverter in org::apache::log4j::pattern (Class),4,0
B in org::apache::log4j::or (Class),0,0
PatternParser in org::apache::log4j::pattern (Class),9,2
anonymous(Runnable) in org::apache::log4j::lf5::viewer::LogBrokerMonitor.addMessage() (Class),1,0
LoggerRepository in org::apache::log4j::spi (Class),15,0
SortAlgo in examples (Class),5,0
anonymous(ActionListener) in org::apache::log4j::lf5::viewer::LogBrokerMonitor.createMenuItem() (Class),1,0
StringMatchFilter in org::apache::log4j::varia (Class),8,0
ConfigurationManager in org::apache::log4j::lf5::viewer::configure (Class),29,5
LF5SwingUtils in org::apache::log4j::lf5::viewer (Class),7,0
FallbackErrorHandler in org::apache::log4j::varia (Class),8,0
RelativeTimeFilter in org::apache::log4j::util (Class),3,0
NullAppender in org::apache::log4j::performance (Class),6,0
LogManager in org::apache::log4j (Class),12,5
HTMLLayout in org::apache::log4j (Class),13,3
InitUsingDefaultConfigurator in examples::lf5::InitUsingDefaultConfigurator (Class),3,1
LogLogTest in org::apache::log4j::helpers (Class),3,0
EmptyThrowable in org::apache::log4j::spi::ThrowableInformationTest (Class),3,1
JDBCTest in org::apache::log4j::varia::test (Class),1,0
JListView in org::apache::log4j::gui (Class),4,0
CyclicBufferTestCase in org::apache::log4j::helpers (Class),9,0
MDCKeySetExtractor in org::apache::log4j::helpers (Class),3,0
LogCapture in org::apache::log4j (Class),2,1
anonymous(Comparator) in org::apache::log4j::chainsaw::MyTableModel.<Initializer>() (Class),1,0
LineLocationPatternConverter in org::apache::log4j::pattern (Class),4,0
anonymous(TreeModelAdapter) in org::apache::log4j::lf5::viewer::categoryexplorer::CategoryExplorerTree.ensureRootExpansion() (Class),1,0
Category in org::apache::log4j (Class),55,8
XMLWatchdog in org::apache::log4j::xml (Class),2,0
Layout in org::apache::log4j (Class),6,4
anonymous(DocumentListener) in org::apache::log4j::chainsaw::ControlPanel.ControlPanel() (Class),3,0
NumberCruncherServer in examples (Class),6,1
UnexpectedFormatException in org::apache::log4j::util (Class),2,0
NullEnumeration in org::apache::log4j::helpers (Class),5,0
CategoryExplorerTree in org::apache::log4j::lf5::viewer::categoryexplorer (Class),8,3
SyslogQuietWriter in org::apache::log4j::helpers (Class),4,0
ErrorHandler in org::apache::log4j::spi (Class),6,0
Priority in org::apache::log4j (Class),13,1
JDBCLogger in com::klopotek::utils::log (Class),12,5
Transform in org::apache::log4j::helpers (Class),3,0
JDBCAppender in com::klopotek::utils::log (Class),12,4
LoggerPatternConverter in org::apache::log4j::pattern (Class),4,0
anonymous(DocumentListener) in org::apache::log4j::chainsaw::ControlPanel.ControlPanel() (Class),3,0
FilterBasedTriggeringPolicy in org::apache::log4j::PropertyConfiguratorTest (Class),3,1
MyIDHandler in <Default Package> (Class),2,0
ObjectRenderer in org::apache::log4j::or (Class),1,0
Transformer in org::apache::log4j::util (Class),2,0
NTEventLogAppenderTest in org::apache::log4j::nt (Class),2,0
RelativeTimePatternConverter in org::apache::log4j::pattern (Class),4,1
anonymous(ActionListener) in org::apache::log4j::lf5::viewer::categoryexplorer::CategoryNodeEditor.CategoryNodeEditor() (Class),1,0
TelnetAppenderTest in org::apache::log4j::net (Class),2,0
NameAbbreviatorTest in org::apache::log4j::pattern (Class),11,0
ThreadLocalMap in org::apache::log4j::helpers (Class),2,0
TTCCLayout in org::apache::log4j (Class),11,4
CachedTimestamp in org::apache::log4j::pattern::RelativeTimePatternConverter (Class),2,0
CategoryExplorerLogRecordFilter in org::apache::log4j::lf5::viewer::categoryexplorer (Class),4,1
Last in org::apache::log4j (Class),3,0
FixedWindowRollingPolicy in org::apache::log4j::PropertyConfiguratorTest (Class),7,3
SimpleSocketServer in org::apache::log4j::net (Class),4,0
ThrowableInformationTest in org::apache::log4j::spi (Class),12,0
anonymous(ActionListener) in org::apache::log4j::lf5::viewer::categoryexplorer::CategoryNodeEditor.createRemoveMenuItem() (Class),1,0
SunReflectFilter in org::apache::log4j::util (Class),3,0
DetailPanel in org::apache::log4j::chainsaw (Class),5,0
TestLogSF in org::apache::log4j (Class),117,0
DerivedPatternLayout in org::apache::log4j::PatternLayoutTest (Class),3,0
