Class,Methods,Over-exposed methods
MappingDefaults in org::hibernate::metamodel::source (Class),9,8
EJB3PostDeleteEventListener in org::hibernate::ejb::event (Class),4,1
Building in org::hibernate::test::naturalid::immutableentity (Class),14,1
Ejb3XmlManyToOneTest in org::hibernate::test::annotations::xml::ejb3 (Class),9,0
DefaultIdentifierGeneratorFactory in org::hibernate::id::factory::internal (Class),8,0
EnumIdTest in org::hibernate::test::annotations::id::sequences (Class),3,0
Sybase11Dialect in org::hibernate::dialect (Class),3,0
PreDeleteEventListener in org::hibernate::event::spi (Class),1,0
MyEntity in org::hibernate::test::annotations::quote::resultsetmappings (Class),6,0
SelectedClassnameClassLoaderTestSetup in org::hibernate::test::cache::infinispan::functional::classloader (Class),3,0
Plan in org::hibernate::test::immutable::entitywithmutablecollection (Class),17,2
Foo in org::hibernate::metamodel::source::annotations::entity::WhereClauseTest (Class),0,0
GloballyConfiguredRevListenerTest in org::hibernate::envers::test::integration::reventity (Class),3,0
AbstractOperationTestCase in org::hibernate::test::nonflushedchanges (Class),11,0
AuditedImplementor in org::hibernate::envers::test::integration::interfaces::hbm::allAudited (Class),7,3
Entry in org::hibernate::test::pagination (Class),12,2
TestingBatchBuilder in org::hibernate::test::manytomany::batchload::BatchedManyToManyTest (Class),1,0
ParseErrorHandler in org::hibernate::hql::internal::ast (Class),3,1
SubselectTest in org::hibernate::test::annotations::subselect (Class),2,0
BulkAccessorFactory in org::hibernate::bytecode::internal::javassist (Class),13,0
ListJoinColumnBidirectionalInheritanceRefIngEntity in org::hibernate::envers::test::entities::onetomany::detached (Class),12,0
ExceptionWrapper in org::hibernate::testing::async::ExecutableAdapter (Class),1,0
Ejb3XmlTestCase in org::hibernate::test::annotations::xml::ejb3 (Class),6,0
IndexedPluralAttributeImpl in org::hibernate::metamodel::domain::AbstractAttributeContainer (Class),3,0
VersionsJoinTableTestEntity in org::hibernate::envers::test::integration::naming (Class),5,3
TableGenerator in org::hibernate::id::enhanced (Class),27,2
ASTParserLoadingOrderByTest in org::hibernate::test::hql (Class),14,0
HasChangedAuditedManyToManyTest in org::hibernate::envers::test::integration::modifiedflags (Class),5,0
ProxyDisabledEntity in org::hibernate::metamodel::source::annotations::entity::ProxyBindingTest (Class),0,0
OrderEntry in org::hibernate::internal::CriteriaImpl (Class),4,0
TypeResolver in org::hibernate::type (Class),10,0
anonymous(TemplatedViolatedConstraintNameExtracter) in org::hibernate::dialect::HSQLDialect.<Initializer>() (Class),1,0
PkDrivenByDefaultMapsIdSecondPass in org::hibernate::cfg (Class),2,0
Constraint in org::hibernate::metamodel::relational (Class),3,0
MinimalTableEntity in org::hibernate::test::annotations::id::generationmappings (Class),3,0
AuditedMethodMappedSuperclass in org::hibernate::envers::test::integration::superclass::auditAtMethodSuperclassLevel (Class),8,1
CorrelatedSubqueryTest in org::hibernate::ejb::criteria::subquery (Class),4,0
PropertyAuditOrder in org::hibernate::envers::query::order (Class),2,0
MultiTenantConnectionProviderInitiator in org::hibernate::service::jdbc::connections::internal (Class),4,1
StandardQueryCacheFactory in org::hibernate::cache::internal (Class),1,0
MapTest in org::hibernate::test::legacy (Class),5,0
AbstractSelectLockingStrategy in org::hibernate::dialect::lock (Class),6,1
CompositeIdEntity in org::hibernate::test::hql (Class),9,0
DifferentDBSchemaTest in org::hibernate::envers::test::integration::reventity (Class),7,0
AuditedAllSubclassEntity in org::hibernate::envers::test::integration::superclass::auditAtMethodSuperclassLevel::auditAllSubclass (Class),9,1
Role in org::hibernate::test::legacy (Class),10,2
PK in org::hibernate::ejb::test::util::Umbrella (Class),7,1
Struct in org::hibernate::test::legacy::Foo (Class),3,1
Default in org::hibernate::cfg::annotations::reflection::XMLContext (Class),19,8
HibernateDotNames in org::hibernate::metamodel::source::annotations (Class),1,0
UnknownPersisterException in org::hibernate::persister::spi (Class),2,0
anonymous(AbstractReturningWork) in org::hibernate::id::enhanced::TableStructure.buildCallback()::anonymous(AccessCallback).getNextValue() (Class),1,0
JandexHelperTest in org::hibernate::metamodel::source::annotations::util (Class),11,0
BeforeClassCallbackHandler in org::hibernate::testing::junit4 (Class),3,0
GraphTopologicalSort in org::hibernate::envers::tools::graph (Class),1,0
SpaceShip in org::hibernate::test::sql::hand (Class),11,2
anonymous(BasicBinder) in org::hibernate::type::descriptor::sql::TimestampTypeDescriptor.getBinder() (Class),1,0
C in org::hibernate::metamodel::source::annotations::entity::EmbeddableBindingTest (Class),2,0
Key in org::hibernate::ejb::test::metadata::House (Class),2,0
IsolationDelegate in org::hibernate::engine::transaction::spi (Class),1,0
Oracle9Dialect in org::hibernate::dialect (Class),36,0
Widget in org::hibernate::ejb::criteria::idclass (Class),8,4
AliasGenerator in org::hibernate::hql::internal::ast::util (Class),4,0
NestedEmbeddableMetadataTest in org::hibernate::test::annotations::embeddables::nested (Class),1,0
PersistentSetTest in org::hibernate::test::collection::set (Class),10,1
Customer in org::hibernate::test::annotations::derivedidentities::e1::b2 (Class),29,5
Parent in org::hibernate::test::annotations::manytoone (Class),3,1
KeyManyToOneTest in org::hibernate::test::keymanytoone::bidir::embedded (Class),5,0
SwimmingPool in org::hibernate::test::annotations::inheritance::joined (Class),1,1
CustomEnumUserType in org::hibernate::envers::test::entities::ids (Class),12,0
PersistentMyList in org::hibernate::test::collection::custom::basic (Class),2,0
Dependent in org::hibernate::test::annotations::derivedidentities::e3::b (Class),1,1
BasicDetachedSetWithEmbId in org::hibernate::envers::test::integration::onetomany::detached (Class),4,0
SubclassEntitySourceImpl in org::hibernate::metamodel::source::annotations::entity (Class),1,0
ReflectionOptimizer in org::hibernate::bytecode::spi (Class),2,0
Wall in org::hibernate::ejb::criteria::basic (Class),12,0
Info in org::hibernate::test::proxy (Class),6,1
