Class,Methods,Over-exposed methods
Result in net::sourceforge::pmd::util::Benchmark (Class),2,0
PathElement in net::sourceforge::pmd::dfa::pathfinder (Class),3,1
JavaParser in net::sourceforge::pmd::ast (Class),583,102
anonymous(Filter) in net::sourceforge::pmd::util::filter::Filters.toNormalizedFileFilter() (Class),2,0
ClasspathClassLoader in net::sourceforge::pmd::util (Class),6,0
BasicRulesTest in test::net::sourceforge::pmd::rules::basic (Class),2,0
ASTCompilationUnit in net::sourceforge::pmd::ast (Class),10,0
JavabeansRulesTest in test::net::sourceforge::pmd::rules::javabeans (Class),2,0
ConstructorHolder in net::sourceforge::pmd::rules::ConstructorCallsOverridableMethod (Class),7,3
SimplifyBooleanReturns in net::sourceforge::pmd::rules (Class),10,0
anonymous(Comparator) in test::net::sourceforge::pmd::jsp::ast::JspDocStyleTest.testAttributeValueContainingHash() (Class),1,0
StringToStringRule in net::sourceforge::pmd::rules::strings (Class),1,0
UseCollectionIsEmpty in net::sourceforge::pmd::rules::design (Class),2,0
FormalComment in net::sourceforge::pmd::ast (Class),1,0
ASTLabeledStatement in net::sourceforge::pmd::ast (Class),3,0
FileCodeLoader in net::sourceforge::pmd::cpd::SourceCode (Class),3,0
XMLRenderer in net::sourceforge::pmd::renderers (Class),9,0
MatchAlgorithm in net::sourceforge::pmd::cpd (Class),9,1
ASTEnumConstant in net::sourceforge::pmd::ast (Class),4,0
SimpleRuleSetNameMapper in net::sourceforge::pmd (Class),6,0
DontImportJavaLang in net::sourceforge::pmd::rules::imports (Class),2,0
EncodingTest in test::net::sourceforge::pmd::ast (Class),3,0
PrimitiveTypeResolver in net::sourceforge::pmd::symboltable::TypeSet (Class),3,0
ASTJspDocument in net::sourceforge::pmd::jsp::ast (Class),3,0
MainFrame in net::sourceforge::pmd::util::viewer::gui (Class),6,0
TextPadRenderer in net::sourceforge::pmd::renderers (Class),4,0
anonymous(NodeIterator) in net::sourceforge::pmd::jaxen::DocumentNavigator.getPrecedingAxisIterator() (Class),2,0
TypeNode in net::sourceforge::pmd::ast (Class),2,0
AbstractDelegateRule in net::sourceforge::pmd (Class),44,1
ASTInstanceOfExpression in net::sourceforge::pmd::ast (Class),3,0
RuleSetFactoryTest in test::net::sourceforge::pmd (Class),40,0
UnusedFormalParameterRule in net::sourceforge::pmd::rules (Class),4,0
ASTLocalVariableDeclaration in net::sourceforge::pmd::ast (Class),12,1
StringUtil in net::sourceforge::pmd::util (Class),14,0
RubyLanguage in net::sourceforge::pmd::cpd (Class),1,0
anonymous(Renderer) in net::sourceforge::pmd::cpd::GUI.<Initializer>() (Class),1,0
ASTExplicitConstructorInvocation in net::sourceforge::pmd::ast (Class),8,1
FileReporter in net::sourceforge::pmd::cpd (Class),4,0
JspParser in net::sourceforge::pmd::jsp::ast (Class),90,28
SunSecureRulesTest in test::net::sourceforge::pmd::rules::sunsecure (Class),2,0
AvoidNonConstructorMethodsWithClassName in net::sourceforge::pmd::rules (Class),2,0
ASTTypeArguments in net::sourceforge::pmd::ast (Class),3,0
SymbolTableListener in net::sourceforge::pmd::util::designer::Designer (Class),2,0
anonymous(RendererBuilder) in net::sourceforge::pmd::ant::Formatter.<Initializer>() (Class),1,0
ShowListener in net::sourceforge::pmd::util::designer::Designer (Class),2,0
GenericClassCounterRule in net::sourceforge::pmd::rules::design (Class),11,1
NoScriptletsTest in test::net::sourceforge::pmd::jsp::rules (Class),2,0
AbstractTokenizer in net::sourceforge::pmd::cpd (Class),9,0
XPathTest in net::sourceforge::pmd::util (Class),1,0
SymbolTableViewer in net::sourceforge::pmd::util (Class),3,0
SimpleJavaTypeNode in net::sourceforge::pmd::ast (Class),4,0
