Class,Methods,Over-exposed methods
TestCharListIteratorListIterator in org::apache::commons::collections::primitives::adapters (Class),13,3
TestLongListList in org::apache::commons::collections::primitives::adapters (Class),13,0
IntCollectionImpl in org::apache::commons::collections::primitives::TestAbstractIntCollection (Class),3,1
BaseUnmodifiableByteListTest in org::apache::commons::collections::primitives::decorators (Class),10,1
anonymous(RandomAccessByteList) in org::apache::commons::collections::primitives::adapters::TestByteListList.testWrapNonSerializable() (Class),2,0
AbstractListFloatList in org::apache::commons::collections::primitives::adapters (Class),14,1
ListIntList in org::apache::commons::collections::primitives::adapters (Class),4,0
DoubleIterator in org::apache::commons::collections::primitives (Class),3,3
TestLongListIterator in org::apache::commons::collections::primitives (Class),5,2
TestListIteratorLongListIterator in org::apache::commons::collections::primitives::adapters (Class),8,3
TestArrayShortList in org::apache::commons::collections::primitives (Class),15,0
NonSerializableFloatListList in org::apache::commons::collections::primitives::adapters (Class),3,0
TestArrayByteList in org::apache::commons::collections::primitives (Class),15,0
TestAbstractByteCollection in org::apache::commons::collections::primitives (Class),4,0
TestUnmodifiableCharList in org::apache::commons::collections::primitives::decorators (Class),8,0
ListIteratorCharListIterator in org::apache::commons::collections::primitives::adapters (Class),12,0
InvocationCounter in org::apache::commons::collections::primitives::decorators::TestBaseProxyFloatList (Class),21,8
IntCollections in org::apache::commons::collections::primitives (Class),10,3
TestDoubleListIteratorListIterator in org::apache::commons::collections::primitives::adapters (Class),13,3
TestListCharList in org::apache::commons::collections::primitives::adapters (Class),12,0
ProxyDoubleIterator in org::apache::commons::collections::primitives::decorators (Class),4,1
TestBaseProxyFloatList in org::apache::commons::collections::primitives::decorators (Class),4,0
ProxyByteListIterator in org::apache::commons::collections::primitives::decorators (Class),7,1
anonymous(AbstractList) in org::apache::commons::collections::primitives::adapters::TestListShortList.testWrapNonSerializable() (Class),2,0
NonSerializableCollectionCharCollection in org::apache::commons::collections::primitives::adapters (Class),3,0
UnmodifiableFloatIterator in org::apache::commons::collections::primitives::decorators (Class),5,0
NonSerializableListFloatList in org::apache::commons::collections::primitives::adapters (Class),3,0
BaseUnmodifiableCharListTest in org::apache::commons::collections::primitives::decorators (Class),10,1
LongIteratorIterator in org::apache::commons::collections::primitives::adapters (Class),6,0
TestFloatListIteratorListIterator in org::apache::commons::collections::primitives::adapters (Class),13,3
TestLongIteratorIterator in org::apache::commons::collections::primitives::adapters (Class),8,3
ByteList in org::apache::commons::collections::primitives (Class),14,3
AbstractCharListList in org::apache::commons::collections::primitives::adapters (Class),14,1
PackageTestSuite in org::apache::commons::collections::primitives::adapters::io (Class),3,0
TestRandomAccessByteList in org::apache::commons::collections::primitives (Class),7,0
ProxyFloatListIterator in org::apache::commons::collections::primitives::decorators (Class),7,1
TestByteListIteratorListIterator in org::apache::commons::collections::primitives::adapters (Class),13,3
TestFloatList in org::apache::commons::collections::primitives (Class),29,4
AbstractByteCollectionCollection in org::apache::commons::collections::primitives::adapters (Class),15,3
TestDoubleList in org::apache::commons::collections::primitives (Class),29,4
anonymous(BaseProxyDoubleCollection) in org::apache::commons::collections::primitives::decorators::TestBaseProxyDoubleCollection.testCollectionCallsAreProxied() (Class),1,0
UnmodifiableLongList in org::apache::commons::collections::primitives::decorators (Class),4,0
anonymous(AbstractList) in org::apache::commons::collections::primitives::adapters::TestListCharList.testWrapNonSerializable() (Class),2,0
TestDoubleIterator in org::apache::commons::collections::primitives (Class),10,3
TestUnmodifiableIntList in org::apache::commons::collections::primitives::decorators (Class),8,0
CharListIteratorListIterator in org::apache::commons::collections::primitives::adapters (Class),12,0
ArrayShortList in org::apache::commons::collections::primitives (Class),15,2
AbstractDoubleCollectionCollection in org::apache::commons::collections::primitives::adapters (Class),15,3
BaseProxyByteCollection in org::apache::commons::collections::primitives::decorators (Class),18,1
