Class,Methods,Over-exposed methods
XYSeries in org::jfree::data::xy (Class),47,8
DatasetGroupTests in org::jfree::data::general::junit (Class),3,0
XYAreaRendererTests in org::jfree::chart::renderer::xy::junit (Class),9,0
AxisTests in org::jfree::chart::axis::junit (Class),5,0
NumberTickUnit in org::jfree::chart::axis (Class),8,0
ComparableObjectItemTests in org::jfree::data::junit (Class),7,0
SWTAxisEditor in org::jfree::experimental::chart::swt::editor (Class),12,5
StackedBarRenderer3D in org::jfree::chart::renderer::category (Class),20,1
StandardPieSectionLabelGeneratorTests in org::jfree::chart::labels::junit (Class),8,0
WaterfallChartTests in org::jfree::chart::junit (Class),7,0
anonymous(SelectionAdapter) in org::jfree::experimental::chart::swt::editor::SWTChartEditor.SWTChartEditor() (Class),1,0
DefaultKeyedValues2DDatasetTests in org::jfree::data::general::junit (Class),4,0
DialPlot in org::jfree::chart::plot::dial (Class),41,1
Task in org::jfree::data::gantt (Class),16,5
LookupPaintScaleTests in org::jfree::chart::renderer::junit (Class),9,0
CombinedRangeXYPlotTests in org::jfree::chart::plot::junit (Class),12,0
BoxAndWhiskerXYDataset in org::jfree::data::statistics (Class),11,0
ShadowGenerator in org::jfree::chart::util (Class),3,0
CustomXYItemLabelGeneratorTests in org::jfree::chart::labels::junit (Class),5,0
DefaultXYDatasetTests in org::jfree::data::xy::junit (Class),11,1
SymbolAxis in org::jfree::chart::axis (Class),22,0
MinuteTests in org::jfree::data::time::junit (Class),21,0
StandardCategoryURLGeneratorTests in org::jfree::chart::urls::junit (Class),6,0
LocalListener in org::jfree::chart::junit::XYStepChartTests (Class),3,0
JFreeChartEntity in org::jfree::chart::entity (Class),11,0
XIntervalSeriesTests in org::jfree::data::xy::junit (Class),17,0
XYBubbleRenderer in org::jfree::chart::renderer::xy (Class),8,3
XYPlotTests in org::jfree::chart::plot::junit (Class),32,0
XYDrawableAnnotationTests in org::jfree::chart::annotations::junit (Class),7,0
AbstractBlock in org::jfree::chart::block (Class),40,2
AbstractAnnotation in org::jfree::chart::annotations (Class),12,1
YIntervalSeriesCollectionTests in org::jfree::data::xy::junit (Class),8,0
ChartEditorManager in org::jfree::chart::editor (Class),5,0
StandardPieToolTipGeneratorTests in org::jfree::chart::labels::junit (Class),7,0
XYStepRenderer in org::jfree::chart::renderer::xy (Class),10,2
DefaultStatisticalCategoryDataset in org::jfree::data::statistics (Class),29,0
AnnotationChangeListener in org::jfree::chart::event (Class),1,0
anonymous(PaintListener) in org::jfree::experimental::swt::SWTPaintCanvas.SWTPaintCanvas() (Class),1,0
OHLCPackageTests in org::jfree::data::time::ohlc::junit (Class),4,0
YWithXInterval in org::jfree::data::xy (Class),5,3
ChartColor in org::jfree::chart (Class),3,1
ChartRenderingInfo in org::jfree::chart (Class),13,3
CrosshairOverlayTests in org::jfree::chart::panel::junit (Class),5,0
CategoryAxis3D in org::jfree::chart::axis (Class),6,0
ContourPlotUtilities in org::jfree::chart::plot (Class),1,0
AbstractXYAnnotation in org::jfree::chart::annotations (Class),9,2
CategoryItemRenderer in org::jfree::chart::renderer::category (Class),133,0
LegendGraphic in org::jfree::chart::title (Class),43,5
PlotEntity in org::jfree::chart::entity (Class),11,0
Axis in org::jfree::chart::axis (Class),72,16
Second in org::jfree::data::time (Class),21,3
NumberAxisTests in org::jfree::chart::axis::junit (Class),15,0
Zoomable in org::jfree::chart::plot (Class),9,0
HistogramBin in org::jfree::data::statistics (Class),9,5
PieLabelRecord in org::jfree::chart::plot (Class),18,7
AreaRendererTests in org::jfree::chart::renderer::category::junit (Class),8,0
MillisecondTests in org::jfree::data::time::junit (Class),21,0
HexNumberFormat in org::jfree::chart::util (Class),8,0
PlotPackageTests in org::jfree::chart::plot::junit (Class),4,0
HeatMapUtilities in org::jfree::data::general (Class),3,0
TimeSeriesDataItem in org::jfree::data::time (Class),10,3
TickLabelEntity in org::jfree::chart::entity (Class),2,0
ImageEncoder in org::jfree::chart::encoders (Class),6,0
TimePeriodFormatException in org::jfree::data::time (Class),1,0
anonymous(DefaultXYDataset) in org::jfree::chart::renderer::junit::RendererUtilitiesTests.testFindLiveItemsUpperBound_Descending() (Class),1,0
TimePeriod in org::jfree::data::time (Class),2,0
DefaultPlotEditor in org::jfree::chart::editor (Class),16,3
StandardURLTagFragmentGenerator in org::jfree::chart::imagemap (Class),2,0
NonGridContourDataset in org::jfree::data::contour (Class),6,0
DatasetUtilitiesTests in org::jfree::data::general::junit (Class),61,0
ComparableObjectItem in org::jfree::data (Class),9,1
MatrixSeriesCollectionTests in org::jfree::data::xy::junit (Class),6,0
MonthDateFormatTests in org::jfree::chart::axis::junit (Class),6,0
YIntervalRenderer in org::jfree::chart::renderer::xy (Class),10,2
ChartMouseListener in org::jfree::chart (Class),2,0
Marker in org::jfree::chart::plot (Class),44,1
AbstractSeriesDataset in org::jfree::data::general (Class),6,1
ChartMouseEvent in org::jfree::chart (Class),5,0
DefaultOHLCDataset in org::jfree::data::xy (Class),20,1
StackedBarRenderer3DTests in org::jfree::chart::renderer::category::junit (Class),25,0
OHLCSeriesTests in org::jfree::data::time::ohlc::junit (Class),14,0
CategoryLabelWidthTypeTests in org::jfree::chart::axis::junit (Class),5,0
ColumnArrangement in org::jfree::chart::block (Class),13,0
KeyedValueComparatorType in org::jfree::data (Class),5,0
LineAndShapeRendererTests in org::jfree::chart::renderer::category::junit (Class),10,0
DrawingSupplier in org::jfree::chart::plot (Class),6,0
UrlsPackageTests in org::jfree::chart::urls::junit (Class),4,0
SymbolicXYItemLabelGenerator in org::jfree::chart::labels (Class),8,2
ImageEncoderFactory in org::jfree::chart::encoders (Class),7,0
Plot in org::jfree::chart::plot (Class),72,3
LineUtilities in org::jfree::chart::util (Class),1,0
ResourceBundleWrapper in org::jfree::chart::util (Class),5,0
StandardXYToolTipGenerator in org::jfree::chart::labels (Class),10,0
AbstractIntervalXYDataset in org::jfree::data::xy (Class),5,0
CategoryItemRendererState in org::jfree::chart::renderer::category (Class),11,5
RingPlotTests in org::jfree::chart::plot::junit (Class),5,0
TimePeriodValuesCollection in org::jfree::data::time (Class),25,2
PaintScale in org::jfree::chart::renderer (Class),3,0
MarkerChangeEvent in org::jfree::chart::event (Class),2,0
Dataset in org::jfree::data::general (Class),4,0
XYLineAnnotation in org::jfree::chart::annotations (Class),9,0
PaletteChooserPanel in org::jfree::chart::editor (Class),2,1
DateTickUnitType in org::jfree::chart::axis (Class),6,1
StackedXYBarRendererTests in org::jfree::chart::renderer::xy::junit (Class),9,0
DefaultPieDataset in org::jfree::data::general (Class),20,2
DialBackground in org::jfree::chart::plot::dial (Class),15,1
BarRenderer in org::jfree::chart::renderer::category (Class),52,16
XYLineAnnotationTests in org::jfree::chart::annotations::junit (Class),7,0
XYPlot in org::jfree::chart::plot (Class),235,34
StandardToolTipTagFragmentGeneratorTests in org::jfree::chart::imagemap::junit (Class),3,0
HashUtilitiesTests in org::jfree::chart::junit (Class),3,0
LengthConstraintType in org::jfree::chart::block (Class),6,0
TextAnnotation in org::jfree::chart::annotations (Class),22,6
StandardPieToolTipGenerator in org::jfree::chart::labels (Class),8,0
OHLCDataItem in org::jfree::data::xy (Class),10,6
ToolTipTagFragmentGenerator in org::jfree::chart::imagemap (Class),1,0
CustomXYURLGenerator in org::jfree::chart::urls (Class),9,3
