Class,Methods,Over-exposed methods
TestMapper in org::apache::tomcat::util::http::mapper (Class),5,0
RxTaskPool in org::apache::catalina::tribes::transport (Class),12,2
FairnessTest in org::apache::tomcat::jdbc::test (Class),7,0
TesterCounter in org::apache::tomcat::unittest (Class),4,3
JspUtil in org::apache::jasper::compiler (Class),40,0
ColorGameBean in colors (Class),14,0
FakeOutputStream in org::apache::coyote::http11::filters::GzipOutputFilter (Class),6,1
SecurityUtil in org::apache::jasper::security (Class),3,0
ApplicationTaglibDescriptor in org::apache::catalina::core (Class),5,0
ElapsedTimeElement in org::apache::catalina::valves::AccessLogValve (Class),2,0
Global in org::apache::tomcat::jni (Class),6,0
anonymous(PrivilegedAction) in org::apache::coyote::http11::AbstractOutputBuffer.sendStatus() (Class),1,0
Server in org::apache::catalina (Class),19,7
Deprecated in org::apache::tomcat::util::bcel::classfile (Class),6,0
ClassLoaderReport in org::apache::catalina::startup::TestTomcatClassLoader (Class),3,0
Procattr in org::apache::tomcat::jni (Class),13,0
Function in org::apache::jasper::compiler::ELNode (Class),12,0
TrackingRequestListener in org::apache::catalina::core::TestAsyncContextImpl (Class),2,0
MethodInfo in javax::el (Class),4,0
ConnectionPool in org::apache::tomcat::jdbc::pool (Class),40,5
SSIConditional in org::apache::catalina::ssi (Class),4,1
JspRoot in org::apache::jasper::compiler::Node (Class),2,0
Listener in org::apache::tomcat::util::net::jsse::JSSESupport (Class),4,0
anonymous(ThreadLocal) in org::apache::catalina::valves::ExtendedAccessLogValve::DateElement.<Initializer>() (Class),1,0
FileInfo in org::apache::tomcat::jni (Class),0,0
SSIServlet in org::apache::catalina::ssi (Class),6,0
CharInputChannel in org::apache::tomcat::util::buf::CharChunk (Class),1,0
HelloWorldServlet in org::apache::catalina::startup::TomcatBaseTest (Class),3,0
JAASMemoryLoginModule in org::apache::catalina::realm (Class),8,2
anonymous(VariableMapper) in javax::el::TestBeanELResolverVarargsInvocation.setup()::anonymous(ELContext).<Initializer>() (Class),3,0
ELParser in org::apache::jasper::compiler (Class),17,0
StarvationTest in org::apache::tomcat::jdbc::test (Class),4,0
HttpJspBase in org::apache::jasper::runtime (Class),11,4
BufferPool15Impl in org::apache::catalina::tribes::io (Class),6,0
AstFalse in org::apache::el::parser (Class),2,0
CreateTestTable in org::apache::tomcat::jdbc::test (Class),7,3
SCL3 in org::apache::catalina::startup::TestListener (Class),3,0
anonymous(BaseSessionComparator) in org::apache::catalina::manager::HTMLManagerServlet.getComparator() (Class),1,0
ThreadLocalLeakPreventionListener in org::apache::catalina::core (Class),10,0
RuntimeInvisibleParameterAnnotations in org::apache::tomcat::util::bcel::classfile (Class),3,0
IllegalBoundaryException in org::apache::tomcat::util::http::fileupload::MultipartStream (Class),3,0
EnableDTDValidationException in org::apache::jasper::compiler::JspDocumentParser (Class),3,0
SocketProcessor in org::apache::tomcat::util::net::NioEndpoint (Class),4,1
AstGreaterThanEqual in org::apache::el::parser (Class),2,0
