No,Spacecraft,Country ranks,Launch date,Sponsor,Sponsoring Agency
1311,STS-38,(904th military),15 Nov 90,Piloted spaceship,NA
1312,SDS B-2 / Magnum 3 (USA 67),(905th military),15 Nov 90,Electronic intelligence,NA
1313,Navstar 2A-01 / GPS 2-10 (USA 66),(909th military),26 Nov 90,Navigation,NA
1314,DMSP Block 5D-2 F5 (USA 68),(907th military),1 Dec 90,Meteorology,NA
1315,STS-35 - Astro 1,(408th civilian),2 Dec 90,Piloted spaceship,NA
1316,Lacrosse 2 (USA 69),(908th military),8 Mar 91,Radar reconnaissance,NA
1317,STS-37,(409th civilian),5 Apr 91,Piloted spaceship,NA
1318,GRO / Compton Gamma-ray Observatory,(410th civilian),5 Apr 91,Astronomy,NA
1319,STS-39,(909th military),28 Apr 91,Piloted spaceship,NA
1320,IBSS-SPAS (USA 70),(910th military),28 Apr 91,Space defense,NA
1321,MPEC (USA 71),(911th military),28 Apr 91,Space defense,NA
1322,CRO C,(912th military),28 Apr 91,Space defense,NA
1323,CRO B,(913th military),28 Apr 91,Space defense,NA
1324,CRO A,(914th military),28 Apr 91,Space defense,NA
1325,NOAA 12,(411th civilian),14 May 91,Meteorology,NA
1326,STS-40 - SLS 1,(412th civilian),5 Jun 91,Piloted spaceship,NA
1327,REX,(915th military),29 Jun 91,Earth sciences,NA
1328,Navstar 2A-02 / GPS 2-11 (USA 71),(916th military),7 Jul 91,Navigation,NA
1329,Losat X,(917th military),7 Jul 91,Space defense,NA
1330,Microsat 1,(918th military),17 Jul 91,Technology,NA
1331,Microsat 2,(919th military),17 Jul 91,Technology,NA
1332,Microsat 3,(920th military),17 Jul 91,Technology,NA
1333,Microsat 4,(921st military),17 Jul 91,Technology,NA
1334,Microsat 5,(922nd military),17 Jul 91,Technology,NA
1335,Microsat 6,(923rd military),17 Jul 91,Technology,NA
1336,Microsat 7,(924th military),17 Jul 91,Technology,NA
1337,STS-43,(413th civilian),2 Aug 91,Piloted spaceship,NA
1338,TDRS 5,(414th civilian),2 Aug 91,Communications,NA
1339,STS-48,(415th civilian),12 Sep 91,Piloted spaceship,NA
1340,UARS,(416th civilian),12 Sep 91,Earth sciences,NA
1341,NOSS / SLDCOM 2 (USA 72),(925th military),8 Nov 91,Ocean surveillance,NA
1342,SSU (USA 74),(926th military),8 Nov 91,Ocean surveillance,NA
1343,SSU (USA 76),(927th military),8 Nov 91,Ocean surveillance,NA
1344,SSU (USA 77),(928th military),8 Nov 91,Ocean surveillance,NA
1345,STS-44,(929th military),26 Nov 91,Piloted spaceship,NA
1346,DSP16 (USA 75),(930th military),25 Nov 91,Missile early warning,NA
1347,DMSP Block F-11 (USA 73) ,(931st military),28 Nov 91,Meteorology,NA
1348,STS-42 -- IML-1,(417th civilian),22 Jan 92,Piloted spaceship,NA
1349,DSCS III B-14 (USA 78),(932nd military),17 Feb 92,Communications,NA
1350,Navstar 2A-03 / GPS 2-12 / (USA 79),(933rd military),23 Feb 92,Navigation,NA
1351,STS-45 - Atlas-1,(418th civilian),24 Mar 92,Piloted spaceship,NA
1352,Navstar 2A-04 / GPS 2-13 (USA 80),(934th military),10 Apr 92,Navigation,NA
1353,SBWASS R3 (USA 81),(935th military),25 Apr 95,Electronic intelligence,NA
1354,STS-49,(419th civilian),7 May 92,Piloted spaceship,NA
1355,EUVE,(420th civilian),7 Jun 92,Astronomy,NA
1356,STS-50 - USML-1,(421st civilian),25 Jun 92,Piloted spaceship,NA
1357,DSCS III B-12 (USA 82),(936th military),2 Jul 92,Communications,NA
1358,SAMPEX,(422nd civilian),3 Jul 92,Earth sciences,NA
1359,Navstar 2A-05 / GPS 2-14 (USA 83),(937th military),7 Jul 92,Navigation,NA
1360,DUVE,(423rd civilian),24 Jul 92,Earth sciences,NA
1361,STS-46 - TSS-1,(424th civilian),31 Jul 92,Piloted spaceship,NA
1362,Navstar 2A-06 / GPS 2-15 (USA 84),(938th military),9 Sep 92,Navigation,NA
1363,STS-47 - Spacelab-J,(425th civilian),12 Sep 92,Piloted spaceship,NA
1364,Mars Observer,(426th civilian),25 Sep 92,Planetary probe,NA
1365,STS-52 - USML-1,(427th civilian),22 Oct 92,Piloted spaceship,NA
1366,MSTI 1,(939th military),21 Nov 92,Space defense,NA
1367,Navstar 2A-07 / GPS 2-16 (USA 85),(940th military),21 Nov 92,Navigation,NA
1368,Advanced Crystal / KH-12 2 (USA 86),(941st military),28 Nov 92,Reconnaissance,NA
1369,STS-53,(942nd military),2 Dec 92,Piloted spaceship,NA
1370,SDS B-3 (USA 89),(943rd military),2 Dec 92,Radar calibration,NA
NA,ODERACS A,(military),2 Dec 92,Radar calibration,NA
NA,ODERACS B,(military),2 Dec 92,Radar calibration,NA
NA,ODERACS C,(military),2 Dec 92,Radar calibration,NA
NA,ODERACS D,(military),2 Dec 92,Radar calibration,NA
NA,ODERACS E,(military),2 Dec 92,Radar calibration,NA
NA,DERACS F,(military),2 Dec 92,Radar calibration,NA
1371,Navstar 2A-08 / GPS 2-17 (USA 87),(944th military),18 Dec 92,Navigation,NA
1372,STS-54,(428th civilian),13 Jan 93,Piloted spaceship,NA
1373,TDRS 6,(429th civilian),13 Jan 93,Communications,NA
1374,Navstar 2A-09 / GPS 2-18 (USA 88),(945th military),3 Feb 93,Navigation,NA
1375,UFO F1,(946th military),25 Mar 93,Communications,NA
1376,Navstar 2A-10 / GPS 2-19 (USA 90),(947th military),30 Mar 93,Navigation,NA
1377,SEDS 1,(948th military),30 Mar 93,Technology,NA
1378,STS-56 - Atlas-2,(430th civilian),8 Apr 93,Piloted spaceship,NA
1379,Spartan 201,(431st civilian),8 Apr 93,Astronomy,NA
1380,Alexis,(949th military),25 Apr 93,Astronomy,NA
1381,STS-55 - Spacelab-D2,(432nd civilian),25 Apr 93,Piloted spaceship,NA
1382,Navstar 2A-11 / GPS 2-20 (USA 91),(950th military),13 May 93,Navigation,NA
1383,STS-57,(433th civilian),21 Jun 93,Piloted spaceship,NA
1384,Radcal,(951st military),25 Jun 93,Radar calibration,NA
1385,Navstar 2A-12 / GPS 2-21 (USA 92),(952nd military),26 Jun 93,Navigation,NA
1386,SEDS 2 (PMG-PDP),(953rd military),26 Jun 93,Technology,NA
1387,DSCS III B-9 (USA 94),(954th military),19 Jul 93,Communications,NA
1388,NOSS 19 / SLDCOM 3,(955th military),2 Aug 93,Ocean surveillance,NA
1389,SSU,(956th military),2 Aug 93,Ocean surveillance,NA
1390,SSU,(957th military),2 Aug 93,Ocean surveillance,NA
1391,SSU,(958th military),2 Aug 93,Ocean surveillance,NA
1392,TLD,(959th military),2 Aug 93,Electronic intelligence?,NA
1393,NOAA 13,(434th civilian),9 Aug 93,Meteorology,NA
1394,Navstar 2A-13 / GPS 2-22 (USA 94),(960th military),30 Aug 93,Navigation,NA
1395,UFO F2 (USA 95),(961st military), 3 Sep 93,Communications,NA
1396,STS-51,(435th civilian),12 Sep 93,Piloted spaceship,NA
1397,ACTS,(436th civilian),12 Sep 93,Technology,NA
1398,ORFEUS-SPAS,(437th civilian),12 Sep 93,Astronomy,NA
1399,Landsat 6,(438th civilian),5 Oct 93,Earth remote sensing,NA
1400,STS-58 - SLS-2,(439th civilian),18 Oct 93,Piloted spaceship,NA
1401,Navstar 2A-14 / GPS 2-23 (USA 96),(962nd military),26 Oct 93,Navigation,NA
1402,DSCS III B-10 (USA 97),(963rd military),28 Nov 93,Communications,NA
1403,STS-61,(440th civilian),2 Dec 93,Piloted spaceship,NA
1404,Clementine / DSPSE,(964th military),25 Jan 94,Technology and lunar probe,NA
1405,ISA,(965th military),25 Jan 94,Earth sciences,NA
1406,STS-60,(441st civilian),3 Feb 94,Piloted spaceship,NA
1407,ODERACS A,(966th military),3 Feb 94,Radar calibration,NA
1408,ODERACS B,(967th military),3 Feb 94,Radar calibration,NA
1409,ODERACS C,(968th military),3 Feb 94,Radar calibration,NA
1410,ODERACS D,(969th military),3 Feb 94,Radar calibration,NA
1411,ODERACS E,(970th military),3 Feb 94,Radar calibration,NA
1412,ODERACS F,(971st military),3 Feb 94,Radar calibration,NA
1413,Milstar DFS 1 (USA 99),(972nd military),7 Feb 94,Communications,NA
1414,STS-62 - USMP-2,(442nd civilian),4 Mar 94,Piloted spaceship,NA
1415,Navstar 2A-15 / GPS 2-24 (USA 100),(973rd military),10 Mar 94,Navstar,NA
1416,SEDS 2 End Mass,(974th military),10 Mar 94,Technology,NA
1417,STEP 0 (USA 101),(975th military),10 Mar 94,Technology,NA
1418,DARPASAT (USA 102),(976th military),13 Mar 94,Technology,NA
1419,STS-59 - SRL-1,(443th civilian),9 Apr 94,Piloted spaceship,NA
1420,GOES 8,(444th civilian),13 Apr 94,Meteorology,NA
1421,TRUMPET 1 (USA 103),(977th military),3 May 94,Electronic intelligence,NA
1422,MSTI 2,(978th military),9 May 94,Space defense,NA
1423,STEP 2 / SIDEX,(979th military),19 May 94,Space defense,NA
1424,UFO F3 (USA 104),(980th military),24 Jun 94,Communications,NA
1425,STEP 1,(981st military),27 Jun 94,Technology,NA
1426,STS-65 - IML-2,(445th civilian),8 Jul 94,Piloted spaceship,NA
1427,APEX / Orion 38,(982nd military),3 Aug 94,Technology,NA
1428,MERCURY 1 (USA 105),(983rd military),27 Aug 94,Electronic intelligence,NA
1429,DMSP Block 5D-2 F-12 (USA 106),(984th military),29 Aug 94,Meteorology,NA
1430,STS-64 - LITE 1,(446th civilian),9 Sep 94,Piloted spaceship,NA
1431,Spartan 201,(447th civilian),9 Sep 94,Astronomy,NA
1432,STS-68 - SRL-2,(448th civilian),30 Sep 94,Piloted spaceship,NA
1433,WIND,(449th civilian),1 Nov 94,Sun-Earth studies,NA
1434,STS-66 - Atlas-3,(450th civilian),3 Nov 94,Piloted spaceship,NA
1435,CRISTA-SPAS,(451st civilian),3 Nov 94,Earth sciences,NA
1436,DSP F17 (USA 107),(985th military),22 Dec 94,Missile early warning,NA
1437,NOAA 14,(452nd civilian),30 Dec 94,Meteorology,NA
1438,UFO F4 (USA 108),(986th military),29 Jan 95,Communications,NA
1439,STS-63,(453rd civilian),3 Feb 95,Piloted spaceship,NA
1440,Spartan 204,(454th civilian),3 Feb 95,Astronomy,NA
1441,ODERACS 2A,(987th military),3 Feb 95,Radar calibration,NA
1442,ODERACS 2B,(988th military),3 Feb 95,Radar calibration,NA
1443,ODERACS 2C,(989th military),3 Feb 95,Radar calibration,NA
1444,ODERACS 2D,(990th military),3 Feb 95,Radar calibration,NA
1445,ODERACS 2E,(991st military),3 Feb 95,Radar calibration,NA
1446,ODERACS 2F,(992nd military),3 Feb 95,Radar calibration,NA
1447,STS-67 - Astro-2,(455th civilian),2 Mar 95,Piloted spaceship,NA
1448,DMSP Block 5-D2 F-13 (USA 109),(993rd military),24 Mar 95,Meteorology,NA
1449,Advanced ORION 1 (USA 110),(994th military),14 May 95,Electronic intelligence,NA
1450,GOES 9,(456th civilian),23 May 95,Meteorology,NA
1451,UFO 5 (USA 111),(995th military),31 May 95,Communications,NA
1452,STEP 3,(996th military),22 Jun 95,Technology,NA
1453,STS-71,(457th civilian),27 Jun 95,Piloted spaceship,NA
1454,TRUMPET 2 (USA 112),(997th military),10 Jul 95,Electronic intelligence,NA
1455,STS-70,(458th civilian),13 Jul 95,Piloted spaceship,NA
1456,TDRS 7,(459th civilian),13 Jul 95,Communications,NA
1457,DSCS B-7 (USA 113),(998th military),31 Jul 95,Communications,NA
1458,STS-69,(460th civilian),7 Sep 95,Piloted spaceship,NA
1459,Spartan 201,(4601st civilian),7 Sep 95,Astronomy,NA
1460,WSF 2,(462nd civilian),7 Sep 95,Material processing,NA
1461,STS-73 - USML-2,(463rd civilian),20 Oct 95,Piloted spaceship,NA
1462,UFO F6 (USA 114),(999th military),22 Oct 95,Communications,NA
1463,Surfsat,(464th civilian),4 Nov 95,Technology,NA
1464,Milstar DFS 2 (USA 115) ,(1000th military),6 Nov 95,Communications,NA
1465,STS-74,(465th civilian),12 Nov 95,Piloted spaceship,NA
1466,Improved Crystal / KH-12 3 (USA 116),(1001st military),5 Dec 95,Reconnaissance,NA
1467,XTE / Rossi,(466th civilian),30 Dec 95,Astronomy,NA
1468,STS-72,(467th civilian),11 Jan 96,Piloted spaceship,NA
1469,OAST Flyer / Spartan 206,(468th civilian),11 Jan 96,Technology,NA
1470,NEAR / Shoemaker,(469th civilian),17 Feb 96,Planetary probe,NA
1471,STS-75,(470th civilian),22 Feb 96,Piloted spaceship,NA
1472,Polar,(471st civilian),24 Feb 96,Sun-Earth studies,NA
1473,REX 2,(1002nd military),9 Mar 96,Earth sciences,NA
1474,STS-76,(472nd civilian),22 Mar 96,Piloted spaceship,NA
1475,Navstar 2A-16 / GPS 2-25 (USA 117),(1003rd military),28 Mar 96,Navigation,NA
1476,MSX,(1004th military),24 Apr 96,Space defense,NA
1477,MERCURY 2 / Advancer Vortex 2 (USA 118),(1005th military),24 Apr 96,Electronic intelligence,NA
1478,SLDCOM 4 / NOSS B-4 (USA 122),(1006th military),12 May 96,Ocean surveillance,NA
1479,SSU / SDS B-2 (USA 119),(1007th military),12 May 96,Ocean surveillance,NA
1480,SSU (USA 120),(1008th military),12 May 96,Ocean surveillance,NA
1481,SSU (USA 121),(1009th military),12 May 96,Ocean surveillance,NA
1482,TIPS Ralph (USA 123,(1010th military),12 May 96,Technology?,NA
1483,TIPS Norton (USA 124),(1011th military),12 May 96,Technology?,NA
1484,MSTI 3,(1012th military),17 May 96,Space defense,NA
1485,STS-77,(473rd civilian),19 May 96,Piloted spaceship,NA
1486,Spartan 207,(474th civilian),19 May 96,Astronomy,NA
1487,IAE,(475th civilian),19 May 96,Technology,NA
1488,PAMS STU,(476th civilian),19 mAY 96,Technology,NA
1489,STS-78 - LMS-1,(477th civilian),20 Jun 96,Piloted spaceship,NA
1490,TOMS-EP / TOMS Earth Probe,(478th civilian),2 Jul 96,Earth sciences,NA
1491,SDS B-4 (USA 125),(1013th military),3 Jul 96,Communications,NA
1492,Navstar 2A-17 / GPS 2-26 (USA 126),(1014th military),16 Jul 96,Navigation,NA
1493,UFO F7 (USA 127),(1015th military),25 Jul 96,Communications,NA
1494,FAST,(479th civilian),21 Aug 96,Earth sciences,NA
1495,Navstar 2A-18 / GPS 2-27 (USA 128),(1016th military),12 Sep 96,Navigation,NA
1496,STS-79,(480th civilian),16 Sep 96,Piloted spaceship,NA
1497,HETE,(481st civilian),4 Nov 96,Astronomy,NA
1498,MGS / Mars Global Surveyor,(482nd civilian),7 Nov 96,Planetary probe,NA
1499,STS-80,(483rd civilian),19 Nov 96,Piloted spaceship,NA
1500,ORFEUS-SPAS / ASTRO-SPAS,(484th civilian),19 Nov 96,Astronomy,NA
1501,WSF 3,(485th civilian),19 Nov 96,Material processing,NA
1502,Mars Pathfinder,(486th civilian),4 Dec 96,Planetary probe,NA
1503,Sojourner,(487th civilian),4 Dec 96,Planetary probe,NA
1504,Improve Crystal 4 / KH-12 4 (USA 129) ,(1017th military),20 Dec 96,Reconnaissance,NA
1505,STS-81,(488th civilian),12 Jan 97,Piloted spaceship,NA
1506,Navstar 2R-1,(1018th military),17 Jan 97,Navigation,NA
1507,STS-82,(489th civilian),11 Feb 97,Piloted spaceship,NA
1508,DSP 20 (USA 130),(1019th military),23 Feb 97,Missile early warning,NA
1509,DMSP Block 5D-2 S14 (USA 131),(1020th military),4 Apr 97,Meteorology,NA
1510,STS-83 - MSL-1,(490th civilian),4 Apr 97,Piloted spaceship,NA
1511,GOES 10,(491st civilian),25 Apr 97,Meteorology,NA
1512,STS-84,(492nd civilian),15 May 97,Piloted spaceship,NA
1513,STS-94 - MSL-1R,(493rd civilian),1 Jul 97,Piloted spaceship,NA
1514,Navstar I2R2 / GPS 43 (USA 132),(1021st military),23 Jul 97,Navigation,NA
1515,STS-85,(494th civilian),7 Aug 97,Piloted spaceship,NA
1516,Crista-SPAS / ASTRO-SPAS,(495th civilian),7 Aug 97,Astronomy,NA
1517,Lewis / SSTI,(496th civilian),23 Aug 97,Earth sciences,NA
1518,ACE,(497th civilian),25 Aug 97,Astronomy,NA
1519,FORTE,(1022nd military),29 Aug 97,Earth sciences,NA
1520,STS-86,(498th civilian),26 Sep 97,Piloted spaceship,NA
1521,Cassini,(499th civilian),15 Oct 97,Planetary probe,NA
1522,STEP 4,(1023rd military),22 Oct 97,Technology,NA
1523,Lacrosse 3 (USA 133),(1024th military),24 Oct 97,Reconnaissance,NA
1524,DSCS III B-13 (USA 134),(1025th military),25 Oct 97,Communications,NA
1525,Falcon Gold,(1026th military),25 Oct 97,Technology,NA
1526,Navstar 2-28 / GPS 38(USA 135),(1027th military),5 Nov 97,Navigation,NA
1527,Trumpet 3 (USA 136),(1028th military),8 Nov 97,Electronic intelligence,NA
1528,STS-87 - USMP-4,(500th civilian),19 Nov 97,Piloted spaceship,NA
1529,Spartan 201-04,(501st civilian),19 Nov 97,Astronomy,NA
1530,TRMM,(502nd civilian),27 Nov 97,Earth remote sensing,NA
1531,Lunar Prospector,(503th civilian),7 Jan 98,Planetary probe,NA
1532,STS-89,(504th civilian),23 Jan 98,Piloted spaceship,NA
1533,Capricorn (USA 137),(1029th military),29 Jan 98,Communications,NA
1534,GFO / Geosat,(1030th military),10 Feb 98,Ocean observations,NA
1535,SNOE,(505th civilian),26 Feb 98,Earth sciences,NA
1536,UFO F8 (USA 138),(1031st military),16 Mar 98,Communications,NA
1537,TRACE,(506th civilian),2 Apr 98,Solar studies,NA
1538,STS-90,(507th civilian),17 Apr 98,Piloted spaceship,NA
1539,Advanced ORION 2 (USA 139),(1032nd military),9 May 98,Missile early warning,NA
1540,NOAA 15,(508th civilian),13 May 98,Meteorology,NA
1541,STS-91,(509th civilian),2 Jun 98,Piloted spaceship,NA
1542,Mercury 3,(1033rd military),12 Aug 98,Electronic intelligence,NA
1543,STEX (USA 140),(1034th military),3 Oct 98,Technology,NA
1544,ATEX (USA 141),(1035th military),3 Oct 98,Technology,NA
1545,UFO F9 ,(1036th military),20 Oct 98,Communications,NA
1546,Deep Space 1 / DS 1,(510th civilian),24 Oct 98,Planetary probe,NA
1547,STS-95,(511st civilian),29 Oct 98,Piloted spaceship,NA
1548,Spartan 201-5,(512nd civilian),29 Oct 98,Astronomy,NA
1549,STS-88 / ISS-2A,(513rd civilian),4 Dec 98,Piloted spaceship,NA
1550,Unity,(514th civilian),4 Dec 98,Space station component,NA
1551,SWAS,(515th civilian),6 Dec 98,Astronomy,NA
1552,MCO / Mars Climate Orbiter,(516th civilian),11 Dec 98,Planetary probe,NA
1553,Mightysat,(1037th military),4 Dec 98,Technology,NA
1554,Mars Polar Lander,(517th civilian),3 Jan 99,Planetary probe,NA
1555,Deep Space 2 / Scott,(518th civilian),3 Jan 99,Planetary probe,NA
1556,Deep Space 2 / Amundsen,(519th civilian),3 Jan 99,Planetary probe,NA
1557,Stardust,(520th civilian),3 Feb 99,Planetary probe,NA
1558,ARGOS,(1038th military),23 Feb 99,Technology,NA
1559,WIRE,(521st civilian),5 Mar 99,Astronomy,NA
1560,DSP 19 (USA 142),(1039th military),9 Apr 99,Missile early warning,NA
1561,Landsat 7,(522nd civilian),15 Apr 99,Earth remote sensing,NA
1562,Milstar DFS 3 (USA 143),(1040th military),30 Apr 99,Communications,NA
1563,TERRIERS,(523rd civilian),18 May 99,Earth sciences,NA
1564,MUBLCOM,(1041st military),18 May 99,Technology,NA
1565,Improved Crystal 5 / KH-12 5 (USA 144),(1042nd military),22 May 99,Reconnaissance,NA
1566,STS-96 / ISS-2A.1,(524th civilian),27 May 99,Piloted spaceship,NA
1567,Starshine,(1043rd military),27 May 99,Technology,NA
1568,QuikScat,(525th civilian),20 Jun 99,Earth/ocean remote sensing,NA
1569,FUSE,(526th civilian),24 Jun 99,Astronomy,NA
1570,STS-93,(527th civilian),23 Jul 99,Piloted spaceship,NA
1571,AXAF / Chandra,(528th civilian),23 Jul 99,Astronomy,NA
1572,Navstar 46 / GPS 2R-3 (USA 145),(1044th military),7 Oct 99,Navigation,NA
1573,UFO F10 (USA 146),(1045th military),23 Nov 99,Communications,NA
1574,DMSP 5D-3 F-15 (USA 147),(1046th military),12 Dec 99,Meteorology,NA
1575,Terra / EOS AM-1,(529th civilian),18 Dec 99,Earth remote sensing,NA
1576,STS-103,(530th civilian),20 Dec 99,Piloted spaceship,NA
1577,ACRIMSAT,(531st civilian),21 Dec 99,Solar studies,NA
1578,DSCS III B-8 (USA 148),(1047th military),31 Jan 00,Communications,NA
1579,JAWSAT / Weber-OSCAR 39,(1048th military),27 Jan 00,Technology,NA
1580,OCS / OCSE,(1049th military),27 Jan 00,Technology,NA
1581,OPAL / OPAL-OSCAR 38,(1050th military),27 Jan 00,Technology,NA
1582,FalconSat 1,(1051st military),27 Jan 00,Technology,NA
1583,ASUSAT / Arizona State-OSCAR 37,(1052nd military),27 Jan 00,Earth observations,NA
1584,Picosat 21 / MEMS 1,(1053rd military),7 Feb 00,Technology,NA
1585,Picosat 23 / MEMS 2,(1054th military),7 Feb 00,Technology,NA
1586,JAK Artemis Picosat,(1055th military),11 Feb 00,Technology,NA
1587,STS-99 - SLR-3,(532nd civilian),11 Feb 00,Piloted spaceship,NA
1588,Thelma Artemis Picosat (Thunder),(1056th military),12 Feb 00,Technology,NA
1589,Louise Artemis Picosat (Lightnin),(1057th military),12 Feb 00,Technology,NA
1590,MTI,(1058th military),12 Mar 00,Earth imaging,NA
1591,IMAGE,(533rd civilian),25 Mar 00,Earth sciences,NA
1592,GOES 11,(534th civilian),3 May 00,Meteorology,NA
1593,DSP 20 (USA 149),(1059th military),8 May 00,Missile early warning,NA
1594,Navstar 47 / GPS IIR-4 (USA 150),(1060th military),11 May 00,Navigation,NA
1595,STS-101 / ISS-2A.2a,(535th civilian),19 May 00,Piloted spaceship,NA
1596,TSX 5,(1061st military),7 Jun 00,Technology,NA
1597,TDRS 8,(536th civilian),30 Jun 00,Communications,NA
1598,Navstar 48 / GPS IIR-5 (USA 151),(1062nd military),16 Jul 00,Navigation,NA
1599,Mightysat 2.1 / Sindri,(1063rd military),19 Jul 00,Technology,NA
1600,Picosat 7/Picosat 8 Tethered Picosat,(1064th military),19 Jul 00,Technology,NA
1601,DARPA Picosat 23 / MEMS 3/MEMS ,(1065th military),19 Jul 00,Technology,NA
1602,ONYX 4 (USA 152),(1066th military),17 Aug 00,Reconnaissance,NA
1603,STS-106 / ISS-2A.2b,(537th civilian),8 Sep 00,Piloted spaceship,NA
1604,NOAA 16,(538th civilian),21 Sep 00,Meteorology,NA
1605,HETE-2,(539th civilian),9 Oct 00,Astronomy,NA
1606,STS-92 / ISS-3A,(540th civilian),11 Oct 00,Piloted spaceship,NA
1607,DSCS III B-11 (USA 153),(1067th military),20 Oct 00,Communications,NA
1608,Navstar 49 / GPS 2R-6 (USA 154),(1068th military),10 Nov 00,Navigation,NA
1609,EO-1 / Earth Observing 1,(541st civilian),21 Nov 00,Technology/Earth remote sensing,NA
1610,STS-97 / ISS-4A,(542nd civilian),1 Dec 00,Piloted spaceship,NA
1611,ITS-P6,(543rd civilian),1 Dec 00,Space station component,NA
1612,NRO / Great Bear (USA 155),(1069th military),6 Dec 00,Communications,NA
1613,Navstar 50 / GPS 2R-7 (USA 156),(1070th military),30 Jan 01,Navigation,NA
1614,STS-98 / ISS-5A,(544h civilian),7 Feb 01,Piloted spaceship,NA
1615,Destiny / US Lab,(545th civilian),7 Feb 01,Space station component,NA
1616,Milstar DFS 4 (USA 157),(1071st military),27 Feb 01,Communications,NA
1617,STS-102 / ISS-5A.1,(546th civilian),8 Mar 01,Piloted spaceship,NA
1618,Mars Odyssey 2001,(547th civilian),7 Apr 01,Planetary probe,NA
1619,STS-100 / ISS-6A,(548th civilian),19 Apr 01,Piloted spaceship,NA
1620,GeoLITE (USA 158),(1072nd military),18 May 01,Technology,NA
1621,MAP,(549th civilian),30 Jun 01,Astronomy,NA
1622,STS-104 / ISS-7A,(550th civilian),12 Jul 01,Piloted spaceship,NA
1623,Quest Joint Airlock,(551st civilian),12 Jul 01,Space station component,NA
1624,GOES 12,(552nd civilian),23 Jul 01,Meteorology,NA
1625,DSP 21 (USA 159),(1073rd military),6 Aug 01,Missile early warning,NA
1626,Genesis,(553rd civilian),8 Aug 01,Planetary probe,NA
1627,STS-105 / ISS-7A.1,(554th civilian),10 Aug 01,Piloted spaceship,NA
1628,Simplesat,(555th civilian),10 Aug 01,Astronomy,NA
1629,Picosat 7,(1074th military),7 Sep 01,Technology,NA
1630,Picosat 8,(1075th military),7 Sep 01,Technology,NA
1631,NOSS 3-1 (USA 160),I1076th military),8 Sep 01,Electronic intelligence,NA
1632,SSU?,(1077th military),8 Sep 01,Electronic intelligence,NA
1633,QuikTOMS / TOMS-5,(556th civilian),21 Sep 01,Earth sciences,NA
1634,Starshine 3 / Starshine-OSCAR 43 (SO-43),(557th civilian),30 Sep 01,Earth sciences,NA
1635,Picosat,(1078th military),30 Sep 01,Technology,NA
1636,PCSat / Nav-OSCAR 44 (NO-44),(1079th military),30 Sep 01,Technology,NA
1637,Sapphire / Nav-OSCAR 45 (NO-45),(1080th military),30 Sep 01,Technology,NA
1638,Improved Crystal? (USA 161),(1081st military),5 Oct 01,Reconnaissance,NA
1639,NRO / Aquila (USA 162),(1082nd military),11 Oct 01,Communications?,NA
1640,STS-108 / ISS UF-1,(558th civilian),5 Dec 01,Piloted spaceship,NA
1641,TIMED,(559th civilian),7 Dec 01,Earth/space sciences,NA
1642,Reflector [USA 163],(1083rd military),10 Dec 01,Technology,NA
1643,Starshine-2,(560th civilian),16 Dec 01,Education,NA
1644,Milstar DFS-5 (USA 164),(1084th military),19 Jan 02,Communications,NA
1645,HESSI,(561st civilian),5 Feb 02,Astronomy,NA
1646,STS-109,(562nd civilian),1 Mar 02,Piloted spaceship,NA
1647,TDRS 9,(563rd civilian),9 Mar 02,Communications,NA
1648,GRACE / GRACE 1,(564th civilian),17 Mar 02,Science,NA
1649,GRACE 2,(565th civilian),17 Mar 02,Science,NA
1650,STS-110 / ISS-8A,(566th civilian),8 Apr 02,Piloted spaceship,NA
1651,ITS-S0,(567th civilian),8 Apr 02,Space station component,NA
1652,Aqua / EOS PM-1,(568th civilian),4 May 02,Earth remote sensing,NA
1653,STS-111 / ISS UF-2,(569th civilian),5 Jun 02,Piloted spaceship,NA
1654,NOAA 17,(570th civilian),24 Jun 02,Meteorology,NA
1655,CONTOUR,(571st civilian),3 Jul 02,Planetary probe,NA
1656,STS-112 / ISS-9A,(572nd civilian),7 Oct 02,Piloted spaceship,NA
1657,ITS-S1,(573rd civilian),7 Oct 02,Space station component,NA
1658,STS-113 / ISS-11A,(574th civilian),24 Nov 02,Piloted spaceship,NA
1659,ITS-P1,(575th civilian),24 Nov 02,Space station component,NA
1660,MEPSI,(1085th military),24 Nov 02,Technology,NA
1661,TDRS 10,(576th civilian),5 Dec 02,Communications,NA
1662,Coriolis,(1086th military),6 Jan 03,Earth environment,NA
1663,ICESAT,(577th civilian),13 Jan 03,Earth observations,NA
1664,CHIPSAT / Chips,(578th civilian),13 Jan 03,Astronomy,NA
1665,STS-107,(579th civilian),16 Jan 03,Piloted spaceship,NA
1666,SORCE,(580th civilian),25 Jan 03,Sun-Earth observations,NA
1667,Navstar 51 / GPS 2R-8 (USA 166),(1087th military),29 Jan 03,Navigation,NA
1668,XSS-10,(1088th military),29 Jan 03,Technology,NA
1669,DSCS III A-3 (USA 167),(1089th military),11 Mar 03,Communications,NA
1670,Navstar 52 / GPS 2R-9 (USA 168),(1090th military),31 Mar 03,Navigation,NA
1671,Milstar DFS 6 (USA 169),(1091st military),8 Apr 03,Communications,NA
1672,GALEX,(581st civilian),28 Apr 03,Astronomy,NA
1673,MER-A,(582nd civilian),10 Jun 03,Planetary probe,NA
