scenario,obfuscator,configuration,energy
AnkiDroid-New_Deck,allatori,opt,223.548789899448
AnkiDroid-New_Deck,allatori,opt,223.437534406009
AnkiDroid-New_Deck,allatori,opt,222.57311132359
AnkiDroid-New_Deck,allatori,opt,223.847369391682
AnkiDroid-New_Deck,allatori,opt,223.625874443752
AnkiDroid-New_Deck,allatori,opt,223.681486504384
AnkiDroid-New_Deck,allatori,opt,223.313996065653
AnkiDroid-New_Deck,allatori,opt,223.547081285273
AnkiDroid-New_Deck,allatori,opt,225.913904661367
AnkiDroid-New_Deck,allatori,opt,224.374081318832
AnkiDroid-New_Deck,allatori,opt,222.552438593152
AnkiDroid-New_Deck,allatori,opt,223.460896175626
AnkiDroid-New_Deck,allatori,opt,223.761673723195
AnkiDroid-New_Deck,allatori,opt,222.582267065216
AnkiDroid-New_Deck,allatori,rename,228.357443819339
AnkiDroid-New_Deck,allatori,rename,226.107944543688
AnkiDroid-New_Deck,allatori,rename,225.730792090833
AnkiDroid-New_Deck,allatori,rename,228.030909635527
AnkiDroid-New_Deck,allatori,rename,225.354729850644
AnkiDroid-New_Deck,allatori,rename,228.121120561881
AnkiDroid-New_Deck,allatori,rename,224.758767718736
AnkiDroid-New_Deck,allatori,rename,226.799025865212
AnkiDroid-New_Deck,allatori,rename,226.730762652942
AnkiDroid-New_Deck,allatori,rename,226.138078331092
AnkiDroid-New_Deck,allatori,rename,228.972260112125
AnkiDroid-New_Deck,allatori,rename,228.659511533657
AnkiDroid-New_Deck,allatori,rename,226.708546620371
AnkiDroid-New_Deck,allatori,rename,227.698485031876
AnkiDroid-New_Deck,allatori,rename,228.552161675215
AnkiDroid-New_Deck,allatori,rename,226.687788033443
AnkiDroid-New_Deck,allatori,rename,227.900833905748
AnkiDroid-New_Deck,allatori,rename,225.61284716674
AnkiDroid-New_Deck,allatori,rename,227.771177528868
AnkiDroid-New_Deck,allatori,rename,225.929593358825
AnkiDroid-New_Deck,allatori,rename,227.918147330108
AnkiDroid-New_Deck,allatori,rename,228.162489948199
AnkiDroid-New_Deck,allatori,rename,227.097860344812
AnkiDroid-New_Deck,allatori,rename,225.152789323173
AnkiDroid-New_Deck,allatori,rename,227.825649395962
AnkiDroid-New_Deck,allatori,rename,225.980959787134
AnkiDroid-New_Deck,allatori,rename,225.991089014076
AnkiDroid-New_Deck,allatori,rename,228.368910797141
AnkiDroid-New_Deck,allatori,rename,227.324045247249
AnkiDroid-New_Deck,allatori,rename,226.014754838032
AnkiDroid-New_Deck,allatori,se,223.603747265085
AnkiDroid-New_Deck,allatori,se,223.302653332464
AnkiDroid-New_Deck,allatori,se,222.468560566437
AnkiDroid-New_Deck,allatori,se,223.6448064403
AnkiDroid-New_Deck,allatori,se,222.443183140817
AnkiDroid-New_Deck,allatori,se,221.992691999265
AnkiDroid-New_Deck,allatori,se,223.481897907009
AnkiDroid-New_Deck,allatori,se,222.908766392729
AnkiDroid-New_Deck,allatori,se,222.547060369923
AnkiDroid-New_Deck,allatori,se,225.105233736596
AnkiDroid-New_Deck,allatori,se,222.967096998029
AnkiDroid-New_Deck,allatori,se,223.50433457406
AnkiDroid-New_Deck,allatori,se,223.214191035096
AnkiDroid-New_Deck,allatori,se,222.893125231687
AnkiDroid-New_Deck,allatori,se,222.296726173073
AnkiDroid-New_Deck,allatori,se,224.057467065512
AnkiDroid-New_Deck,allatori,se,222.03050509672
AnkiDroid-New_Deck,allatori,se,223.835351139795
AnkiDroid-New_Deck,allatori,se,222.288966733354
AnkiDroid-New_Deck,allatori,se,224.29673878638
AnkiDroid-New_Deck,allatori,se,222.462208652364
AnkiDroid-New_Deck,allatori,se,222.439267042857
AnkiDroid-New_Deck,allatori,se,223.168517961184
AnkiDroid-New_Deck,allatori,se,222.980031059828
AnkiDroid-New_Deck,allatori,se,222.559930487717
AnkiDroid-New_Deck,allatori,se,223.001241237301
AnkiDroid-New_Deck,allatori,se,222.245754559857
AnkiDroid-New_Deck,allatori,se,222.490230972436
AnkiDroid-New_Deck,allatori,se,223.144469704637
AnkiDroid-New_Deck,allatori,se,223.415167079863
AnkiDroid-New_Deck,dasho,all,232.610964575144
AnkiDroid-New_Deck,dasho,all,231.895767059523
AnkiDroid-New_Deck,dasho,all,233.239134153308
AnkiDroid-New_Deck,dasho,all,234.178719626589
AnkiDroid-New_Deck,dasho,all,232.274658187885
AnkiDroid-New_Deck,dasho,all,231.138774519397
AnkiDroid-New_Deck,dasho,all,234.839451853224
AnkiDroid-New_Deck,dasho,all,234.140026276272
AnkiDroid-New_Deck,dasho,all,229.857796794575
AnkiDroid-New_Deck,dasho,all,230.950914905528
AnkiDroid-New_Deck,dasho,all,234.295868704136
AnkiDroid-New_Deck,dasho,all,234.095713459796
AnkiDroid-New_Deck,dasho,all,234.706150783364
AnkiDroid-New_Deck,dasho,all,229.689289197956
AnkiDroid-New_Deck,dasho,all,234.664380912047
AnkiDroid-New_Deck,dasho,all,231.537530730911
AnkiDroid-New_Deck,dasho,all,233.072916082788
AnkiDroid-New_Deck,dasho,all,229.746723651927
AnkiDroid-New_Deck,dasho,all,233.400122634433
